YEAR/MONTH;H_VIAXEIROS;H_NOITES;H_ESTAD_MEDIA;TR_VIAXEIROS;TR_NOITES;TR_ESTAD_MEDIA;DE_ONDE;PROVINCIA
2018/Febreiro;21397;37807;..;1358;2037;..;Residentes en Espa–a;LUGO
2018/Marzo;36581;62332;..;3126;5885;..;Residentes en Espa–a;LUGO
2018/Abril;30619;61970;..;2731;4301;..;Residentes en Espa–a;LUGO
2018/Maio;36909;71625;..;3427;5659;..;Residentes en Espa–a;LUGO
2018/Xu–o;41390;83757;..;3810;6256;..;Residentes en Espa–a;LUGO
2018/Xullo;52221;101182;..;4516;9531;..;Residentes en Espa–a;LUGO
2018/Agosto;71142;146736;..;8910;23127;..;Residentes en Espa–a;LUGO
2018/Setembro;48538;87614;..;5671;9603;..;Residentes en Espa–a;LUGO
2018/Outubro;38742;74484;..;4288;6920;..;Residentes en Espa–a;LUGO
2018/Novembro;27766;58525;..;3343;5708;..;Residentes en Espa–a;LUGO
2018/Decembro;25847;49397;..;2486;4700;..;Residentes en Espa–a;LUGO
2019/Xaneiro;19120;35051;..;1010;1771;..;Residentes en Espa–a;LUGO
2019/Febreiro;21449;39011;..;1240;1900;..;Residentes en Espa–a;LUGO
2019/Marzo;25975;50100;..;1672;2722;..;Residentes en Espa–a;LUGO
2019/Abril;38959;70675;..;4382;8073;..;Residentes en Espa–a;LUGO
2019/Maio;41705;72888;..;3435;5316;..;Residentes en Espa–a;LUGO
2019/Xu–o;46066;84947;..;3979;6328;..;Residentes en Espa–a;LUGO
2019/Xullo;58132;111380;..;5304;11821;..;Residentes en Espa–a;LUGO
2019/Agosto;81828;161741;..;9294;23198;..;Residentes en Espa–a;LUGO
2019/Setembro;50935;89641;..;4135;7258;..;Residentes en Espa–a;LUGO
2019/Outubro;43525;76702;..;3754;6017;..;Residentes en Espa–a;LUGO
2019/Novembro;25895;63391;..;2370;4184;..;Residentes en Espa–a;LUGO
2019/Decembro;25213;53212;..;1618;3067;..;Residentes en Espa–a;LUGO
2020/Xaneiro;18995;33861;..;810;1325;..;Residentes en Espa–a;LUGO
2020/Febreiro;25185;43831;..;941;1389;..;Residentes en Espa–a;LUGO
2020/Marzo;12494;21934;..;266;482;..;Residentes en Espa–a;LUGO
2020/Abril;0;0;..;..;..;..;Residentes en Espa–a;LUGO
2020/Maio;505;1111;..;..;..;..;Residentes en Espa–a;LUGO
2020/Xu–o;8569;15295;..;620;1773;..;Residentes en Espa–a;LUGO
2020/Xullo;27185;48195;..;3004;6634;..;Residentes en Espa–a;LUGO
2020/Agosto;52249;99151;..;6328;16299;..;Residentes en Espa–a;LUGO
2020/Setembro;29076;48579;..;3308;6305;..;Residentes en Espa–a;LUGO
2020/Outubro;22890;37343;..;2271;3832;..;Residentes en Espa–a;LUGO
2020/Novembro;6379;13864;..;..;..;..;Residentes en Espa–a;LUGO
2020/Decembro;6377;11408;..;373;761;..;Residentes en Espa–a;LUGO
