"Destinos","Indicadores","Orixe dos viaxeiros","CodTempo","Tempo","DatoN","DatoT"
"Total zona de costa","Indicador Estacional (2)","Todas",2017,"2017",-9.0,"-9,0"
"Total zona de costa","Indicador Estacional (2)","Todas",2018,"2018",10.0,"10,0"
"Total zona de costa","Indicador Estacional (2)","Todas",2019,"2019",-0.3,"-0,3"
"Total zona de costa","Indicador Estacional (2)","Todas",2020,"2020",-0.4,"-0,4"
"Total zona de costa","Indicador Estacional (2)","Todas",2021,"2021",-5.7,"-5,7"
"Total zona de costa","Indicador Estacional (2)","Todas",2022,"2022",-7.7,"-7,7"
"Total zona de costa","Indicador Estacional (2)","Todas",2023,"2023",-13.5,"-13,5"
"Total zona de costa","Indicador Estacional (2)","Fóra de Galicia",2011,"2011",,"-"
"Total zona de costa","Indicador Estacional (2)","Fóra de Galicia",2017,"2017",-0.9,"-0,9"
"Total zona de costa","Indicador Estacional (2)","Fóra de Galicia",2018,"2018",5.9,"5,9"
"Total zona de costa","Indicador Estacional (2)","Fóra de Galicia",2019,"2019",32.5,"32,5"
"Total zona de costa","Indicador Estacional (2)","Fóra de Galicia",2020,"2020",-3.3,"-3,3"
"Total zona de costa","Indicador Estacional (2)","Fóra de Galicia",2021,"2021",54.3,"54,3"
"Total zona de costa","Indicador Estacional (2)","Fóra de Galicia",2022,"2022",48.3,"48,3"
"Total zona de costa","Indicador Estacional (2)","Fóra de Galicia",2023,"2023",48.7,"48,7"
"A Coruña e As Mariñas","Noites","Todas",2011,"2011",1143891,"1.143.891"
"A Coruña e As Mariñas","Noites","Todas",2017,"2017",1355554,"1.355.554"
"A Coruña e As Mariñas","Noites","Todas",2018,"2018",1334617,"1.334.617"
"A Coruña e As Mariñas","Noites","Todas",2019,"2019",1451051,"1.451.051"
"A Coruña e As Mariñas","Noites","Todas",2020,"2020",644956,"644.956"
"A Coruña e As Mariñas","Noites","Todas",2021,"2021",1020772,"1.020.772"
"A Coruña e As Mariñas","Noites","Todas",2022,"2022",1316042,"1.316.042"
"A Coruña e As Mariñas","Noites","Todas",2023,"2023",1396961,"1.396.961"
"A Coruña e As Mariñas","Noites","Fóra de Galicia",2011,"2011",800531,"800.531"
"A Coruña e As Mariñas","Noites","Fóra de Galicia",2017,"2017",1000817,"1.000.817"
"A Coruña e As Mariñas","Noites","Fóra de Galicia",2018,"2018",936836,"936.836"
"A Coruña e As Mariñas","Noites","Fóra de Galicia",2019,"2019",1095438,"1.095.438"
"A Coruña e As Mariñas","Noites","Fóra de Galicia",2020,"2020",412070,"412.070"
"A Coruña e As Mariñas","Noites","Fóra de Galicia",2021,"2021",694855,"694.855"
"A Coruña e As Mariñas","Noites","Fóra de Galicia",2022,"2022",967746,"967.746"
"A Coruña e As Mariñas","Noites","Fóra de Galicia",2023,"2023",1016691,"1.016.691"
"A Coruña e As Mariñas","Indicador Área","Todas",2011,"2011",2621,"2.621"
"A Coruña e As Mariñas","Indicador Área","Todas",2017,"2017",3106,"3.106"
"A Coruña e As Mariñas","Indicador Área","Todas",2018,"2018",3058,"3.058"
"A Coruña e As Mariñas","Indicador Área","Todas",2019,"2019",3325,"3.325"
"A Coruña e As Mariñas","Indicador Área","Todas",2020,"2020",1478,"1.478"
"A Coruña e As Mariñas","Indicador Área","Todas",2021,"2021",2339,"2.339"
"A Coruña e As Mariñas","Indicador Área","Todas",2022,"2022",3016,"3.016"
