"Destinos,""Indicadores"",""Orixe dos viaxeiros"",""CodTempo"",""Tempo"",""DatoN"",""DatoT"""
"Galicia,""Indicador Estacional (1)"",""Todas"",2011,""2011"",37.3,""37,3"""
"A Coru–a e As Mari–as,""Indicador Estacional (1)"",""Todas"",2011,""2011"",31.5,""31,5"""
"Ancares - Courel,""Indicador Estacional (1)"",""Todas"",2011,""2011"",41.5,""41,5"""
"Celanova - Limia,""Indicador Estacional (1)"",""Todas"",2011,""2011"",27.4,""27,4"""
"Costa da Morte,""Indicador Estacional (1)"",""Todas"",2011,""2011"",52.3,""52,3"""
"Deza - Tabeir—s,""Indicador Estacional (1)"",""Todas"",2011,""2011"",24.8,""24,8"""
"Ferrolterra,""Indicador Estacional (1)"",""Todas"",2011,""2011"",41.8,""41,8"""
"Lugo e a Terra Ch‡,""Indicador Estacional (1)"",""Todas"",2011,""2011"",25.8,""25,8"""
"Manzaneda - Trevinca,""Indicador Estacional (1)"",""Todas"",2011,""2011"",27.3,""27,3"""
"Mari–a Lucense,""Indicador Estacional (1)"",""Todas"",2011,""2011"",49.4,""49,4"""
"O Ribeiro,""Indicador Estacional (1)"",""Todas"",2011,""2011"",24.8,""24,8"""
"R’a de Arousa,""Indicador Estacional (1)"",""Todas"",2011,""2011"",53.6,""53,6"""
"R’a de Muros e Noia,""Indicador Estacional (1)"",""Todas"",2011,""2011"",67.1,""67,1"""
"R’a de Vigo e Baixo Mi–o,""Indicador Estacional (1)"",""Todas"",2011,""2011"",35.4,""35,4"""
"R’a e Terras de Pontevedra,""Indicador Estacional (1)"",""Todas"",2011,""2011"",42.5,""42,5"""
"Ribeira Sacra,""Indicador Estacional (1)"",""Todas"",2011,""2011"",28.5,""28,5"""
"Terras de Ourense e Allariz,""Indicador Estacional (1)"",""Todas"",2011,""2011"",21.5,""21,5"""
"Terras de Santiago,""Indicador Estacional (1)"",""Todas"",2011,""2011"",26.3,""26,3"""
"Ver’n - Viana,""Indicador Estacional (1)"",""Todas"",2011,""2011"",25.9,""25,9"""
"Galicia,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"A Coru–a e As Mari–as,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"Ancares - Courel,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"Celanova - Limia,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
