"Destinos,""Indicadores"",""Orixe dos viaxeiros"",""CodTempo"",""Tempo"",""DatoN"",""DatoT"""
"R’a de Muros e Noia,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2017,""2017"",1.72,""1,72"""
"R’a de Vigo e Baixo Mi–o,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2017,""2017"",2.06,""2,06"""
"R’a e Terras de Pontevedra,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2017,""2017"",1.75,""1,75"""
"Ribeira Sacra,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2017,""2017"",3.23,""3,23"""
"Terras de Ourense e Allariz,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2017,""2017"",1.22,""1,22"""
"Terras de Santiago,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2017,""2017"",6.28,""6,28"""
"Ver’n - Viana,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2017,""2017"",1.24,""1,24"""
"Galicia,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",38.8,""38,8"""
"A Coru–a e As Mari–as,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",33.7,""33,7"""
"Ancares - Courel,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",36.0,""36,0"""
"Celanova - Limia,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",38.5,""38,5"""
"Costa da Morte,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",50.2,""50,2"""
"Deza - Tabeir—s,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",43.6,""43,6"""
"Ferrolterra,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",46.0,""46,0"""
"Lugo e a Terra Ch‡,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",31.9,""31,9"""
"Manzaneda - Trevinca,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",34.0,""34,0"""
"Mari–a Lucense,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",50.8,""50,8"""
"O Ribeiro,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",27.5,""27,5"""
"R’a de Arousa,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",53.1,""53,1"""
"R’a de Muros e Noia,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",60.4,""60,4"""
"R’a de Vigo e Baixo Mi–o,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",36.7,""36,7"""
"R’a e Terras de Pontevedra,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",43.7,""43,7"""
"Ribeira Sacra,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",32.3,""32,3"""
"Terras de Ourense e Allariz,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",27.2,""27,2"""
"Terras de Santiago,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",27.1,""27,1"""
"Ver’n - Viana,""Indicador Estacional (1)"",""F—ra de Galicia"",2017,""2017"",25.9,""25,9"""
"Galicia,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",-0.9,""-0,9"""
"A Coru–a e As Mari–as,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",0.9,""0,9"""
"Ancares - Courel,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",1.0,""1,0"""
"Celanova - Limia,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",-3.7,""-3,7"""
"Costa da Morte,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",-4.0,""-4,0"""
"Deza - Tabeir—s,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",-1.4,""-1,4"""
"Ferrolterra,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",2.0,""2,0"""
"Lugo e a Terra Ch‡,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",0.8,""0,8"""
"Manzaneda - Trevinca,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",4.1,""4,1"""
"Mari–a Lucense,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",-3.8,""-3,8"""
"O Ribeiro,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",0.5,""0,5"""
"R’a de Arousa,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",-1.0,""-1,0"""
"R’a de Muros e Noia,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",2.4,""2,4"""
"R’a de Vigo e Baixo Mi–o,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",-3.7,""-3,7"""
"R’a e Terras de Pontevedra,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",0.1,""0,1"""
"Ribeira Sacra,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",-2.4,""-2,4"""
"Terras de Ourense e Allariz,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",-0.8,""-0,8"""
"Terras de Santiago,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",-2.9,""-2,9"""
"Ver’n - Viana,""Indicador Estacional (2)"",""F—ra de Galicia"",2017,""2017"",-4.5,""-4,5"""
"Galicia,""Noites"",""Todas"",2018,""2018"",10295875,""10.295.875"""
"A Coru–a e As Mari–as,""Noites"",""Todas"",2018,""2018"",1336614,""1.336.614"""
"Ancares - Courel,""Noites"",""Todas"",2018,""2018"",71008,""71.008"""
"Celanova - Limia,""Noites"",""Todas"",2018,""2018"",65894,""65.894"""
"Costa da Morte,""Noites"",""Todas"",2018,""2018"",297574,""297.574"""
"Deza - Tabeir—s,""Noites"",""Todas"",2018,""2018"",121286,""121.286"""
"Ferrolterra,""Noites"",""Todas"",2018,""2018"",432062,""432.062"""
"Lugo e a Terra Ch‡,""Noites"",""Todas"",2018,""2018"",556381,""556.381"""
"Manzaneda - Trevinca,""Noites"",""Todas"",2018,""2018"",78779,""78.779"""
"Mari–a Lucense,""Noites"",""Todas"",2018,""2018"",410224,""410.224"""
"O Ribeiro,""Noites"",""Todas"",2018,""2018"",120021,""120.021"""
"R’a de Arousa,""Noites"",""Todas"",2018,""2018"",2025978,""2.025.978"""
"R’a de Muros e Noia,""Noites"",""Todas"",2018,""2018"",128068,""128.068"""
"R’a de Vigo e Baixo Mi–o,""Noites"",""Todas"",2018,""2018"",1552168,""1.552.168"""
"R’a e Terras de Pontevedra,""Noites"",""Todas"",2018,""2018"",634581,""634.581"""
"Ribeira Sacra,""Noites"",""Todas"",2018,""2018"",319501,""319.501"""
"Terras de Ourense e Allariz,""Noites"",""Todas"",2018,""2018"",334145,""334.145"""
"Terras de Santiago,""Noites"",""Todas"",2018,""2018"",1744279,""1.744.279"""
"Ver’n - Viana,""Noites"",""Todas"",2018,""2018"",67310,""67.310"""
"Galicia,""Indicador ‡rea"",""Todas"",2018,""2018"",348,""348"""
"A Coru–a e As Mari–as,""Indicador ‡rea"",""Todas"",2018,""2018"",1420,""1.420"""
"Ancares - Courel,""Indicador ‡rea"",""Todas"",2018,""2018"",32,""32"""
"Celanova - Limia,""Indicador ‡rea"",""Todas"",2018,""2018"",37,""37"""
"Costa da Morte,""Indicador ‡rea"",""Todas"",2018,""2018"",173,""173"""
"Deza - Tabeir—s,""Indicador ‡rea"",""Todas"",2018,""2018"",82,""82"""
"Ferrolterra,""Indicador ‡rea"",""Todas"",2018,""2018"",272,""272"""
"Lugo e a Terra Ch‡,""Indicador ‡rea"",""Todas"",2018,""2018"",131,""131"""
"Manzaneda - Trevinca,""Indicador ‡rea"",""Todas"",2018,""2018"",56,""56"""
"Mari–a Lucense,""Indicador ‡rea"",""Todas"",2018,""2018"",294,""294"""
"O Ribeiro,""Indicador ‡rea"",""Todas"",2018,""2018"",119,""119"""
"R’a de Arousa,""Indicador ‡rea"",""Todas"",2018,""2018"",3218,""3.218"""
"R’a de Muros e Noia,""Indicador ‡rea"",""Todas"",2018,""2018"",319,""319"""
"R’a de Vigo e Baixo Mi–o,""Indicador ‡rea"",""Todas"",2018,""2018"",963,""963"""
"R’a e Terras de Pontevedra,""Indicador ‡rea"",""Todas"",2018,""2018"",602,""602"""
"Ribeira Sacra,""Indicador ‡rea"",""Todas"",2018,""2018"",125,""125"""
"Terras de Ourense e Allariz,""Indicador ‡rea"",""Todas"",2018,""2018"",419,""419"""
"Terras de Santiago,""Indicador ‡rea"",""Todas"",2018,""2018"",576,""576"""
"Ver’n - Viana,""Indicador ‡rea"",""Todas"",2018,""2018"",38,""38"""
"Galicia,""Indicador Costa"",""Todas"",2018,""2018"",4069,""4.069"""
"A Coru–a e As Mari–as,""Indicador Costa"",""Todas"",2018,""2018"",6932,""6.932"""
"Ancares - Courel,""Indicador Costa"",""Todas"",2018,""2018"",,""-"""
"Celanova - Limia,""Indicador Costa"",""Todas"",2018,""2018"",,""-"""
"Costa da Morte,""Indicador Costa"",""Todas"",2018,""2018"",653,""653"""
"Deza - Tabeir—s,""Indicador Costa"",""Todas"",2018,""2018"",,""-"""
"Ferrolterra,""Indicador Costa"",""Todas"",2018,""2018"",903,""903"""
"Lugo e a Terra Ch‡,""Indicador Costa"",""Todas"",2018,""2018"",,""-"""
"Manzaneda - Trevinca,""Indicador Costa"",""Todas"",2018,""2018"",,""-"""
"Mari–a Lucense,""Indicador Costa"",""Todas"",2018,""2018"",1564,""1.564"""
"O Ribeiro,""Indicador Costa"",""Todas"",2018,""2018"",,""-"""
"R’a de Arousa,""Indicador Costa"",""Todas"",2018,""2018"",4090,""4.090"""
"R’a de Muros e Noia,""Indicador Costa"",""Todas"",2018,""2018"",895,""895"""
"R’a de Vigo e Baixo Mi–o,""Indicador Costa"",""Todas"",2018,""2018"",5301,""5.301"""
"R’a e Terras de Pontevedra,""Indicador Costa"",""Todas"",2018,""2018"",3049,""3.049"""
"Ribeira Sacra,""Indicador Costa"",""Todas"",2018,""2018"",,""-"""
"Terras de Ourense e Allariz,""Indicador Costa"",""Todas"",2018,""2018"",,""-"""
"Terras de Santiago,""Indicador Costa"",""Todas"",2018,""2018"",,""-"""
"Ver’n - Viana,""Indicador Costa"",""Todas"",2018,""2018"",,""-"""
"Galicia,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",1.04,""1,04"""
"A Coru–a e As Mari–as,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",0.85,""0,85"""
"Ancares - Courel,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",1.10,""1,10"""
"Celanova - Limia,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",0.42,""0,42"""
"Costa da Morte,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",0.70,""0,70"""
"Deza - Tabeir—s,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",0.50,""0,50"""
"Ferrolterra,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",0.62,""0,62"""
"Lugo e a Terra Ch‡,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",0.80,""0,80"""
"Manzaneda - Trevinca,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",0.74,""0,74"""
"Mari–a Lucense,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",1.58,""1,58"""
"O Ribeiro,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",0.73,""0,73"""
"R’a de Arousa,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",2.91,""2,91"""
"R’a de Muros e Noia,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",0.84,""0,84"""
"R’a de Vigo e Baixo Mi–o,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",0.81,""0,81"""
"R’a e Terras de Pontevedra,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",0.76,""0,76"""
"Ribeira Sacra,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",1.46,""1,46"""
"Terras de Ourense e Allariz,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",0.61,""0,61"""
"Terras de Santiago,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",1.75,""1,75"""
"Ver’n - Viana,""Indicador Poboaci—n (1)"",""Todas"",2018,""2018"",0.57,""0,57"""
"Galicia,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",3.81,""3,81"""
"A Coru–a e As Mari–as,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",3.10,""3,10"""
"Ancares - Courel,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",4.01,""4,01"""
"Celanova - Limia,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",1.52,""1,52"""
"Costa da Morte,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",2.57,""2,57"""
"Deza - Tabeir—s,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",1.81,""1,81"""
"Ferrolterra,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",2.28,""2,28"""
"Lugo e a Terra Ch‡,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",2.92,""2,92"""
"Manzaneda - Trevinca,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",2.68,""2,68"""
"Mari–a Lucense,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",5.77,""5,77"""
"O Ribeiro,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",2.65,""2,65"""
"R’a de Arousa,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",10.63,""10,63"""
"R’a de Muros e Noia,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",3.05,""3,05"""
"R’a de Vigo e Baixo Mi–o,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",2.97,""2,97"""
"R’a e Terras de Pontevedra,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",2.78,""2,78"""
"Ribeira Sacra,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",5.31,""5,31"""
"Terras de Ourense e Allariz,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",2.24,""2,24"""
"Terras de Santiago,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",6.38,""6,38"""
"Ver’n - Viana,""Indicador Poboaci—n (2)"",""Todas"",2018,""2018"",2.07,""2,07"""
"Galicia,""Indicador Estacional (1)"",""Todas"",2018,""2018"",36.6,""36,6"""
"A Coru–a e As Mari–as,""Indicador Estacional (1)"",""Todas"",2018,""2018"",29.9,""29,9"""
"Ancares - Courel,""Indicador Estacional (1)"",""Todas"",2018,""2018"",29.2,""29,2"""
"Celanova - Limia,""Indicador Estacional (1)"",""Todas"",2018,""2018"",32.3,""32,3"""
"Costa da Morte,""Indicador Estacional (1)"",""Todas"",2018,""2018"",49.0,""49,0"""
"Deza - Tabeir—s,""Indicador Estacional (1)"",""Todas"",2018,""2018"",27.4,""27,4"""
"Ferrolterra,""Indicador Estacional (1)"",""Todas"",2018,""2018"",44.6,""44,6"""
"Lugo e a Terra Ch‡,""Indicador Estacional (1)"",""Todas"",2018,""2018"",23.6,""23,6"""
"Manzaneda - Trevinca,""Indicador Estacional (1)"",""Todas"",2018,""2018"",26.9,""26,9"""
"Mari–a Lucense,""Indicador Estacional (1)"",""Todas"",2018,""2018"",45.7,""45,7"""
"O Ribeiro,""Indicador Estacional (1)"",""Todas"",2018,""2018"",22.3,""22,3"""
"R’a de Arousa,""Indicador Estacional (1)"",""Todas"",2018,""2018"",54.4,""54,4"""
"R’a de Muros e Noia,""Indicador Estacional (1)"",""Todas"",2018,""2018"",63.6,""63,6"""
"R’a de Vigo e Baixo Mi–o,""Indicador Estacional (1)"",""Todas"",2018,""2018"",33.3,""33,3"""
"R’a e Terras de Pontevedra,""Indicador Estacional (1)"",""Todas"",2018,""2018"",40.1,""40,1"""
"Ribeira Sacra,""Indicador Estacional (1)"",""Todas"",2018,""2018"",26.5,""26,5"""
"Terras de Ourense e Allariz,""Indicador Estacional (1)"",""Todas"",2018,""2018"",22.1,""22,1"""
"Terras de Santiago,""Indicador Estacional (1)"",""Todas"",2018,""2018"",26.7,""26,7"""
"Ver’n - Viana,""Indicador Estacional (1)"",""Todas"",2018,""2018"",23.2,""23,2"""
"Galicia,""Indicador Estacional (2)"",""Todas"",2018,""2018"",3.9,""3,9"""
"A Coru–a e As Mari–as,""Indicador Estacional (2)"",""Todas"",2018,""2018"",0.9,""0,9"""
"Ancares - Courel,""Indicador Estacional (2)"",""Todas"",2018,""2018"",-1.6,""-1,6"""
"Celanova - Limia,""Indicador Estacional (2)"",""Todas"",2018,""2018"",5.1,""5,1"""
"Costa da Morte,""Indicador Estacional (2)"",""Todas"",2018,""2018"",11.9,""11,9"""
"Deza - Tabeir—s,""Indicador Estacional (2)"",""Todas"",2018,""2018"",-6.1,""-6,1"""
"Ferrolterra,""Indicador Estacional (2)"",""Todas"",2018,""2018"",6.7,""6,7"""
"Lugo e a Terra Ch‡,""Indicador Estacional (2)"",""Todas"",2018,""2018"",-3.0,""-3,0"""
"Manzaneda - Trevinca,""Indicador Estacional (2)"",""Todas"",2018,""2018"",2.9,""2,9"""
"Mari–a Lucense,""Indicador Estacional (2)"",""Todas"",2018,""2018"",7.4,""7,4"""
"O Ribeiro,""Indicador Estacional (2)"",""Todas"",2018,""2018"",-1.8,""-1,8"""
"R’a de Arousa,""Indicador Estacional (2)"",""Todas"",2018,""2018"",9.9,""9,9"""
"R’a de Muros e Noia,""Indicador Estacional (2)"",""Todas"",2018,""2018"",21.9,""21,9"""
"R’a de Vigo e Baixo Mi–o,""Indicador Estacional (2)"",""Todas"",2018,""2018"",3.7,""3,7"""
"R’a e Terras de Pontevedra,""Indicador Estacional (2)"",""Todas"",2018,""2018"",4.7,""4,7"""
"Ribeira Sacra,""Indicador Estacional (2)"",""Todas"",2018,""2018"",-1.4,""-1,4"""
"Terras de Ourense e Allariz,""Indicador Estacional (2)"",""Todas"",2018,""2018"",-0.4,""-0,4"""
"Terras de Santiago,""Indicador Estacional (2)"",""Todas"",2018,""2018"",1.2,""1,2"""
"Ver’n - Viana,""Indicador Estacional (2)"",""Todas"",2018,""2018"",-2.4,""-2,4"""
"Galicia,""Noites"",""F—ra de Galicia"",2018,""2018"",7312484,""7.312.484"""
"A Coru–a e As Mari–as,""Noites"",""F—ra de Galicia"",2018,""2018"",932869,""932.869"""
"Ancares - Courel,""Noites"",""F—ra de Galicia"",2018,""2018"",46408,""46.408"""
"Celanova - Limia,""Noites"",""F—ra de Galicia"",2018,""2018"",42955,""42.955"""
"Costa da Morte,""Noites"",""F—ra de Galicia"",2018,""2018"",215982,""215.982"""
"Deza - Tabeir—s,""Noites"",""F—ra de Galicia"",2018,""2018"",87820,""87.820"""
"Ferrolterra,""Noites"",""F—ra de Galicia"",2018,""2018"",295318,""295.318"""
"Lugo e a Terra Ch‡,""Noites"",""F—ra de Galicia"",2018,""2018"",399137,""399.137"""
"Manzaneda - Trevinca,""Noites"",""F—ra de Galicia"",2018,""2018"",37709,""37.709"""
"Mari–a Lucense,""Noites"",""F—ra de Galicia"",2018,""2018"",307168,""307.168"""
"O Ribeiro,""Noites"",""F—ra de Galicia"",2018,""2018"",88583,""88.583"""
"R’a de Arousa,""Noites"",""F—ra de Galicia"",2018,""2018"",1355953,""1.355.953"""
"R’a de Muros e Noia,""Noites"",""F—ra de Galicia"",2018,""2018"",81782,""81.782"""
"R’a de Vigo e Baixo Mi–o,""Noites"",""F—ra de Galicia"",2018,""2018"",1116989,""1.116.989"""
"R’a e Terras de Pontevedra,""Noites"",""F—ra de Galicia"",2018,""2018"",439462,""439.462"""
"Ribeira Sacra,""Noites"",""F—ra de Galicia"",2018,""2018"",219200,""219.200"""
"Terras de Ourense e Allariz,""Noites"",""F—ra de Galicia"",2018,""2018"",237781,""237.781"""
"Terras de Santiago,""Noites"",""F—ra de Galicia"",2018,""2018"",1359387,""1.359.387"""
"Ver’n - Viana,""Noites"",""F—ra de Galicia"",2018,""2018"",47980,""47.980"""
"Galicia,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",247,""247"""
"A Coru–a e As Mari–as,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",991,""991"""
"Ancares - Courel,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",21,""21"""
"Celanova - Limia,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",24,""24"""
"Costa da Morte,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",126,""126"""
"Deza - Tabeir—s,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",60,""60"""
"Ferrolterra,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",186,""186"""
"Lugo e a Terra Ch‡,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",94,""94"""
"Manzaneda - Trevinca,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",27,""27"""
"Mari–a Lucense,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",220,""220"""
"O Ribeiro,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",88,""88"""
"R’a de Arousa,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",2153,""2.153"""
"R’a de Muros e Noia,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",204,""204"""
"R’a de Vigo e Baixo Mi–o,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",693,""693"""
"R’a e Terras de Pontevedra,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",417,""417"""
"Ribeira Sacra,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",86,""86"""
"Terras de Ourense e Allariz,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",298,""298"""
"Terras de Santiago,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",449,""449"""
"Ver’n - Viana,""Indicador ‡rea"",""F—ra de Galicia"",2018,""2018"",27,""27"""
"Galicia,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",2890,""2.890"""
"A Coru–a e As Mari–as,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",4838,""4.838"""
"Ancares - Courel,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",,""-"""
"Celanova - Limia,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",,""-"""
"Costa da Morte,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",474,""474"""
"Deza - Tabeir—s,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",,""-"""
"Ferrolterra,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",617,""617"""
"Lugo e a Terra Ch‡,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",,""-"""
"Manzaneda - Trevinca,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",,""-"""
"Mari–a Lucense,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",1171,""1.171"""
"O Ribeiro,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",,""-"""
"R’a de Arousa,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",2738,""2.738"""
"R’a de Muros e Noia,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",571,""571"""
"R’a de Vigo e Baixo Mi–o,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",3815,""3.815"""
"R’a e Terras de Pontevedra,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",2112,""2.112"""
"Ribeira Sacra,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",,""-"""
"Terras de Ourense e Allariz,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",,""-"""
"Terras de Santiago,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",,""-"""
"Ver’n - Viana,""Indicador Costa"",""F—ra de Galicia"",2018,""2018"",,""-"""
"Galicia,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",0.74,""0,74"""
"A Coru–a e As Mari–as,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",0.59,""0,59"""
"Ancares - Courel,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",0.72,""0,72"""
"Celanova - Limia,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",0.27,""0,27"""
"Costa da Morte,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",0.51,""0,51"""
"Deza - Tabeir—s,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",0.36,""0,36"""
"Ferrolterra,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",0.43,""0,43"""
"Lugo e a Terra Ch‡,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",0.57,""0,57"""
"Manzaneda - Trevinca,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",0.35,""0,35"""
"Mari–a Lucense,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",1.18,""1,18"""
"O Ribeiro,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",0.54,""0,54"""
"R’a de Arousa,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",1.95,""1,95"""
"R’a de Muros e Noia,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",0.53,""0,53"""
"R’a de Vigo e Baixo Mi–o,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",0.58,""0,58"""
"R’a e Terras de Pontevedra,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",0.53,""0,53"""
"Ribeira Sacra,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",1.00,""1,00"""
"Terras de Ourense e Allariz,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",0.44,""0,44"""
"Terras de Santiago,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",1.36,""1,36"""
"Ver’n - Viana,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2018,""2018"",0.40,""0,40"""
"Galicia,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2018,""2018"",2.71,""2,71"""
"A Coru–a e As Mari–as,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2018,""2018"",2.16,""2,16"""
"Ancares - Courel,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2018,""2018"",2.62,""2,62"""
"Celanova - Limia,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2018,""2018"",0.99,""0,99"""
"Costa da Morte,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2018,""2018"",1.86,""1,86"""
"Deza - Tabeir—s,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2018,""2018"",1.31,""1,31"""
"Ferrolterra,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2018,""2018"",1.56,""1,56"""
"Lugo e a Terra Ch‡,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2018,""2018"",2.10,""2,10"""
"Manzaneda - Trevinca,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2018,""2018"",1.28,""1,28"""
"Mari–a Lucense,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2018,""2018"",4.32,""4,32"""
"O Ribeiro,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2018,""2018"",1.96,""1,96"""
"R’a de Arousa,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2018,""2018"",7.11,""7,11"""
"R’a de Muros e Noia,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2018,""2018"",1.95,""1,95"""
"R’a de Vigo e Baixo Mi–o,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2018,""2018"",2.13,""2,13"""
