grid_ids,species,total_area_km2,iucn_category
144,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
145,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
146,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
147,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
148,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
149,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
150,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
152,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
153,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
154,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
155,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
156,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
157,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
158,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
159,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
160,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
161,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
162,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
163,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
164,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
165,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
168,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
169,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
170,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
171,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
172,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
173,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
174,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
175,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
176,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
177,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
178,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
179,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
180,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
184,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
185,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
186,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
187,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
188,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
189,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
190,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
191,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
192,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
193,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
200,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
201,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
202,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
203,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
204,MARINEFISH_PART6,12249062.72,CR;EN;LC;VU;NT;EX
