grid_ids,species,total_area_km2,iucn_category
131,LOBSTERS,967279.24,LC;NT
132,LOBSTERS,967279.24,LC;NT
133,LOBSTERS,967279.24,LC;NT
134,LOBSTERS,967279.24,LC;NT
135,LOBSTERS,967279.24,LC;NT
136,LOBSTERS,967279.24,LC;NT
137,LOBSTERS,967279.24,LC;NT
138,LOBSTERS,967279.24,LC;NT
139,LOBSTERS,967279.24,LC;NT
140,LOBSTERS,967279.24,LC;NT
141,LOBSTERS,967279.24,LC;NT
142,LOBSTERS,967279.24,LC;NT
143,LOBSTERS,967279.24,LC;NT
144,LOBSTERS,967279.24,LC;NT
145,LOBSTERS,967279.24,LC;NT
146,LOBSTERS,967279.24,LC;NT
147,LOBSTERS,967279.24,LC;NT
148,LOBSTERS,967279.24,LC;NT
149,LOBSTERS,967279.24,LC;NT
150,LOBSTERS,967279.24,LC;NT
152,LOBSTERS,967279.24,LC;NT
153,LOBSTERS,967279.24,LC;NT
154,LOBSTERS,967279.24,LC;NT
155,LOBSTERS,967279.24,LC;NT
156,LOBSTERS,967279.24,LC;NT
157,LOBSTERS,967279.24,LC;NT
158,LOBSTERS,967279.24,LC;NT
159,LOBSTERS,967279.24,LC;NT
160,LOBSTERS,967279.24,LC;NT
161,LOBSTERS,967279.24,LC;NT
162,LOBSTERS,967279.24,LC;NT
163,LOBSTERS,967279.24,LC;NT
164,LOBSTERS,967279.24,LC;NT
165,LOBSTERS,967279.24,LC;NT
168,LOBSTERS,967279.24,LC;NT
169,LOBSTERS,967279.24,LC;NT
170,LOBSTERS,967279.24,LC;NT
171,LOBSTERS,967279.24,LC;NT
172,LOBSTERS,967279.24,LC;NT
173,LOBSTERS,967279.24,LC;NT
174,LOBSTERS,967279.24,LC;NT
175,LOBSTERS,967279.24,LC;NT
176,LOBSTERS,967279.24,LC;NT
177,LOBSTERS,967279.24,LC;NT
178,LOBSTERS,967279.24,LC;NT
179,LOBSTERS,967279.24,LC;NT
180,LOBSTERS,967279.24,LC;NT
184,LOBSTERS,967279.24,LC;NT
185,LOBSTERS,967279.24,LC;NT
186,LOBSTERS,967279.24,LC;NT
187,LOBSTERS,967279.24,LC;NT
188,LOBSTERS,967279.24,LC;NT
189,LOBSTERS,967279.24,LC;NT
190,LOBSTERS,967279.24,LC;NT
191,LOBSTERS,967279.24,LC;NT
192,LOBSTERS,967279.24,LC;NT
193,LOBSTERS,967279.24,LC;NT
200,LOBSTERS,967279.24,LC;NT
201,LOBSTERS,967279.24,LC;NT
202,LOBSTERS,967279.24,LC;NT
203,LOBSTERS,967279.24,LC;NT
204,LOBSTERS,967279.24,LC;NT
