grid_ids,species,total_area_km2,iucn_category
62,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
63,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
64,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
65,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
66,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
67,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
68,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
69,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
70,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
76,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
77,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
78,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
79,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
80,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
81,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
82,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
83,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
84,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
85,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
86,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
87,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
89,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
91,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
92,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
93,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
94,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
95,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
96,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
97,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
98,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
99,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
100,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
101,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
102,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
103,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
104,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
106,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
107,TUNAS_BILLFISHES_SWORDFISH,4513921.81,NT;LC;EN;VU
