year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1950,182,27,Microstomus kitt,Lemon sole,601382,24.4471419351769,Microstomus_kitt-27
1950,182,27,Miscellaneous aquatic invertebrates,Aquatic invertebrates,100077,20968.6131301682,Miscellaneous_aquatic_invertebrates-27
1950,182,27,Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",100047,30.0507048626443,Miscellaneous_marine_crustaceans-27
1950,182,27,Mola mola,Ocean sunfish,601732,0.0878885673918179,Mola_mola-27
1950,182,27,Mollusca,"Clams, seasnails, squids, octopuses",190195,10333.0782894762,Mollusca-27
1950,182,27,Mugil cephalus,Flathead grey mullet,600785,0.0283981746880948,Mugil_cephalus-27
1950,182,27,Mugilidae,"Mullets, grey mullets",400359,10.0872218619304,Mugilidae-27
1950,182,27,Mullidae,Goatfishes,400332,6.28584164757151,Mullidae-27
1950,182,27,Mullus,Atlantic goatfishes,500143,1.11675364445288,Mullus-27
1950,182,27,Mullus barbatus barbatus,Red mullet,600790,31.6968340710771,Mullus_barbatus_barbatus-27
1950,182,27,Mullus surmuletus,Surmullet,601327,109.032364822144,Mullus_surmuletus-27
1950,182,27,Myliobatis aquila,Common eagleray,604330,0.0780776010435512,Myliobatis_aquila-27
1950,182,27,Mytilus edulis,Blue mussel,690053,930.758900597322,Mytilus_edulis-27
1950,182,27,Naucrates ductor,Pilotfish,600998,0.00171910097000946,Naucrates_ductor-27
1950,182,27,Nephrops norvegicus,Norway lobster,690273,62.3381103942117,Nephrops_norvegicus-27
1950,182,27,Oblada melanura,Saddled seabream,600850,3.57905521326819,Oblada_melanura-27
1950,182,27,Octopus vulgaris,Common octopus,690088,655.388332365482,Octopus_vulgaris-27
1950,182,27,Ommastrephidae,Arrow squids,490004,0.521034039884825,Ommastrephidae-27
1950,182,27,Ostrea edulis,European flat oyster,690123,367.261985403557,Ostrea_edulis-27
1950,182,27,Pagellus acarne,Axillary seabream,600889,35.4378436494417,Pagellus_acarne-27
1950,182,27,Pagellus bogaraveo,Blackspot seabream,600890,221.688598424588,Pagellus_bogaraveo-27
1950,182,27,Pagellus erythrinus,Common pandora,600893,93.4066794525,Pagellus_erythrinus-27
1950,182,27,Pagrus auriga,Redbanded seabream,605066,45.0686495504157,Pagrus_auriga-27
1950,182,27,Pagrus pagrus,Red porgy,601756,88.933538936347,Pagrus_pagrus-27
1950,182,27,Palinurus,Spiny lobsters,590082,0.5227244877,Palinurus-27
1950,182,27,Palinurus elephas,Common spiny lobster,690092,1.9592438163821e-4,Palinurus_elephas-27
1950,182,27,Paracentrotus lividus,Stony sea urchin,690400,0.0030480891883043,Paracentrotus_lividus-27
1950,182,27,Pecten maximus,Great Atlantic scallop,690156,58.0082609214709,Pecten_maximus-27
1950,182,27,Perciformes,Perch-likes,300060,4.48898655000129,Perciformes-27
