stock_name,common
Parapristipoma_octolineatum,NA
Solea_senegalensis,NA
Raja_asterias,NA
Sparisoma_cretense,Old parrotfish
Scomber_colias,Atlantic chub mackerel
Pollicipes_pollicipes,NA
Aristeus_antennatus,Blue and red shrimp
Mytilus_edulis,Blue mussel
Illex_coindetii,NA
Penaeus_kerathurus,NA
Sepia_officinalis,Common cuttlefish
Cardium_edule,Common edible cockle
Octopus_vulgaris,Common octopus
Littorina_littorea,Common periwinkle
Palaemon_serratus,NA
Crangon_crangon,Common shrimp
Palinurus_elephas,NA
Parapenaeus_longirostris,Deepwater rose shrimp
Cancer_pagurus,Edible crab
Ostrea_edulis,European flat oyster
Todarodes_sagittatus,European flying squid
Homarus_gammarus,European lobster
Pecten_maximus,Great Atlantic scallop
Carcinus_maenas,Green crab
Ruditapes_decussatus,NA
Mytilus_galloprovincialis,Mediterranean mussel
Carcinus_aestuarii,NA
Nephrops_norvegicus,Norway lobster
Crassostrea_gigas,Pacific cupped oyster
Palinurus_mauritanicus,NA
Venerupis_corrugata,NA
Aequipecten_opercularis,Queen scallop
Aristaeopsis_edwardsiana,NA
Maja_squinado,NA
Squilla_mantis,Spottail mantis squillid
Chamelea_gallina,Striped venus
Mimachlamys_varia,NA
Necora_puber,Velvet swimcrab
Cerastoderma_edule,Common cockle
Liocarcinus_depurator,NA
Palaemon_longirostris,NA
Eledone_cirrhosa,Horned octopus
Bolinus_brandaris,NA
Acanthocardia_tuberculata,Tuberculate cockle
Ensis_siliqua,NA
Calappa_granulata,NA
Ommastrephes,NA
Venerupis,NA
Geryon_longipes,NA
Plesionika_edwardsii,NA
Pasiphaea_multidentata,NA
Plesionika_heterocarpus,NA
Solen_marginatus,NA
Alloteuthis_subulata,NA
Sepia_orbignyana,NA
Todaropsis_eblanae,NA
Donax_trunculus,NA
Venus_nux,NA
Aristeidae,NA
Thalassoma_pavo,NA
Labrus_merula,NA
Epinephelus_caninus,NA
Scyllarides_latus,NA
Holothuroidea,NA
Sebastidae,NA
Galeus,NA
Etmopterus,NA
Carcharhinus_obscurus,NA
Scomberomorus_tritor,West African Spanish mackerel
Berycidae,NA
Deania_calcea,NA
Beryx_decadactylus,NA
Scyliorhinidae,NA
Scyllaridae,NA
Microchirus_variegatus,NA
Centroscyllium_fabricii,NA
Stromateus_fiatola,Blue butterfish
Chimaeriformes,NA
Soleidae,NA
Mactridae,NA
Centroselachus_crepidater,NA
Scomberesocidae,NA
Scymnodon_ringens,NA
Chimaera_monstrosa,NA
Anarhichadidae,NA
Penaeidae,NA
Mugil,NA
Gaidropsarus,NA
Etmopterus_spinax,NA
Oxynotus_paradoxus,NA
Rostroraja_alba,NA
Chaceon_affinis,NA
Sphyrnidae,NA
Pomadasys,NA
Paphia,NA
Carcharhinus_brachyurus,NA
Raja_brachyura,NA
Carcharhiniformes,NA
Trichiuridae,NA
Triakidae,NA
Somniosus_rostratus,NA
Carcharhinus_galapagensis,NA
Anthias_anthias,NA
Molva_macrophthalma,NA
Mustelus_asterias,NA
Spisula_solida,NA
Ascidiacea,NA
Torpedinidae,NA
Carcharias_taurus,NA
Spicara_maena,Blotched picarel
Scophthalmidae,NA
Geryon,NA
Chelon_ramada,NA
Pecten_jacobaeus,NA
Scyllarus_arctus,NA
Paromola_cuvieri,NA
Echinoidea,NA
Dendrobranchiata,NA
Carcharodon_carcharias,NA
Sphyraena_barracuda,Great barracuda
Chelon_saliens,NA
Anomura,NA
Echinorhinus_brucus,NA
Centrophorus_lusitanicus,NA
Ommastrephes_bartramii,NA
Glycymeris_glycymeris,Dog cockle
Moridae,NA
Kyphosidae,NA
Trachinidae,NA
Pleuronectidae,NA
Solenoceridae,NA
Coryphaena,NA
Epigonus,NA
Sarda,NA
Hydrolagus,NA
Trisopterus,NA
Tellina,NA
Liocarcinus,NA
Ammodytes_tobianus,NA
Arnoglossus_imperialis,NA
Capros_aper,Boarfish
Cepola_macrophthalma,NA
Bothus_podas,NA
Naucrates_ductor,NA
Cheilopogon_heterurus,NA
Hirundichthys_rondeletii,NA
Centracanthus_cirrus,NA
Gymnammodytes_cicerelus,NA
Lepidotrigla_cavillone,NA
Scorpaena_notata,NA
Campogramma_glaycos,NA
Trachyrincus_scabrus,NA
Gobius_cruentatus,NA
Bathysolea_profundicola,NA
Deltentosteus_quadrimaculatus,NA
Microcosmus_sulcatus,NA
Paracentrotus_lividus,NA
Venus_verrucosa,Warty venus
Ensis_ensis,NA
Alloteuthis,NA
Pseudaphya_ferreri,NA
Plesionika_martia,NA
Pasiphaea_sivado,NA
Cerastoderma_glaucum,NA
Parastichopus_regalis,NA
Arbacia_lixula,NA
Sepia_elegans,NA
Thysanoteuthis_rhombus,NA
Chiroteuthis_veranii,NA
Polititapes_rhomboides,NA
Arca_noae,NA
Nassarius_mutabilis,NA
Hexaplex_trunculus,NA
Alloteuthis_media,NA
Mycteroperca_rubra,NA
Congridae,NA
Apogon_imberbis,NA
Alectis_alexandrina,Alexandria pompano
Anarhichas_lupus,Atlantic wolffish
Aphanopus,NA
Mytilus,NA
Buglossidium_luteum,NA
Sander_lucioperca,Pike-perch
Odontaspis_ferox,NA
Cyprinus_carpio,NA
Ruditapes_philippinarum,Japanese carpet shell
Spisula_ovalis,NA
Macroramphosus_scolopax,Longspine snipefish
Elagatis_bipinnulata,Rainbow runner
Mercenaria_mercenaria,Northern quahog
Nephropidae,NA
Trichiurus,NA
Haliotis,NA
Atherina_presbyter,NA
Seriola_rivoliana,NA
Gymnothorax_unicolor,NA
Ophidion_barbatum,NA
Caranx_crysos,Blue runner
Promethichthys_prometheus,NA
Solen_vagina,NA
Peristediidae,NA
Labrus_viridis,NA
Alepocephalus_bairdii,NA
Epinephelus_aeneus,White grouper
Holothuriidae,NA
Gadiculus_argenteus_thori,NA
