sci_name,source_file
Haematopus ostralegus,BIRDS_intersection
Himantopus himantopus,BIRDS_intersection
Hirundo rustica,BIRDS_intersection
Lullula arborea,BIRDS_intersection
Motacilla alba,BIRDS_intersection
Motacilla flava,BIRDS_intersection
Muscicapa striata,BIRDS_intersection
Pandion haliaetus,BIRDS_intersection
Passer domesticus,BIRDS_intersection
Phoenicurus ochruros,BIRDS_intersection
Phoenicurus phoenicurus,BIRDS_intersection
Phylloscopus collybita,BIRDS_intersection
Phylloscopus ibericus,BIRDS_intersection
Riparia riparia,BIRDS_intersection
Scolopax rusticola,BIRDS_intersection
Spatula clypeata,BIRDS_intersection
Streptopelia decaocto,BIRDS_intersection
Streptopelia turtur,BIRDS_intersection
Sturnus vulgaris,BIRDS_intersection
Curruca communis,BIRDS_intersection
Tachybaptus ruficollis,BIRDS_intersection
Tyto alba,BIRDS_intersection
Dendrocopos major,BIRDS_intersection
Falco subbuteo,BIRDS_intersection
Mareca penelope,BIRDS_intersection
Certhia brachydactyla,BIRDS_intersection
Limosa limosa,BIRDS_intersection
Lophophanes cristatus,BIRDS_intersection
Aegithalos caudatus,BIRDS_intersection
Lymnocryptes minimus,BIRDS_intersection
Numenius arquata,BIRDS_intersection
Vanellus vanellus,BIRDS_intersection
Pernis apivorus,BIRDS_intersection
Picus sharpei,BIRDS_intersection
Pluvialis apricaria,BIRDS_intersection
Strix aluco,BIRDS_intersection
Spatula querquedula,BIRDS_intersection
Tachymarptis melba,BIRDS_intersection
Tringa nebularia,BIRDS_intersection
Tringa totanus,BIRDS_intersection
Regulus ignicapilla,BIRDS_intersection
Turdus merula,BIRDS_intersection
Hippolais polyglotta,BIRDS_intersection
Fringilla montifringilla,BIRDS_intersection
Pica pica,BIRDS_intersection
Sylvia atricapilla,BIRDS_intersection
Corvus corax,BIRDS_intersection
Emberiza citrinella,BIRDS_intersection
Accipiter gentilis,BIRDS_intersection
Parus major,BIRDS_intersection
Phylloscopus trochilus,BIRDS_intersection
Prunella collaris,BIRDS_intersection
Sturnus unicolor,BIRDS_intersection
Sylvia borin,BIRDS_intersection
Turdus pilaris,BIRDS_intersection
Turdus viscivorus,BIRDS_intersection
Accipiter nisus,BIRDS_intersection
Actitis hypoleucos,BIRDS_intersection
Apus apus,BIRDS_intersection
Aythya fuligula,BIRDS_intersection
Calidris minuta,BIRDS_intersection
Cisticola juncidis,BIRDS_intersection
Coccothraustes coccothraustes,BIRDS_intersection
Emberiza cia,BIRDS_intersection
Loxia curvirostra,BIRDS_intersection
Passer montanus,BIRDS_intersection
Spinus spinus,BIRDS_intersection
Periparus ater,BIRDS_intersection
Delichon urbicum,BIRDS_intersection
Garrulus glandarius,BIRDS_intersection
Lanius meridionalis,BIRDS_intersection
Cyanistes caeruleus,BIRDS_intersection
Corvus corone,BIRDS_intersection
Calandrella brachydactyla,BIRDS_intersection
Anthus spinoletta,BIRDS_intersection
Alauda arvensis,BIRDS_intersection
Anthus trivialis,BIRDS_intersection
Ficedula parva,BIRDS_intersection
Carduelis carduelis,BIRDS_intersection
Serinus serinus,BIRDS_intersection
Curruca melanocephala,BIRDS_intersection
Troglodytes troglodytes,BIRDS_intersection
Anthus petrosus,BIRDS_intersection
Emberiza cirlus,BIRDS_intersection
Pyrrhula pyrrhula,BIRDS_intersection
Chloris chloris,BIRDS_intersection
Columba palumbus,BIRDS_intersection
Coturnix coturnix,BIRDS_intersection
Erithacus rubecula,BIRDS_intersection
Linaria cannabina,BIRDS_intersection
Prunella modularis,BIRDS_intersection
Turdus philomelos,BIRDS_intersection
Acrocephalus paludicola,BIRDS_intersection
Curruca undata,BIRDS_intersection
Numenius phaeopus,BIRDS_intersection
Turdus iliacus,BIRDS_intersection
Branta bernicla,BIRDS_intersection
Charadrius alexandrinus,BIRDS_intersection
Charadrius dubius,BIRDS_intersection
Emberiza calandra,BIRDS_intersection
Fulica atra,BIRDS_intersection
Galerida cristata,BIRDS_intersection
Rallus aquaticus,BIRDS_intersection
Pyrrhocorax pyrrhocorax,BIRDS_intersection
Oriolus oriolus,BIRDS_intersection
Mareca strepera,BIRDS_intersection
Caprimulgus europaeus,BIRDS_intersection
Lanius collurio,BIRDS_intersection
Burhinus oedicnemus,BIRDS_intersection
Corvus monedula,BIRDS_intersection
Asio otus,BIRDS_intersection
Recurvirostra avosetta,BIRDS_intersection
Luscinia megarhynchos,BIRDS_intersection
Cinclus cinclus,BIRDS_intersection
Calidris maritima,BIRDS_intersection
Clamator glandarius,BIRDS_intersection
Jynx torquilla,BIRDS_intersection
Acrocephalus arundinaceus,BIRDS_intersection
Petronia petronia,BIRDS_intersection
Melanitta fusca,BIRDS_intersection
Oenanthe oenanthe,BIRDS_intersection
Anas acuta,BIRDS_intersection
Tringa ochropus,BIRDS_intersection
Regulus regulus,BIRDS_intersection
Lanius senator,BIRDS_intersection
Tichodroma muraria,BIRDS_intersection
Asio flammeus,BIRDS_intersection
Poecile palustris,BIRDS_intersection
Ptyonoprogne rupestris,BIRDS_intersection
Sitta europaea,BIRDS_intersection
Scartella cristata,BLENNIES_intersection2
Parablennius pilicornis,BLENNIES_intersection2
Blennius ocellaris,BLENNIES_intersection2
Lipophrys trigloides,BLENNIES_intersection2
Parablennius gattorugine,BLENNIES_intersection2
Tripterygion delaisi,BLENNIES_intersection2
Parablennius ruber,BLENNIES_intersection2
Coryphoblennius galerita,BLENNIES_intersection2
Salaria pavo,BLENNIES_intersection2
Lipophrys pholis,BLENNIES_intersection2
Parablennius tentacularis,BLENNIES_intersection2
Parablennius sanguinolentus,BLENNIES_intersection2
Parablennius incognitus,BLENNIES_intersection2
Capros aper,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Callanthias ruber,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Cepola macrophthalma,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Umbrina canariensis,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Pagrus pagrus,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Diplodus cervinus,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Diplodus sargus,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Lithognathus mormyrus,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Dentex maroccanus,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Sarpa salpa,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Oblada melanura,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
