ANO,MES,PROVINCIA,RAMA,REXIME,AFILIACIONS
2009,Outubro,Lugo,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,66
2009,Outubro,Lugo,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime de autónomos,38
2009,Outubro,Lugo,"Agricultura, gandeiría e pesca",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,1093
2009,Outubro,Lugo,"Agricultura, gandeiría e pesca",Réxime de autónomos,16501
2009,Outubro,Lugo,Construción,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,10274
2009,Outubro,Lugo,Construción,Réxime de autónomos,4299
2009,Outubro,Lugo,Industria e enerxía,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,12571
2009,Outubro,Lugo,Industria e enerxía,Réxime de autónomos,2024
2009,Outubro,Lugo,Non clasificados,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,609
2009,Outubro,Lugo,Non clasificados,Réxime de autónomos,0
2009,Outubro,Lugo,Resto de servizos,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,52818
2009,Outubro,Lugo,Resto de servizos,Réxime de autónomos,13705
2009,Outubro,Lugo,Servizos de aloxamento,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,1010
2009,Outubro,Lugo,Servizos de aloxamento,Réxime de autónomos,206
2009,Outubro,Lugo,Servizos de comidas e bebidas,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,4615
2009,Outubro,Lugo,Servizos de comidas e bebidas,Réxime de autónomos,2878
2009,Outubro,Ourense,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,86
2009,Outubro,Ourense,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime de autónomos,32
2009,Outubro,Ourense,"Agricultura, gandeiría e pesca",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,1470
2009,Outubro,Ourense,"Agricultura, gandeiría e pesca",Réxime de autónomos,4562
2009,Outubro,Ourense,Construción,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,8531
2009,Outubro,Ourense,Construción,Réxime de autónomos,4919
2009,Outubro,Ourense,Industria e enerxía,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,14481
2009,Outubro,Ourense,Industria e enerxía,Réxime de autónomos,2496
2009,Outubro,Ourense,Non clasificados,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,945
2009,Outubro,Ourense,Non clasificados,Réxime de autónomos,0
2009,Outubro,Ourense,Resto de servizos,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,47878
2009,Outubro,Ourense,Resto de servizos,Réxime de autónomos,12383
2009,Outubro,Ourense,Servizos de aloxamento,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,779
2009,Outubro,Ourense,Servizos de aloxamento,Réxime de autónomos,137
2009,Outubro,Ourense,Servizos de comidas e bebidas,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,3534
2009,Outubro,Ourense,Servizos de comidas e bebidas,Réxime de autónomos,2884
