Rama de actividade,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022 (p)
"R47 Comercio polo miúdo, salvo de vehículos de motor e motocicletas","2,036,915","2,032,381","2,226,480","2,329,271","2,541,971","2,671,440","2,833,521","2,947,311","3,084,666","2,909,026","3,013,615","2,798,691","2,738,604","2,706,960","2,681,805","2,740,634","2,862,874","2,747,152","2,814,775","2,885,687","2,819,491","3,058,760","3,337,631"
H. Transporte e almacenamento,"1,475,851","1,606,391","1,640,149","1,768,558","1,836,134","1,827,918","1,980,773","2,191,080","2,292,922","2,161,327","2,154,270","2,140,921","2,095,269","2,027,735","2,076,475","2,209,671","2,324,686","2,377,285","2,593,845","2,611,637","2,318,547","2,617,803","2,764,947"
R49 Transporte terrestre e por tubaxe,"926,351","1,017,838","1,070,555","1,112,582","1,170,839","1,127,992","1,203,294","1,329,746","1,380,001","1,228,142","1,130,208","1,120,621","1,109,814","1,055,254","1,017,169","1,055,416","1,135,422","1,201,865","1,287,152","1,284,390","1,200,717","1,273,539","1,244,586"
R50_51 Transporte marítimo e por vías navegables interiores; transporte aéreo,"13,244","16,955","14,351","14,244","18,987","17,514","22,303","26,203","22,250","22,717","29,785","25,567","23,418","29,705","34,277","41,741","44,463","45,184","54,072","57,081","-8,896","22,374","63,565"
R52 Almacenamento e actividades anexas ao transporte,"426,693","460,537","446,738","528,108","527,394","566,657","612,709","686,084","725,267","751,145","839,535","821,629","790,720","800,074","884,848","972,312","1,003,696","989,673","1,080,936","1,097,321","971,957","1,130,099","1,242,845"
R53 Actividades postais e de correo,"109,563","111,061","108,505","113,624","118,914","115,755","142,467","149,047","165,404","159,323","154,742","173,104","171,317","142,702","140,181","140,202","141,105","140,563","171,685","172,845","154,769","191,791","213,951"
I. Hostalería,"1,295,324","1,340,917","1,498,617","1,597,926","1,755,607","1,899,886","2,003,792","2,202,274","2,272,183","2,291,970","2,289,651","2,384,298","2,274,659","2,193,722","2,193,281","2,272,513","2,373,046","2,681,752","2,811,128","3,006,607","1,564,867","2,428,426","3,460,785"
R55 Servizos de aloxamento,"227,737","236,661","265,084","281,249","309,264","335,621","345,504","348,331","347,836","329,869","343,573","326,546","292,647","258,158","259,390","295,100","353,376","384,833","383,100","410,326","198,279","448,606","589,818"
R56 Servizos de comidas e bebidas,"1,067,587","1,104,256","1,233,533","1,316,677","1,446,343","1,564,265","1,658,288","1,853,943","1,924,347","1,962,101","1,946,078","2,057,752","1,982,012","1,935,564","1,933,891","1,977,413","2,019,670","2,296,919","2,428,028","2,596,281","1,366,588","1,979,820","2,870,967"
J. Información e comunicacións,"1,321,879","1,355,042","1,394,475","1,455,862","1,544,616","1,528,168","1,640,768","1,722,348","1,847,177","1,759,902","1,707,864","1,618,902","1,524,031","1,418,785","1,362,115","1,320,642","1,494,213","1,577,802","1,628,175","1,701,417","1,712,377","1,746,937","1,898,028"
R58 Edición,"95,462","98,354","121,232","109,296","131,505","145,692","144,954","137,858","149,290","111,869","121,802","106,211","91,165","83,943","76,233","77,984","81,363","79,656","79,639","93,596","90,604","102,357","109,187"
"R59_60 Actividades cinematográficas de video e televisión, gravación de son e edición musical; actividades de programación e emisión de radio e televisión","95,217","100,834","127,510","127,542","136,922","145,087","161,963","161,659","161,473","161,006","153,701","158,425","147,219","137,540","136,006","129,714","145,811","145,559","150,552","160,653","151,793","150,754","186,618"
R61 Telecomunicacións ,"1,072,623","1,083,229","1,056,380","1,118,192","1,165,191","1,133,349","1,196,345","1,275,180","1,335,518","1,282,576","1,188,258","1,128,932","1,046,224","964,867","873,895","798,250","872,252","928,770","905,816","884,235","827,898","744,631","693,569"
"R62_63 Programación, consultoría e outras actividades relacionadas coa informática; servizos de información","58,577","72,625","89,353","100,832","110,998","104,040","137,506","147,651","200,896","204,451","244,103","225,334","239,423","232,435","275,981","314,694","394,787","423,817","492,168","562,933","642,082","749,195","908,654"
K. Actividades financeiras e de seguros,"1,036,251","1,247,080","1,290,579","1,369,755","1,435,060","1,499,791","1,615,531","1,923,600","2,082,450","2,233,059","1,907,590","1,700,996","1,647,965","1,464,067","1,599,194","1,665,012","1,715,531","1,829,847","1,958,591","2,018,294","2,112,601","2,207,251","2,492,512"
"R64 Servizos financeiros, agás seguros e fondos de pensións","832,529","1,030,256","1,040,457","1,074,051","1,061,107","1,066,223","1,147,805","1,398,879","1,574,677","1,751,096","1,355,956","1,141,993","1,102,916","932,512","1,050,056","1,135,234","1,105,231","1,176,710","1,276,147","1,356,284","1,416,142","1,518,304","1,639,995"
"R65 Seguros, reaseguros e fondos de pensións agás Seguridade Social obrigatoria","116,349","124,617","167,134","201,194","243,544","266,677","281,891","326,412","322,612","318,945","395,329","407,727","379,616","351,562","358,078","319,927","392,504","351,366","394,184","348,734","373,332","324,661","475,318"
R66 Actividades auxiliares aos servizos financeiros e aos seguros,"87,373","92,207","82,988","94,510","130,409","166,891","185,835","198,309","185,161","163,018","156,305","151,276","165,433","179,993","191,060","209,851","217,796","301,771","288,260","313,276","323,127","364,286","377,199"
L. Actividades inmobiliarias,"2,739,723","3,118,785","3,434,380","3,726,209","4,407,202","4,982,717","5,184,626","5,312,949","5,328,622","5,056,718","5,328,085","5,395,273","5,267,029","5,256,024","5,404,434","5,503,781","5,707,139","5,895,655","6,177,687","6,425,123","6,737,353","6,771,924","7,420,236"
R68 Actividades inmobiliarias,"2,739,723","3,118,785","3,434,380","3,726,209","4,407,202","4,982,717","5,184,626","5,312,949","5,328,622","5,056,718","5,328,085","5,395,273","5,267,029","5,256,024","5,404,434","5,503,781","5,707,139","5,895,655","6,177,687","6,425,123","6,737,353","6,771,924","7,420,236"
"M. Actividades profesionais, científicas e técnicas","722,550","835,798","909,751","1,006,587","1,089,864","1,210,382","1,410,384","1,665,813","1,747,628","1,735,936","1,832,610","1,842,092","1,780,989","1,823,871","1,855,122","2,029,775","1,960,440","2,048,045","2,148,851","2,396,625","2,438,695","2,669,197","2,822,515"
R69_70 Actividades xurídicas e de contabilidade; actividades das sedes centrais; actividades de consultoría e de xestión empresarial,..,..,..,..,..,"422,805","492,138","565,129","625,639","597,194","596,542","607,735","633,787","648,520","667,553","690,886","700,992","737,194","762,633","866,949","1,053,588","968,828","1,020,343"
R71 Servizos técnicos de arquitectura e enxeñería; ensaios e análise técnica,..,..,..,..,..,"446,218","524,999","621,221","614,953","618,248","515,673","519,374","419,581","464,862","452,294","467,197","478,338","444,711","488,937","562,217","536,208","587,346","597,633"
R72 Investigación e desenvolvemento,..,..,..,..,..,"104,584","144,252","172,386","179,111","190,559","186,710","174,741","190,447","173,996","182,671","201,364","185,468","213,050","227,810","223,335","215,328","241,366","261,349"
R73 Publicidade e estudos de mercado,..,..,..,..,..,"74,261","64,589","96,372","101,859","78,849","94,373","91,780","46,846","48,583","43,117","60,232","59,287","78,777","76,950","90,795","72,792","95,149","105,613"
"R74_75 Outras actividades profesionais, científicas, técnicas e veterinarias",..,..,..,..,..,"162,514","184,406","210,705","226,066","251,086","439,312","448,462","490,328","487,910","509,487","610,096","536,355","574,313","592,521","653,329","560,779","776,508","837,577"
N. Actividades administrativas e servizos auxiliares,"630,592","722,492","782,913","874,583","937,769","1,008,050","1,073,469","1,224,105","1,264,868","1,184,671","1,118,059","1,067,041","991,278","1,007,278","1,069,358","1,147,267","1,226,784","1,262,589","1,332,493","1,501,208","1,446,593","1,586,748","1,740,489"
R77 Actividades de alugueiro,..,..,..,..,..,"192,204","200,698","205,099","215,590","183,506","193,623","162,499","114,448","127,890","109,287","122,444","144,368","132,111","146,652","193,909","156,628","142,117","174,946"
R78 Actividades relacionadas co emprego,..,..,..,..,..,"160,140","181,681","206,842","200,474","148,863","161,925","154,460","134,003","134,170","159,260","211,368","267,647","301,412","313,095","310,891","283,773","327,403","320,780"
"R79 Actividades das axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas",..,..,..,..,..,"55,058","66,213","68,687","74,973","61,970","54,402","50,478","48,698","51,000","50,062","52,675","55,744","55,173","59,316","57,900","4,196","31,494","78,879"
R80_82 Actividades de seguridade e investigación; servizos a edificios e actividades de xardinería; actividades administrativas de oficina e outras actividades auxiliares das empresas,..,..,..,..,..,"600,648","624,877","743,477","773,831","790,332","708,109","699,604","694,129","694,218","750,749","760,780","759,025","773,893","813,430","938,508","1,001,996","1,085,734","1,165,884"
O. Administración pública e defensa; Seguridade Social obrigatoria,"1,822,874","1,918,188","1,972,842","2,127,571","2,287,288","2,444,138","2,674,061","2,914,380","3,154,565","3,302,527","3,280,635","3,302,634","3,127,971","3,218,524","3,242,257","3,310,114","3,403,283","3,431,862","3,538,217","3,695,132","3,833,719","3,903,121","4,090,947"
R84 Administración pública e defensa; Seguridade Social obrigatoria,"1,822,874","1,918,188","1,972,842","2,127,571","2,287,288","2,444,138","2,674,061","2,914,380","3,154,565","3,302,527","3,280,635","3,302,634","3,127,971","3,218,524","3,242,257","3,310,114","3,403,283","3,431,862","3,538,217","3,695,132","3,833,719","3,903,121","4,090,947"
P. Educación,"1,690,831","1,774,487","1,879,765","1,962,336","2,072,007","2,166,623","2,279,677","2,441,495","2,630,044","2,771,186","2,712,969","2,687,574","2,601,241","2,561,817","2,587,582","2,676,296","2,744,045","2,844,623","2,877,234","3,017,990","3,148,208","3,304,094","3,437,047"
R85M Educación de mercado,"313,872","327,787","362,816","393,523","425,920","447,846","502,679","517,529","558,341","563,925","544,188","553,538","583,837","505,609","503,193","534,792","530,073","579,136","576,986","605,155","606,609","655,793","721,191"
R85NM Educación de non mercado,"1,376,959","1,446,700","1,516,949","1,568,813","1,646,087","1,718,777","1,776,998","1,923,966","2,071,703","2,207,261","2,168,781","2,134,036","2,017,404","2,056,208","2,084,389","2,141,504","2,213,972","2,265,487","2,300,248","2,412,835","2,541,599","2,648,301","2,715,856"
Q. Actividades sanitarias e de servizos sociais,"1,596,892","1,706,675","1,798,250","1,891,702","2,043,770","2,221,829","2,426,517","2,790,669","3,059,608","3,350,672","3,377,953","3,361,318","3,261,461","3,317,022","3,361,836","3,412,233","3,552,663","3,679,516","3,800,394","4,070,292","4,160,906","4,554,130","4,671,790"
R86_88M Actividades sanitarias e de servizos sociais de mercado,"478,951","520,884","549,281","575,296","634,762","729,409","788,113","882,458","1,005,157","1,096,088","1,155,467","1,155,633","1,176,421","1,222,084","1,265,986","1,253,704","1,309,706","1,396,278","1,457,494","1,586,994","1,552,000","1,826,183","1,812,940"
R86_88NM Actividades sanitarias e de servizos sociais de non mercado,"1,117,941","1,185,791","1,248,969","1,316,406","1,409,008","1,492,420","1,638,404","1,908,211","2,054,451","2,254,584","2,222,486","2,205,685","2,085,040","2,094,938","2,095,850","2,158,529","2,242,957","2,283,238","2,342,900","2,483,298","2,608,906","2,727,947","2,858,850"
"R. Actividades artísticas, recreativas e de entretemento","357,667","401,377","376,125","417,854","487,416","557,042","639,941","690,275","729,664","747,521","768,323","747,441","855,409","722,313","735,157","775,460","812,244","858,780","902,144","873,793","720,422","818,127","966,718"
"R90_92 Actividades artísticas, culturais, de xogos de azar e apostas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"485,921","596,722"
"R93 Actividades deportivas, recreativas e de entretemento",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"332,206","369,996"
S. Outros servizos,"644,335","672,710","724,981","770,141","822,035","842,356","921,107","883,475","939,318","928,845","971,546","881,043","962,371","874,901","889,431","917,724","929,217","940,612","988,703","1,049,980","958,699","994,396","1,101,590"
R94 Actividades asociativas,"323,099","336,828","372,844","390,628","415,546","412,541","469,265","411,545","422,515","439,090","484,336","417,234","496,583","410,991","400,600","420,673","465,038","472,189","493,767","551,445","503,939","462,057","496,700"
"R95 Reparación de ordenadores, efectos persoais e artigos de uso doméstico","38,124","40,690","46,555","50,339","54,792","56,086","66,302","71,112","77,560","58,674","57,900","50,937","49,018","47,710","50,403","44,172","44,315","44,636","44,747","43,397","40,275","48,313","57,320"
R96 Outros servizos persoais,"283,112","295,192","305,582","329,174","351,697","373,729","385,540","400,818","439,243","431,081","429,310","412,872","416,770","416,200","438,428","452,879","419,864","423,787","450,189","455,138","414,485","484,026","547,570"
T. Actividades dos fogares como empregadores de persoal doméstico,"264,471","278,383","294,611","313,431","331,193","368,055","394,348","435,800","492,595","508,470","528,859","538,521","508,549","500,546","421,406","490,503","492,311","490,055","484,147","538,780","491,654","515,976","560,287"
R97 Actividades dos fogares como empregadores de persoal doméstico,"264,471","278,383","294,611","313,431","331,193","368,055","394,348","435,800","492,595","508,470","528,859","538,521","508,549","500,546","421,406","490,503","492,311","490,055","484,147","538,780","491,654","515,976","560,287"
TOTAL,"31,154,165","33,748,493","35,980,252","38,266,081","41,045,713","43,855,881","47,353,740","51,279,174","53,423,205","51,473,337","51,047,676","49,744,103","47,634,932","47,386,949","47,849,044","49,347,154","51,250,316","52,922,633","55,557,055","57,060,763","53,031,811","58,892,417","65,526,850"
