"year","catch","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","bbmsy_sd","bbmsy_mean","species"
2006,1377,0.686421578941064,0.962788141122863,1.09134898614413,1.20428762819669,1.40759218057845,0.184460792458972,1.07801179805346,"Conger conger"
2007,609.2,0.63796931753665,0.911839450518603,1.03348863254387,1.14303166562164,1.33360717079637,0.176354237407498,1.02328270364998,"Conger conger"
2007,1992.3,0.730441451858737,0.988662773333098,1.10852989017745,1.21680062788476,1.42687474013147,0.175585451912072,1.09983254782437,"Conger conger"
2008,923,0.615646818539499,0.838818294461652,0.94356839460817,1.03982133178665,1.23676237375251,0.157955493023315,0.937544038011138,"Conger conger"
2008,1618,0.641945633271241,0.862038446326238,0.967659341849879,1.06289722544519,1.26285494207715,0.154653558577337,0.958878885084943,"Conger conger"
2009,1205,0.569439050535822,0.764317695146836,0.864276085249334,0.957504115700083,1.15945099594691,0.146680816965754,0.861174298759823,"Conger conger"
2009,630.7,0.536549243854459,0.732774991532592,0.829655610327512,0.921762319630976,1.11515857292453,0.144146769327477,0.830833054280109,"Conger conger"
2010,1167.2,0.583389599020233,0.804457097852242,0.892791471996824,0.985305453799287,1.15420161435702,0.142180223678466,0.891587044740621,"Conger conger"
2010,585.3,0.587204361118104,0.784794781609084,0.865283945084996,0.954965639315293,1.14462305474413,0.135747626021983,0.866608993925202,"Conger conger"
2011,1872.25,0.653174615449264,0.855800791007079,0.941183104531565,1.03046080035716,1.20578186916535,0.133497116028802,0.941490847194017,"Conger conger"
2011,662.92,0.543079209910047,0.724610790007877,0.793551295141321,0.878379375641063,1.03075660874846,0.119455227657272,0.797412146814452,"Conger conger"
2012,1892.36,0.622251134000414,0.773369635673779,0.854363784166014,0.928810151276927,1.06816102078811,0.115436269170828,0.852949263429599,"Conger conger"
2012,721.78,0.498180884585541,0.634280253349512,0.69414064507543,0.769248202928689,0.908231101797088,0.104279223672546,0.701893083102839,"Conger conger"
2013,1664.88,0.527400578808341,0.671970880407985,0.734579001009046,0.798590901133816,0.936138301711941,0.100273445057284,0.735764993466282,"Conger conger"
2013,628.52,0.427054367892888,0.555527487441663,0.612926371226393,0.677513820922377,0.819445214073212,0.0962116467868033,0.6170852972764,"Conger conger"
2014,1291.3,0.46436287631872,0.598596433652659,0.653732916829196,0.71171248373517,0.855077144547126,0.0947980528420623,0.656666680853524,"Conger conger"
2014,615.43,0.412936645202997,0.530674393747,0.585737466550006,0.648603782622144,0.783305309285086,0.0925333756000579,0.59037445639626,"Conger conger"
2015,1296.35,0.453626792460734,0.572063756854525,0.624544155015886,0.679475699393815,0.815698625649695,0.0881252850501413,0.627162610106467,"Conger conger"
2015,695.8,0.393674851796742,0.499687681585081,0.549779140124511,0.605205523894698,0.736900748161982,0.085021443754994,0.554812789189218,"Conger conger"
2016,1221.33,0.414078488593867,0.520998794070941,0.572555840756869,0.624494434595101,0.757695148102706,0.0827959965367001,0.574721655404086,"Conger conger"
2016,528.62,0.354416547038521,0.452016179880548,0.5012339402063,0.557852361336995,0.69414916594854,0.0836899212818532,0.50941877187192,"Conger conger"
2017,1144.98,0.395914479269213,0.49570086468931,0.541023420602118,0.592242716411419,0.735829549162675,0.0811250697587794,0.547277245754414,"Conger conger"
2017,705.42,0.353537319870945,0.432462560374356,0.480471675273097,0.533927456892362,0.678916576269,0.0801356041890075,0.48867749957137,"Conger conger"
2018,1021.96,0.355280582768067,0.439948666495499,0.485431211947345,0.539182204443615,0.682467153845117,0.0809934377526284,0.494053722380105,"Conger conger"
2018,538.32,0.312503747990073,0.387587428673638,0.437511092657387,0.493873151298633,0.642566238395955,0.0846315226950566,0.447203175126196,"Conger conger"
2019,867.25,0.332070896111847,0.409294621414493,0.462056769516093,0.524497572239563,0.666106024572475,0.0878065632883791,0.472314465337158,"Conger conger"
2019,475.53,0.297763656595949,0.377769603564958,0.435964078421313,0.50300166040285,0.660774941512022,0.0941905705170487,0.446744828165631,"Conger conger"
2020,857.51,0.316198174395551,0.410784217412159,0.476718902322019,0.546207194232136,0.688242182221789,0.100399264529257,0.483278854482774,"Conger conger"
2020,569.01,0.278198096284477,0.376900175382648,0.458805350835162,0.538574850895424,0.681250271344323,0.110160389280004,0.462492786120353,"Conger conger"
2021,949.92,0.269281465559317,0.394700370297803,0.484809599710748,0.570003012489719,0.720057157449007,0.121955796319476,0.484809341490347,"Conger conger"
2021,558.16,0.200094427476205,0.339172376477033,0.455412671452623,0.554459021368019,0.696191471880782,0.13920648824465,0.448057257720787,"Conger conger"
2022,773.57,0.174177178916357,0.347369771949918,0.48668793230485,0.600249962426351,0.736251686872154,0.159689045910238,0.469156197603214,"Conger conger"
2022,515.74,0.103093765855085,0.312203107821125,0.486124100036189,0.615123185684016,0.741568812363955,0.186269631315673,0.458037096420999,"Conger conger"
2006,16.4,0.39151242552231,0.509919174890614,0.628111549836669,0.807803637494038,1.18623394315007,0.216560464875711,0.679305503920909,"Palaemon serratus"
2006,52.3,0.527798543992379,0.691183497282795,0.833140324236962,1.02934894497749,1.45639746936167,0.248441242451524,0.880721225930085,"Palaemon serratus"
2007,12.5,0.443061986458507,0.62716787143792,0.777932874606612,0.980698742660715,1.41259113528664,0.256205095953656,0.821793555481181,"Palaemon serratus"
2007,56,0.624080358111212,0.854102844238078,1.02928508563378,1.24857817290631,1.71238857003335,0.283942337216286,1.06941250821805,"Palaemon serratus"
2008,15,0.542182433059199,0.779864346319029,0.946097562806791,1.14094860432089,1.53972850149932,0.263528370941329,0.975742032541128,"Palaemon serratus"
2008,66,0.713602618396722,1.00348925201635,1.19806658920754,1.40882923707252,1.80266486193575,0.287542019466664,1.2162643380326,"Palaemon serratus"
2009,15.6,0.584175958121811,0.841531988504439,0.995007995438536,1.19352004213112,1.52060350566804,0.250622689202137,1.02252011444054,"Palaemon serratus"
2009,68.3,0.747606045097407,1.05569033247535,1.24424075423683,1.45972972643651,1.80021472313635,0.281425620673413,1.26074285947823,"Palaemon serratus"
2010,17.1,0.604827558337142,0.854945367680747,1.00231009676987,1.23438229174892,1.52229664685791,0.249609275115387,1.0395420851782,"Palaemon serratus"
2010,70.4,0.751851807951459,1.0582238634106,1.23439806021147,1.49067726740471,1.78914993833694,0.282985674682275,1.26511500552305,"Palaemon serratus"
2011,18.98,0.588816843379606,0.817254757042684,0.992984255111658,1.24343270608003,1.50929846617882,0.260084611454524,1.02518530135892,"Palaemon serratus"
2011,72.3,0.716576870491804,0.998203570241533,1.20116477703887,1.48605261085776,1.75945673847531,0.296531636423429,1.23258310885212,"Palaemon serratus"
2012,13.32,0.495114492306975,0.73891380370253,0.967100982270833,1.2315031661519,1.48836573032642,0.290314057774952,0.981459559477344,"Palaemon serratus"
2012,54.41,0.6475739060683,0.939299430467304,1.22086299567705,1.52345675512496,1.79556907472862,0.337939597458878,1.22703061748334,"Palaemon serratus"
2013,10.71,0.511811438218125,0.832459928205991,1.1300992111668,1.39434845535252,1.62328851285352,0.326796681436103,1.10700480530408,"Palaemon serratus"
2013,37.36,0.685275122165989,1.05281895132838,1.40422625687884,1.66622115808424,1.8980445712449,0.357865616782554,1.35584673157234,"Palaemon serratus"
2014,21.7,0.689526126802999,1.07816958806673,1.40480072756115,1.59324648377482,1.7871237209234,0.316919561953506,1.33106893645365,"Palaemon serratus"
2014,50.01,0.799786748300443,1.22213693780993,1.53340954256487,1.69842322478158,1.88198090957341,0.307973572753624,1.45249339269079,"Palaemon serratus"
2015,15.79,0.730643737240786,1.12834892684142,1.36736657563836,1.51078059996821,1.70322268107928,0.265055778626141,1.30915962608543,"Palaemon serratus"
2015,57.22,0.873494240215372,1.3175747392937,1.5690392875579,1.71055370738444,1.89274123088897,0.278496447478502,1.49879605922037,"Palaemon serratus"
2016,20.58,0.767339540498792,1.13820261032119,1.32851811413614,1.46642716919856,1.66227725847486,0.237522610115898,1.28880944026871,"Palaemon serratus"
2016,54.36,0.877608769052209,1.29545023519821,1.50669592364969,1.64341227521408,1.83345541687755,0.255499442259468,1.45356285531465,"Palaemon serratus"
2017,23.9,0.780958624050757,1.14263848316439,1.32935847236895,1.46569979762475,1.66112187369934,0.233273044519516,1.29161172562081,"Palaemon serratus"
2017,48.65,0.863217629371232,1.2752577797971,1.47775434550038,1.61441819281987,1.80889108248937,0.250082947991473,1.4292525060654,"Palaemon serratus"
2018,14.29,0.799591695911565,1.17562934348956,1.36224993379132,1.49829154036618,1.68330682617944,0.233970938430905,1.32210567201463,"Palaemon serratus"
2018,49.7,0.941294300959148,1.38067470406109,1.57858909742997,1.71043967708127,1.89786650895898,0.251455805073445,1.5260374989993,"Palaemon serratus"
2019,17.53,0.875802687236887,1.24237459419912,1.4030052006447,1.52296468976976,1.70665764459906,0.214311210791108,1.36809272586012,"Palaemon serratus"
2019,72.02,0.993462853523605,1.41426985230913,1.58192673871349,1.70230860794645,1.88375279992244,0.229055756371393,1.53786474753282,"Palaemon serratus"
2020,22.77,0.777883128084253,1.05899596219953,1.22267429742474,1.3562224401735,1.56271105188088,0.206858778972557,1.20355750578229,"Palaemon serratus"
2020,53.9,0.867774979601854,1.22493421224934,1.40057007357592,1.53986988133342,1.74823882942058,0.229019435996859,1.37163020271852,"Palaemon serratus"
2021,15.44,0.748803418536565,1.09301966694422,1.27761421592547,1.41606991340539,1.61450341994041,0.228297620196049,1.24437114625388,"Palaemon serratus"
2021,51.88,0.881547936239653,1.30514434625004,1.48910919888374,1.63339343185028,1.85157476310888,0.249297450015019,1.45273760351014,"Palaemon serratus"
