"year","Galician_name","FAOcode","total_kg","total_euros","Scientific_name","English_name","Family","Order.or.higher.taxa"
2022,"Marlín branco","WHM",37,68.45,"Kajikia albida","Atlantic white marlin","ISTIOPHORIDAE","CARANGIFORMES (MENOIDEI)"
2022,"Marraxo azul","SMA",2190.4,8610.605,"Isurus oxyrinchus","Shortfin mako","LAMNIDAE","LAMNIFORMES"
2022,"Maruca","LIN",72267.5,145967.77,"Molva molva","Ling","LOTIDAE","GADIFORMES"
2022,"Maruca do Mediterráneo","SLI",86,145.55,"Molva macrophthalma","Spanish ling","LOTIDAE","GADIFORMES"
2022,"Melga","DGS",19.8,59.4,"Squalus acanthias","Picked dogfish","SQUALIDAE","SQUALIFORMES"
2022,"Melgacho","SYC",398296.2,183917.988,"Scyliorhinus canicula","Small-spotted catshark","SCYLIORHINIDAE","CARCHARHINIFORMES"
2022,"Melva","BLT",205,205.27,"Auxis rochei","Bullet tuna","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)"
2022,"Melvas","FRZ",1920.8,1830.54,"Auxis thazard, A. rochei","Frigate and bullet tunas","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)"
2022,"Mendo limón","LEM",191763.2,479102.28,"Microstomus kitt","Lemon sole","PLEURONECTIDAE","CARANGIFORMES (PLEURONECTOIDEI)"
2022,"Merlán","WHG",869.25,1484.15,"Merlangius merlangus","Whiting","GADIDAE","GADIFORMES"
2022,"Mero","WRF",22435.55,612668.81,"Polyprion americanus","Wreckfish","POLYPRIONIDAE","ACROPOMATIFORMES"
2022,"Mero dourado","EPK",143.2,544.76,"Epinephelus costae","Goldblotch grouper","EPINEPHELIDAE","PERCIFORMES (PERCOIDEI)"
2022,"Mero xigante","EFJ",138.2,1242.636,"Epinephelus caninus","Dogtooth grouper","EPINEPHELIDAE","PERCIFORMES (PERCOIDEI)"
2022,"Miñoca de area","ARM",780.56,19519.913,"Arenicola marina","Lugworm","ARENICOLIDAE","ANELLIDA (POLYCHAETA)"
2022,"Miñoca de tubo","DIN",1592.585,40979.744,"Diopatra neapolitana","","ONUPHIDAE","ANELLIDA (POLYCHAETA)"
2022,"Morea","MMH",125.25,103.61,"Muraena helena","Mediterranean moray","MURAENIDAE","ANGUILLIFORMES"
2022,"Muxo beizos finos","MGC",4659.8,9109.09,"Chelon ramada","Thinlip grey mullet","MUGILIDAE","MUGILIFORMES"
2022,"Muxo cabezudo","MUF",27187.15,44995.12,"Mugil cephalus","Flathead grey mullet","MUGILIDAE","MUGILIFORMES"
2022,"Muxo dourado","MGA",636.15,814.068,"Chelon auratus","Golden grey mullet","MUGILIDAE","MUGILIFORMES"
2022,"Muxo negro","MLR",1318.4,1328.56,"Chelon labrosus","Thicklip grey mullet","MUGILIDAE","MUGILIFORMES"
2022,"Muxo saltón gris","LZS",9335.55,13922.8,"Chelon saliens","Leaping mullet","MUGILIDAE","MUGILIFORMES"
2022,"Muxos","MGS",2.8,1.5,"Mugil spp","","MUGILIDAE","MUGILIFORMES"
2022,"Navalla","EQK",542059.43,7173765.22199999,"Ensis magnus","Arched razor shell","PHARIDAE","BIVALVIA"
2022,"Nécora","LIO",106126.45,2004236.596,"Necora puber","Velvet swimcrab","POLYBIIDAE","DECAPODA (PLEOCYEMATA) BRACHYURA"
2022,"Obispo","POI",2027.4,4628.13,"Pontinus kuhlii","Offshore rockfish","SCORPAENIDAE","PERCIFORMES (SCORPAENOIDEI)"
2022,"Olayo Atlántico","GHA",23026.3,4677.49,"Galeus atlanticus","Atlantic sawtail catshark","PENTANCHIDAE","CARCHARHINIFORMES"
2022,"Ollomol","SBR",57569.29,1488471.172,"Pagellus bogaraveo","Blackspot seabream","SPARIDAE","ACANTHURIFORMES"
2022,"Ortiguilla de mar","NOW",19930,257745.371,"Anemonia sulcata","Snakelocks anemone","ACTINIIDAE","CNIDARIA (ANTHOZOA) HEXACORALLIA"
2022,"Ostra","OYF",92848.545,557750.03,"Ostrea edulis","European flat oyster","OSTREIDAE","BIVALVIA"
2022,"Ostra rizada","OYG",253528.49,269500.409,"Magallana gigas","Pacific cupped oyster","OSTREIDAE","BIVALVIA"
2022,"Ourizo","URM",655824.8,7481715.774,"Paracentrotus lividus","Stony sea urchin","PARECHINIDAE","ECHINODERMATA (ECHINOIDEA)"
2022,"Outras","MS-",19890,19413,NA,NA,NA,NA
2022,"Ovas de Maruca","LI0",2.5,7,NA,NA,NA,NA
2022,"Ovas de abadexo","PO0",3,7.59,NA,NA,NA,NA
2022,"Ovas de pescada","HK0",145011.72,654789.595,NA,NA,NA,NA
2022,"Pampo azul","BLB",11.4,50.9,"Stromateus fiatola","Blue butterfish","STROMATEIDAE","SCOMBRIFORMES (STROMATEOIDEI)"
2022,"Pancho bicudo","SBA",102028.88,488023.77,"Pagellus acarne","Axillary seabream","SPARIDAE","ACANTHURIFORMES"
2022,"Patexo","QPH",28480,2994.76,"Polybius henslowii","Henslow’s swimming crab","POLYBIIDAE","DECAPODA (PLEOCYEMATA) BRACHYURA"
2022,"Peixe araña","WEG",1723.35,1936.98,"Trachinus draco","Greater weever","TRACHINIDAE","PERCIFORMES (PERCOIDEI)"
2022,"Peixe cinta","CBC",6934,15078.95,"Cepola macrophthalma","Red bandfish","CEPOLIDAE","ACANTHURIFORMES"
2022,"Peixe espada","SWO",797207.55,5934366.15,"Xiphias gladius","Swordfish","XIPHIIDAE","CARANGIFORMES (MENOIDEI)"
2022,"Peixe limón","AMB",12.25,47.675,"Seriola dumerili","Greater amberjack","CARANGIDAE","CARANGIFORMES (CARANGOIDEI)"
2022,"Peixe negro","CEO",18,9,"Centrolophus niger","Rudderfish","CENTROLOPHIDAE","SCOMBRIFORMES (STROMATEOIDEI)"
2022,"Peixe pau","BLI",50737.04,124868.52,"Molva dypterygia","Blue ling","LOTIDAE","GADIFORMES"
2022,"Peixe porco","TRG",9306.81,34172.279,"Balistes capriscus","Grey triggerfish","BALISTIDAE","TETRAODONTIFORMES"
2022,"Peixe sabre","LHT",5677,19713.37,"Trichiurus lepturus","Largehead hairtail","TRICHIURIDAE","SCOMBRIFORMES (SCOMBROIDEI)"
2022,"Peixe sabre alongado","BDL",1592.6,6297.84,"Benthodesmus elongatus","Elongate frostfish","TRICHIURIDAE","SCOMBRIFORMES (SCOMBROIDEI)"
2022,"Peixe sabre negro","BSF",40132.47,150794.28,"Aphanopus carbo","Black scabbardfish","TRICHIURIDAE","SCOMBRIFORMES (SCOMBROIDEI)"
