"year","Galician_name","total_kg","total_euros","Spanish_name","FAO","Scientific_Name"
2022,"sargo común",347029.705000001,2346717.225,"Sargo","SWA","Diplodus sargus"
2022,"sastre vermello",2.8,5.86,"Sastre rojo","PQG","Pleuroncodes monodon"
2022,"sastres",3320.35,1773.38,NA,NA,NA
2022,"serrán",111.05,246.311,NA,NA,NA
2022,"serrán cabra",17016.2,29251.68,"Cabrilla","CBR","Serranus cabrilla"
2022,"serrán riscado",5036.15,10606.25,"Serrano","SRK","Serranus scriba"
2022,"solla",11505.12,87998.6049999999,"Platija","FLE","Platichthys flesus"
2022,"solla de altura",6071.2,13970.8,"Solla","PLE","Pleuronectes platessa"
2022,"tapa",757.1,4925.916,"Rapeta","ZGP","Zeugopterus punctatus"
2022,"tomás",123.25,876.09,NA,NA,NA
2022,"trompeteiro",7.2,2.16,"Trompetero","SNS","Macroramphosus scolopax"
2022,"veleiro do atlántico",179.5,746.57,"Pez vela del Atlántico","SAI","Istiophorus albicans"
2022,"vello",769.4,1018.345,"Bodión","YFC","Symphodus cinereus"
2022,"vieira",83199,457594.5,"Vieira o venera","SCE","Pecten maximus"
2022,"volandeira",498647.3,1365290.63,NA,"QSC","Aequipecten opercularis"
2022,"xarda",7285629.8,12560629.99,"Caballa","MAC","Scomber scombrus"
2022,"xarda pintada",969306.23,594828.115,"Estornino del Atlántico o caballa del sur","VMA","Scomber colias"
2022,"xuliana",2920094.41,16909683.53,"Rape blanco","MON","Lophius piscatorius"
2022,"xurelo",15816176.6,17621226.469,"Jurel","HOM","Trachurus trachurus"
2022,"xurelo do mediterráneo",5192.6,34397.584,"Jurel mediterráneo","HMM","Trachurus mediterraneus"
2022,"xurelo negro",5246.65,9231.14,"Chicharro","JAA","Trachurus picturatus"
2022,"zamborca",3413.7,8140.845,"Sábalo","ASD","Alosa alosa"
2022,"zamburiña",30121.8,313911.58,NA,"VSC","Chlamys varia"
2021,"abadexo",316428.98,2293985.797,"Abadejo","POL","Pollachius pollachius"
2021,"acedía",24493.24,178234.263,NA,NA,NA
2021,"agulla",208436.525,212067.522,"Aguja","GAR","Belone belone"
2021,"alacha",2.75,5.41,"Sardinela","SIX","Sardinella spp"
2021,"alcrique",633711.9,868223.63,"Paparda","SAU","Scomberesox saurus"
2021,"alfóndega",36832.9,94951.233,"Bejel/rubio","GUU","Chelidonichthys lucerna"
2021,"alga parda",69507.44,34833.94,NA,NA,NA
2021,"algas np",214.3,143.065,NA,NA,NA
2021,"algas verdes",134908,114871.1,NA,NA,NA
2021,"algas vermellas",7668.94,6296.655,NA,"SWR","Rhodophyceae"
2021,"ameixa babosa",330575.840000001,7291400.60699999,"Almeja babosa o chocha","CTS","Venerupis corrugata"
2021,"ameixa bicuda",2055.415,6717.791,"Almeja dorada o pirulo","VNA","Venerupis aurea"
2021,"ameixa fina",278972.912000001,8454371.83999999,"Almeja fina","CTG","Ruditapes decussatus"
2021,"ameixa rubia",254117.963,3611440.42,"Almeja rubia o roja","VNR","Venerupis rhomboides"
2021,"ameixa xaponesa",2041818.993,27400964.744,"Almeja japonesa","CLJ","Ruditapes philippinarum"
2021,"ameixón",22439.25,162878.242,NA,"KLK","Callista chione"
2021,"anguías",27640.184,637507.621,NA,NA,NA
2021,"argazo",152023,76790,NA,"LAZ","Laminariaceae"
2021,"atún patudo",16556.8,91519.98,"Patudo o atun de ojo grande o patudo del Atlántico","BET","Thunnus obesus"
2021,"atún vermello",14293.5,125671.68,"Atún rojo o de aleta azul","BFT","Thunnus thynnus"
2021,"bacallao",35202.19,130103.98,"Bacalao","COD","Gadus morhua"
2021,"bacoreta",1589.7,1104.52,NA,"LTA","Euthynnus alletteratus"
2021,"barbada común",1490.35,11693.787,"Lota","GGU","Gaidropsarus vulgaris"
2021,"barbada de area",2815.55000000001,14574.912,"Bertorella","GGD","Gaidropsarus mediterraneus"
2021,"berberecho",2100713.178,13745102.673,NA,"COC","Cerastoderma edule"
2021,"berete",3927.28,4258.069,"Rubio","CTZ","Chelidonichthys lastoviza"
2021,"bertorella brava",19488.35,45306.92,"Mora","RIB","Mora moro"
2021,"bertorella de lama",521693.46,1742501.995,"Brótola de fango","GFB","Phycis blennoides"
2021,"bertorella de rocha",8674.14999999999,36130.451,"Brótola de roca","FOR","Phycis phycis"
2021,"bertorellas",33.3,55.73,NA,"FOX","Phycis spp"
2021,"birollo",3347,15222.9,"Berberecho verde","KTG","Cerastoderma glaucum"
2021,"bocarte",4634574.9,7411644.568,"Anchoa/boquerone/bocarte","ENR","Engraulis spp"
2021,"boga",2098565.72,948883.559000002,NA,"BOG","Boops boops"
2021,"boi",31554.9,259184.068,"Buey de mar","CRE","Cancer pagurus"
2021,"bolo blanco",1899.9,4638.17,"Saltón","ZGS","Gymnammodytes semisquamatus"
2021,"bolo verde",799.9,1676.17,"Pión","YEZ","Hyperoplus lanceolatus"
2021,"bolo vermello",3515.6,5893.09,"Aguacioso","ABZ","Ammodytes tobianus"
2021,"bolos",892,1257.8,NA,"SAN","Ammodytes spp"
2021,"bonito alistado",2284.6,9758.643,"Listado o bonito de vientre rayado","SKJ","Katsuwonus pelamis"
2021,"bonito do atlántico",36130.7,163367.69,"Bonito","BON","Sarda sarda"
2021,"bonito do norte",1887328.16,7498780.28,"Atún blanco o bonito del norte o albacora","ALB","Thunnus alalunga"
2021,"breca",14619.2,59302.105,NA,"PAC","Pagellus erythrinus"
2021,"brosme",40,40.4,"Brosmio","USK","Brosme brosme"
2021,"burro",144860.73,193773.46,"Eglefino","HAD","Melanogrammus aeglefinus"
2021,"cabezudo",0.6,3,"Miracielo","UUC","Uranoscopus scaber"
2021,"cabra de altura",554740.419999999,2273311.79,"Gallineta","BRF","Helicolenus dactylopterus"
2021,"cabra dourada",3427.5,14098.83,"Gallineta nórdica","REG","Sebastes marinus"
2021,"cabracho de fondo",113.5,543.52,NA,NA,NA
2021,"cabras",1455.8,4941.165,NA,"RED","Sebastes spp"
2021,"cadelucha",1198.2,49021.891,"Coquina","DXL","Donax trunculus"
2021,"camarón común",76997.63,2357195.252,"Camarón","CPR","Palaemon serratus"
2021,"camarón de poza",990.3,8903.642,"Camarón de poza","PNQ","Palaemon elegans"
2021,"cangrexo común",19578.4,38997.117,"Cangrejo atlántico o verde","CRG","Carcinus maenas"
2021,"cangrexo real",130,339.88,NA,"KEF","Chaceon affinis"
2021,"carabineiro",11,550,"Carabinero","SSH","Plesiopenaeus edwardsianus"
2021,"caracola",30,59.03,"Bocina","WHE","Buccinum undatum"
2021,"caramuxo",62.4,164.56,"Bígaro","PEE","Littorina littorea"
2021,"carneiro",84527.115,726752.616000001,"Escupiña grabada","VEV","Venus verrucosa"
2021,"carrapicho",138,169.26,"Musgo de Irlanda","IMS","Chondrus crispus"
2021,"castañeta",1269891.39,3897798.255,"Japuta o palometa","POA","Brama brama"
2021,"castañeta de aleta longa",326,330.4,"Cangullo","TAL","Taractichthys longipinnis"
2021,"castañeta macho",54866.71,569634.8,"Alfonsiño o besugo americano","BYS","Beryx splendens"
2021,"castañeta vermella",53515.51,1354708.44,"Palometa roja","BXD","Beryx decadactylus"
2021,"cazapa",27252.75,11668.32,NA,NA,NA
2021,"cazón",12269.45,14456.755,NA,NA,NA
2021,"cazón liso",12753.55,5191.565,"Musola","SMD","Mustelus mustelus"
2021,"centola ou centolo",685741.040000001,6041683.21099999,NA,NA,NA
2021,"chaparella",73532.8,344984.858,"Mojarra","CTB","Diplodus vulgaris"
2021,"choco",530201.615000001,3859546.088,"Choco o jibia o sepia","CTC","Sepia officinalis"
2021,"chopiño",3676.8,26308.689,"Globito","CTR","Sepiola rondeleti"
2021,"choquiño",1170.95,12634.335,"Choquito","EJE","Sepia elegans"
2021,"choquiño picudo",122.4,2003.99,"Choquito picudo","IAR","Sepia orbignyana"
2021,"choupa",126674.565,210192.174,"Chopa","BRB","Spondyliosoma cantharus"
2021,"cigala",188650.97,2706988.66,NA,"NEP","Nephrops norvegicus"
2021,"cochinilla",1141.9,2298.85,"Escolar o pez mantequilla","OIL","Ruvettus pretiosus"
2021,"cogombro de mar negro",2,6,NA,NA,NA
2021,"cogombro de mar real",116502.38,226540.66,"Espardeña","JCR","Parastichopus (=Stichopus) regalis"
2021,"congro",1516048.32,2886327.893,"Congrio","COE","Conger conger"
2021,"conguito",6341.6,10321.603,"Cangrejo de arrugas","ICC","Liocarcinus corrugatus"
2021,"coreano",643517.2,1474544.5,"Mendo","WIT","Glyptocephalus cynoglossus"
2021,"cornecho espinoso",413.84,620.79,"Cañaílla","BOY","Bolinus brandaris"
2021,"cornicha",664424.43,3213462.706,"Almeja blanca o clica","ULO","Spisula solida"
2021,"correa",19457,11019,NA,"HLZ","Himanthalia elongata"
2021,"corvina real",149.8,823.295,"Corvina","MGR","Argyrosomus regius"
2021,"curuxo",31746.6000000001,520436.335000001,"Remol","BLL","Scophthalmus rhombus"
2021,"dentón",3217.85,31560.192,"Dentón o dentón europeo","DEC","Dentex dentex"
