"Column1","Area","Units","Country","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","Latin species name","English","Spanish","French"
"BAR","27.9.a","TLW","ES","0.08","0.14","0.04","0.13","0.62","4.53","9.28","0.71","2.49","6.06","3.83","5.02","9.2","2.9","1","1.2","0.4","Sphyraena spp","Barracudas nei","Picudas nep","Bécunes nca"
"BAS","27.8.c","TLW","ES","0.07","0.77","0.83","0.57","0.64","2.2","2.1","1.67","1.1","2.13","0","0","0","0","0","0","0","Serranus spp","Combers nei","Serranos nep","Serrans nca"
"BAS","27.9.a","TLW","ES","0","0","0.01","0","0.03","0.01","0","0.03","0","0.1","0","0","0","0","0","0","0","Serranus spp","Combers nei","Serranos nep","Serrans nca"
"BBS","27.8.c","TLW","ES","43.37","30.27","23.54","24.44","18.66","21.22","18.75","10.43","5.28","5.54","0","0","0","0","0","0","0","Scorpaena porcus","Black scorpionfish","Rascacio","Rascasse brune"
"BBS","27.9.a","TLW","ES","3.12","7.01","11.76","12.75","20.52","13.59","29.48","19.74","8.3","7.08","0","0","0","0","0","0","0","Scorpaena porcus","Black scorpionfish","Rascacio","Rascasse brune"
"BDL","27.8.c","TLW","ES","1.62","5.05","4.36","6.74","6.22","10.03","9.86","9.38","0.01","0","0","0","0","0","0","0","0","Benthodesmus elongatus","Elongate frostfish","Cintilla elongada","Poisson-sabre long"
"BDL","27.9.a","TLW","ES","0.01","0","0","0","0","0","0","0.25","0","0","0","0","0","0","0","0","0","Benthodesmus elongatus","Elongate frostfish","Cintilla elongada","Poisson-sabre long"
"BEN","27.8.c","TLW","ES","0","0","0","0","0.03","0","0","0","0","0","0","0","0","0","0","0","0","Belonidae","Needlefishes, etc. nei","Agujones, maraos nep","Aiguilles, orphies nca"
"BEN","27.9.a","TLW","ES","0","0","0.02","0.13","0.05","0.02","0.1","0.08","0.05","0.06","0","0","0","0","0","0","0","Belonidae","Needlefishes, etc. nei","Agujones, maraos nep","Aiguilles, orphies nca"
"BET","27.8.c","TLW","ES","70.18","98.42","56.64","4.21","17.36","1256.53","802.36","507.19","703.18","104.48","21.56","292.05","32","14.7","8","129.1","5.8","Thunnus obesus","Bigeye tuna","Patudo","Thon obèse(=Patudo)"
"BET","27.9.a","TLW","ES","0.54","0.4","4","0","0.84","651.37","30.73","18.93","12.26","1.22","2.47","7.09","0","7.9","0.01","0","0","Thunnus obesus","Bigeye tuna","Patudo","Thon obèse(=Patudo)"
"BFT","27.8.c","TLW","ES","0.52","0.2","0.81","59.55","44.5","576.23","368.09","0.17","0","0","65.1","939.32","354.7","278.4","2637","2334.4","808.7","Thunnus thynnus","Atlantic bluefin tuna","Atún rojo del Atlántico","Thon rouge de l'Atlantique"
"BFT","27.9.a","TLW","ES","3481.51","1.46","2422.95","5.69","6.26","21.68","3.82","0","0","0","0","0","0","0.01","5","36.6","67.7","Thunnus thynnus","Atlantic bluefin tuna","Atún rojo del Atlántico","Thon rouge de l'Atlantique"
"BHD","27.8.c","TLW","ES","0","0","0","0","0","0","0","0","0.01","0","0","0","0","0","0","0","0","Halobatrachus didactylus","Lusitanian toadfish","Sapo lusitánico","Crapaud-lusitanien"
"BHD","27.9.a","TLW","ES","4.58","5.45","5.27","7.02","4.11","4.52","8.7","7.96","2.94","0.19","0","0","0","0","0","0","0","Halobatrachus didactylus","Lusitanian toadfish","Sapo lusitánico","Crapaud-lusitanien"
"BHY","27.8.c","TLW","ES","0","0.03","0.02","1.2","0.4","0.77","0.07","0.02","0","0.01","0","0","0","0","0","0","0","Bathyraja spp","Bathyraja rays nei","Rayas Bathyraja nep","Raies Bathyraja nca"
"BHY","27.9.a","TLW","ES","0","0.16","0.26","0.92","1.11","0.68","0.18","0.19","0.1","0.13","0","0","0","0","0","0","0","Bathyraja spp","Bathyraja rays nei","Rayas Bathyraja nep","Raies Bathyraja nca"
"BIB","27.8.c","TLW","ES","169.46","208.29","278.23","256.41","264.09","314.64","521.18","424.07","1009.73","1663.06","2185.71","1132.8","645","344.4","318","202.6","227.1","Trisopterus luscus","Pouting(=Bib)","Faneca","Tacaud commun"
"BIB","27.9.a","TLW","ES","368.59","405.53","602.32","598.47","489.04","711.82","824.9","515.51","550.33","746.17","914.97","676.43","847.9","606.8","1061","520.7","1214.7","Trisopterus luscus","Pouting(=Bib)","Faneca","Tacaud commun"
"BIL","27.8.c","TLW","ES","0.64","0.89","1.01","0.43","0.15","0.11","1.91","0.98","1.81","1.17","0.44","0.21","0.5","0.01","1","0.2","0.2","Istiophoridae","Marlins,sailfishes,etc. nei","Agujas,marlines,peces vela nep","Makaires,marlins,voiliers nca"
"BIL","27.9.a","TLW","ES","0.03","14.67","0.8","0.09","0.49","0.01","0.17","2.4","6.38","1.59","1.26","0","0.01","0.01","0","0.1","1.2","Istiophoridae","Marlins,sailfishes,etc. nei","Agujas,marlines,peces vela nep","Makaires,marlins,voiliers nca"
"BIU","27.9.a","TLW","ES","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bihunichthys monopteroides",NA,NA,NA
"BLB","27.8.c","TLW","ES","0.06","0.04","0.11","0.1","0.07","0.61","0","0","0","0","0","0.17","0.9","0","0","0","0","Stromateus fiatola","Blue butterfish","Palometa fiatola","Fiatole"
"BLB","27.9.a","TLW","ES","3.94","6.53","6.03","3.16","3.26","4.5","2.45","10.1","3.61","0.33","0.6","1.28","0.5","2.1","24","30.7","15.2","Stromateus fiatola","Blue butterfish","Palometa fiatola","Fiatole"
"BLE","27.8.c","TLW","ES","0.02","0","1.3","0.01","0.01","0","0","0","0","0.02","0","0","0","0","0","0","0","Blenniidae","Combtooth blennies","Babosas","Blennies(=Baveuses)"
"BLE","27.9.a","TLW","ES","0.13","0.06","0","0.04","0.04","0.02","0.03","0.02","0","0","0","0","0","0","0","0","0","Blenniidae","Combtooth blennies","Babosas","Blennies(=Baveuses)"
"BLI","27.8.c","TLW","ES","25.01","43.11","28.19","40.44","53.26","32.03","24.99","33.71","59.23","28.77","38.26","55.4","26.6","18.5","13","4.5","2.5","Molva dypterygia","Blue ling","Maruca azul","Lingue bleue"
"BLI","27.9.a","TLW","ES","0.26","0.43","0.3","0.55","0.33","0.47","0.4","0.2","0.13","0.1","0.09","0.3","0.1","0.01","18","0.2","21.7","Molva dypterygia","Blue ling","Maruca azul","Lingue bleue"
"BLL","27.8.c","TLW","ES","12.42","11.99","10.69","13.51","7.36","4.77","5.43","5.83","4.65","4.63","5.93","8.65","5.1","4.3","3","1.5","2.8","Scophthalmus rhombus","Brill","Rémol","Barbue"
"BLL","27.9.a","TLW","ES","18.06","20.28","21.21","23.69","15.11","14.81","9.86","7.87","9.66","12.87","11.72","18.14","21.9","21.3","20","16.5","22.1","Scophthalmus rhombus","Brill","Rémol","Barbue"
"BLT","27.8.c","TLW","ES","1.34","0.56","31.08","70.48","53.32","41.43","312.66","75.74","140.32","43.53","0","0","0","0","0","0","0","Auxis rochei","Bullet tuna","Melva(=Melvera)","Bonitou"
"BLT","27.9.a","TLW","ES","9.51","23.1","16.31","26.57","43.17","98.66","166.22","180.33","111.3","113.44","0","0","0","0","0","0","0","Auxis rochei","Bullet tuna","Melva(=Melvera)","Bonitou"
"BLU","27.8.c","TLW","ES","0.02","0.02","0.02","0","0","0","0.05","0","0","0","0","0","0","0","0","0","0","Pomatomus saltatrix","Bluefish","Anjova","Tassergal"
