"year","Galician_name","total_kg","total_euros"
2013,"Chaparella",9370.91,12033.71
2013,"Choco",595336.31,2688453.48
2013,"Chopiño",10762.9,53156.69
2013,"Choquiño",2852.7,6679.48
2013,"Choupa",238541.44,351709.669999999
2013,"Cigala",219765.8,3762308.41
2013,"Cochinilla",162052,466151.46
2013,"Congro",2420219.96,4937283.77999999
2013,"Conguito",13675.1,17437.49
2013,"Coreano",622018.8,2113387.98
2013,"Cornicha",4291.75,18624.82
2013,"Corno",1666.6,2639.54
2013,"Correa",4498.8,2360.5
2013,"Corvina real",16171.05,72401.59
2013,"Curuxo",32751.48,387173.640000001
2013,"Dentón",76278.9,156614.84
2013,"Dentón ollón",1543,446.75
2013,"Doncela",1335.45,6543.8
2013,"Dourada",17598.8,219889.58
2013,"Dourado común",11,55
2013,"Escachos",1529409.95,2494988.82
2013,"Escarapote de pedra",273154.619999999,1269231.25
2013,"Escarapote de pintas",186330.75,758606.660000001
2013,"Escarpón",1812.1,785.97
2013,"Faneca",2457295.36,4264840.24999999
2013,"Fletán branco",126,463.53
2013,"Fodón",19485.55,30933.04
2013,"Fogoneiro",35599.93,53456.22
2013,"Galludo",124591.5,397625.75
2013,"Gamba branca",350,2870.55
2013,"Gata común",16401,36372.07
2013,"Gato de mar",158.75,398
2013,"Gavilán",3512.85000000001,209302.26
2013,"Golfo",67970,50964.68
2013,"Lagosta",1567.25,28193.45
2013,"Lamprea de mar",23451.65,180156.67
2013,"Lapas",21.8,36.94
2013,"Linguado",206095.28,2749368.53999999
2013,"Lirio",12134678.39,8923150.49
2013,"Longueirón",68139.06,383273.59
2013,"Longueirón vello",450.25,1164.53
2013,"Lumbrigante",4004.6,86276.0199999999
2013,"Lura",243829.32,1647314.79
2013,"Maragota",263426.72,574533.080000001
2013,"Marlíns",996,2437.8
2013,"Marraxo azul",280028,1386579.96
2013,"Marraxo sardiñeiro",2894.9,11255.16
2013,"Maruca",439740.34,779918.85
2013,"Melga",3059,2435.01
2013,"Melgacho",500168.1,311069.73
2013,"Melva",74193.4,101042.28
2013,"Mendo limón",488366,1213535.02
2013,"Merlán",24643.8,32513.18
2013,"Mero",91819.42,1416647.36
2013,"Mexilla",114873.44,105119.2
2013,"Miñoca",32.56,602
2013,"Miñoca de area",27.06,523.8
2013,"Miñoca de tubo",994.700000000002,24141.37
2013,"Morea",118.5,310.25
2013,"Muxos",92864.74,55283.4000000001
2013,"Navalla",372488.6,2453274.45
2013,"Nécora",94454.25,1479005.13
2013,"Ollomol",209736.84,2484151.41
2013,"Ortiguilla de mar",1523,11599
2013,"Ostra plana",25855.46,126827.18
2013,"Ostra rizada",13293.3,13054.52
2013,"Ourizo",593018.81,1818016.52
2013,"Ovas de Maruca",1547,6451.82
2013,"Ovas de pescada",168174.14,505928.220000001
2013,"Pampos",43.5,285.36
2013,"Pancho bicudo",749472.8,2174800.66
2013,"Patelo",8687,2133.2
2013,"Patulate",3284.6,3696.99
2013,"Peixe cinta",39,42.5
2013,"Peixe espada",823593,4409672.21
2013,"Peixe pau",101816,241340.01
2013,"Peixe porco",2561.4,6508.80000000001
2013,"Peixe sabre",26306.14,93288.87
2013,"Peixe sabre negro",113,231.51
2013,"Peixe sabre prateado",26740.05,34673.66
2013,"Peixe sapo",6795815.75,34658011.9799999
2013,"Peixes mariños nep",209374.98,359367.010000001
2013,"Peneira",275.35,4816.3
2013,"Percebe",324577.4,6965633.96999999
2013,"Pescada",24345026.1099999,97107465.2100004
2013,"Piardas",64091.15,73340.45
2013,"Polbo",2000235.57,8855117.24
2013,"Polbo cabezón",1579188.65,2003607.38
2013,"Pota común",171616.05,356622.52
2013,"Pota pequena",8093169.15,11956484.35
2013,"Pota voadora",1806470.76,2735892.84
2013,"Prago",20269,210617.5
2013,"Puntilla pequena",15689.05,83042.85
2013,"Quenlla",2417745.3,3048665.4
2013,"Rabioso",9325,7460
2013,"Raia cravuda",45306.3,95787.9900000001
2013,"Raia de pintas",14300.2,33077.54
2013,"Raia santiaguesa",186643.8,401846.77
2013,"Raias",1133813.94,2162092.87
2013,"Rapantes",7859448.65,30839238.54
2013,"Rapapelos de Kessler",11301,17069.13
2013,"Rapapelos de ollos grandes",9.65,19.35
2013,"Rei",34729.02,266814.93
2013,"Reloxo prateado",2158.3,3013.13
2013,"Ripia",13106.75,94714.57
2013,"Robaliza",374526.72,4121515.23
2013,"Robaliza de pintas",3,6
2013,"Rodaballo",72424.69,1067779.82
2013,"Rosada do Cabo",3099,14164.84
2013,"Roxa",10,2
2013,"Saboga",400838.21,178937.51
2013,"Salema",11.15,21.2
2013,"Salmonete de lama",59294.33,490901.05
2013,"Salmonete de rocha",180388.84,1495976.92
2013,"Sanmartiño",768213.68,4983443.12
2013,"Santiaguiño",939.9,54586.09
2013,"Sardiña",4531129.54,9449478.27000001
2013,"Sargo común",551219.370000001,2502047.59
2013,"Serra",473,1825.88
2013,"Serrán cabra",325026.98,473232.61
2013,"Serrán riscado",4344.45,8678.65
2013,"Solla",47064.82,144611.84
2013,"Sollo rei",208.05,1884.64
2013,"Tapa",376.41,1788.29
2013,"Tomás",2126.8,7276.39
2013,"Trancho",8,6.4
2013,"Veleiro do indo-pacífico",189,281.75
2013,"Vello",1684.5,1918.14
2013,"Vieira",132206.91,474319.29
2013,"Volandeira",242566.3,472052.55
2013,"Xarda",3759882.79,3148934
2013,"Xarda pintada",12086588.22,7713322.65000001
2013,"Xuliana",614841.41,2946631.27
2013,"Xurelo",23782269.32,19630375.26
2013,"Xurelo do mediterráneo",91384.35,256085.77
2013,"Xurelo negro",463643.57,300817.69
2013,"Zamborca",715,2356.32
2013,"Zamburiña",67,268
2012,"Abadexo",281921.62,1501172.66
2012,"Acedía",77679.0299999999,391913.230000001
2012,"Agulla",73670.51,83616.24
2012,"Alcrique",75982.7,62251.52
2012,"Ameixa babosa",1169820.04,10832406.13
2012,"Ameixa bicuda",7418.65,24171.92
2012,"Ameixa fina",827827.2,13374998.19
2012,"Ameixa rubia",431217.7,3010504.83
2012,"Ameixa xaponesa",2188516.84,11096690.71
2012,"Ameixón",4819.5,4643.9
2012,"Anguilas",37101.58,551813.83
2012,"Arenque do atlántico",1202,1202
2012,"Argazo",82322,32105.58
2012,"Argazo bravo",3430,2572.5
2012,"Atún amarelo",4390.85,19798.33
2012,"Atún patudo",36230,169526.63
2012,"Atúns",1309,7598.57
2012,"Bacallao",108352.85,263995.85
2012,"Bacoreta",167339.05,317558.81
2012,"Barbada común",46.65,175.42
2012,"Barbada de area",6494.74,33880.44
2012,"Berberecho",1815698.21,9079912.48000001
2012,"Bertorella brava",6697.65,11761.62
2012,"Bertorella de lama",892543.72,3073917.55
2012,"Bertorella de rocha",1691124.34,4485876.13
2012,"Bertorellas",2500,10650
2012,"Bocarte",111810.85,473346.03
2012,"Boga",13304551,8917084.52
2012,"Boi",6801.95,51720.5999999999
2012,"Bolos",79014.85,62524.75
2012,"Bonito alistado",252505.55,528490.47
2012,"Bonito do Atlántico",1636553.88,2341449.79
2012,"Bonito do norte",2243523.75,9215769.16
2012,"Breca",35641.95,110648.24
2012,"Brosme",804,1081.56
2012,"Burro",192936.7,275649.91
2012,"Cabra de altura",1620453.39,5872493.65999999
2012,"Cadelucha",13119.15,358615.54
2012,"Camarón común",64626.94,1691392.72
2012,"Camarón de poza",482.25,4116
2012,"Cangrexo común",4542,2271
2012,"Cangrexo real",22.5,90.5
2012,"Carabineiro",203,3419.25
2012,"Caramuxo",1389.45,3758.25
2012,"Carneiro",89960.41,333927.14
2012,"Carrapicho",956,956
2012,"Castañeta",14839346.59,20549229.04
2012,"Castañeta macho",148500.7,286603.73
2012,"Castañeta vermella",212834.49,929916.95
2012,"Castañetas",314.8,1693.62
2012,"Cazón",88568.85,62048.1499999999
2012,"Cazón liso",8706.75,8058.77
2012,"Centola",334012.020000001,2945340.66999999
2012,"Chaparella",27083.18,26511.98
2012,"Choco",591294.95,2961956.94999999
2012,"Chopiño",10154.85,54289.03
2012,"Choquiño",2778.4,5263.13
2012,"Choupa",364559.9,660334.580000003
2012,"Cigala",364718.65,4917629.57
2012,"Cochinilla",122068,368144.78
2012,"Congro",3650955.51,7034178.00000001
2012,"Conguito",15225.25,16717.35
2012,"Coreano",1268089.52,4020954.97
2012,"Cornicha",9432.98,35983.13
2012,"Corno",3873.05,5661.79
2012,"Corvina real",11157.55,60697.64
2012,"Curuxo",32547.1,388500.380000001
2012,"Dentón",219164.5,454607.11
2012,"Dentón ollón",5622,10529.79
2012,"Doncela",3997.75,16948.76
2012,"Dourada",14388.1,168024.1
2012,"Dourado común",39,125.4
2012,"Escachos",1690300.84,3085831.12
2012,"Escarapote de pedra",253232.79,1173858.68
2012,"Escarapote de pintas",195482.15,695946.740000001
2012,"Escarpón",2472.55,912.26
2012,"Faneca",3198297.95,5995412.51000002
2012,"Ferreira",5,8.5
2012,"Fodón",26079.5,42654.62
2012,"Fogoneiro",26296,35286.45
2012,"Galludo",78198.1,307135.31
2012,"Gamba branca",456.25,3018.34
2012,"Gata común",949,3347.1
2012,"Gato de mar",9277.5,29737
2012,"Gavilán",3396.35000000001,182705.72
2012,"Golfo",106886,80213.27
2012,"Lagosta",601.65,21182.52
2012,"Lamprea de mar",14.75,117.18
2012,"Lapas",274.2,762.6
2012,"Leituga de mar",5240,4422
2012,"Linguado",193572.81,2710987.04999999
2012,"Lirio",5898932.25,5508550.44
2012,"Longueirón",87581.68,547539.19
2012,"Longueirón vello",478,2664
2012,"Lumbrigante",4850.41,99799.69
2012,"Lura",482310.779999999,2834243.72
2012,"Maragota",280599.38,605775.610000001
2012,"Marlíns",155,562.4
2012,"Marraxo azul",313920.36,1474967.51
2012,"Marraxo sardiñeiro",40.05,100.28
2012,"Maruca",587416.1,1063287.54
2012,"Melga",3896.9,2019.8
2012,"Melgacho",504668,442817.240000001
2012,"Melgas",1694,3221.54
2012,"Melva",1767233.3,1779016.2
2012,"Mendo limón",939175,2805055.34
2012,"Merlán",44376.5,53797.72
2012,"Mero",213974.55,2743293.95
2012,"Mexilla",89489.98,81804.86
2012,"Miñoca",32.82,609
2012,"Miñoca de area",39.69,565.69
2012,"Miñoca de tubo",967.34,23747.34
2012,"Morea",30,55.3
2012,"Muxos",55838.23,37876.23
2012,"Navalla",344028.6,2307539.26
2012,"Nécora",116236.03,1601667.5
2012,"Ollomol",177531.53,2490180.13
2012,"Ortiguilla de mar",3560.88,25337.16
2012,"Ostra plana",52639.78,261816.81
2012,"Ostra rizada",52177.95,55021.38
2012,"Ourizo",702128.25,2056875.02
2012,"Ovas de Maruca",914,5484
2012,"Ovas de pescada",119355.77,356918.390000001
2012,"Pampos",5576.3,26382.57
2012,"Pancho bicudo",743873.3,2325365.77
2012,"Patulate",3501.9,3701.5
2012,"Peixe cinta",8.5,8.5
2012,"Peixe espada",677434,4428678.43
2012,"Peixe pau",86722.55,211976.29
2012,"Peixe porco",5054.71,13164.51
2012,"Peixe sabre",36321.85,80442.8
2012,"Peixe sabre negro",3295,9234.17
2012,"Peixe sabre prateado",35391.5,51763.5
2012,"Peixe sapo",6143713.98,29838726.86
2012,"Peixes mariños nep",352352.98,575497.150000002
2012,"Peneira",28,560
2012,"Percebe",339172.26,7355992.06
2012,"Pescada",21676175.84,80354319.41
2012,"Pescada do Senegal",2070,2078.1
2012,"Piardas",89926.3,116647.48
2012,"Polbo",2330841.26,13195442.75
2012,"Polbo cabezón",1232452.82,1818441.75
2012,"Pota común",143909.75,345374.35
2012,"Pota pequena",7235141.2,12682368.92
2012,"Pota voadora",1972454.73,3448765.34
2012,"Prago",18195.19,203537.24
2012,"Puntilla pequena",24331.15,131513.15
2012,"Quenlla",1951040,3194213.59
2012,"Rabioso",9600,7680
2012,"Raia cravuda",21981.5,41000.92
2012,"Raia de pintas",3200,7708.13
2012,"Raia santiaguesa",211843,530540.6
2012,"Raias",1217901.42,2216232.68
2012,"Rapantes",6965338.23,28643064.27
2012,"Rapapelos de Kessler",3068,8405.95
2012,"Rapapelos de ollos grandes",14.95,40.76
2012,"Rei",22092.1,136563.51
2012,"Reloxo prateado",1180.1,2371.28
2012,"Ripia",13988.65,97932.55
2012,"Robaliza",220848.41,2802986.7
2012,"Rodaballo",67988.7800000002,1034023.65
2012,"Rosada do Cabo",33,170.28
2012,"Saboga",374967,155268.83
2012,"Salema",40,81.81
2012,"Salmonete de lama",120176.82,751841.43
2012,"Salmonete de rocha",207913,1749065.2
2012,"Sanmartiño",959906.640000002,5860155.83999998
2012,"Santiaguiño",840.02,38333.48
2012,"Sardiña",8308170.84,14733190.69
2012,"Sargo común",449390.89,2211263.68
2012,"Serra",9598.5,11566.26
2012,"Serrán cabra",307819,717444.319999999
2012,"Serrán riscado",4920.25,10875.42
2012,"Solla",45000.7,137975.31
2012,"Sollo rei",37.3,371.95
2012,"Tapa",148.15,645.87
2012,"Tomás",2984.95,4318.72
2012,"Veleiro do indo-pacífico",211,618.9
2012,"Vello",3663.25,1359.02
2012,"Vieira",99525,406259.21
2012,"Volandeira",209839.95,502288.2
2012,"Xarda",4739623.48,4868839.31
2012,"Xarda pintada",18276242.35,15602280.86
2012,"Xuliana",521252.35,2591787.8
2012,"Xurelo",15441806.13,15435916.32
2012,"Xurelo do mediterráneo",66630.1,296812.02
2012,"Xurelo negro",342548.75,172319.06
2012,"Zamborca",368.65,542.91
2011,"Abadexo",370054.880000001,1859129.52
2011,"Acedía",75257.3899999999,425267.54
2011,"Agulla",71982.6,98942.01
2011,"Alcrique",164593,146895.73
2011,"Ameixa babosa",1182857.33,14501889.53
2011,"Ameixa bicuda",9048.45,35755.88
2011,"Ameixa fina",773323.09,15018743.21
2011,"Ameixa rubia",455934.16,3844731.14
2011,"Ameixa xaponesa",2158058.02,12958282.99
2011,"Anguilas",31982.35,307160.79
2011,"Arenque do atlántico",1,0.5
2011,"Argazo",45661,22067.23
2011,"Argazo bravo",1900,1415
2011,"Atún amarelo",21283,77649.43
2011,"Atún patudo",24243,135308.96
2011,"Atúns",28546.5,134020.43
2011,"Bacallao",61011.35,156731.69
2011,"Bacoreta",86065.05,184802.45
2011,"Barbada de area",1077232.1,3567395.52999999
2011,"Berberecho",3314966.1,16442211.25
2011,"Bertorella brava",21734.5,42787.49
2011,"Bertorella de lama",678618.19,2076373.47
2011,"Bertorella de rocha",2157393,5654109.22
2011,"Bocarte",560486.33,1997405.8
2011,"Boga",4929952.2,2734960.08
2011,"Boi",6100.9,38128.69
2011,"Bolos",44384,60145.21
2011,"Bonito alistado",99088.25,164840.69
2011,"Bonito do Atlántico",271245.1,587641.98
2011,"Bonito do norte",1610693.82,8055741.9
2011,"Breca",22768.15,92510.1199999999
2011,"Brosme",540,2211.6
2011,"Burro",153980,209168.29
2011,"Cabra de altura",3317756.25,13421825.77
2011,"Cadelucha",14497.34,432353.36
2011,"Camarón común",90710.7299999999,2465473.76
2011,"Camarón de poza",559,1877.9
2011,"Cangrexo común",5822,2911
2011,"Cangrexo real",155.05,192.46
2011,"Carabineiro",583,13934.42
2011,"Caramuxo",1226.5,3164.62
2011,"Carneiro",76423.19,342708.67
2011,"Castañeta",12728541.39,24525143.39
2011,"Castañeta macho",99340.35,406280.61
2011,"Castañeta vermella",115005.67,1163802.13
2011,"Cazón",81548.3500000001,63811.67
2011,"Cazón liso",17917.85,28340.07
2011,"Centola",276412.76,3102975.79999999
2011,"Chaparella",17292.98,18535.95
2011,"Chirla",0.75,1.88
2011,"Choco",609855.79,2934452.23
2011,"Chopiño",9350.45,51236.71
2011,"Choquiño",3045.71,8987.79
2011,"Choquiño picudo",2,24
2011,"Choupa",328738.53,664316.81
