"FAOcode","year","catch_tonnes","Galician_name","total_kg","total_euros","scientificname","English_name","Family","Order.or.higher.taxa","source","kingdom","phylum","class","order","family","genus","AphiaID"
"HLZ",2022,21.811,"Correa",21811,12135.1,"Himanthalia elongata","Sea thong","HIMANTHALIACEAE","HETEROKONTOPHYTA (PHAEOPHYCEAE)","pesca_galicia","Chromista","Ochrophyta","Phaeophyceae","Fucales","Himanthaliaceae","Himanthalia",145551
"MGR",2022,1.35455,"Corvina real",1354.55,7463.036,"Argyrosomus regius","Meagre","SCIAENIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sciaenidae","Argyrosomus",127007
"BLL",2022,28.09417,"Curuxo",28094.17,487711.471000001,"Scophthalmus rhombus","Brill","SCOPHTHALMIDAE","CARANGIFORMES (PLEURONECTOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Scophthalmus",127150
"DEC",2022,3.70166,"Dentón",3701.66,45071.563,"Dentex dentex","Common dentex","SPARIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Dentex",273962
"DEA",2022,8.9626,"Dentón angoleño",8962.6,32574.618,"Dentex angolensis","Angolan dentex","SPARIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Dentex",273958
"DEL",2022,8.61735,"Dentón ollón",8617.35,31277.59,"Dentex macrophthalmus","Large-eye dentex","SPARIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Dentex",273965
"COU",2022,5.47799,"Doncela",5477.99,21344.565,"Coris julis","Rainbow wrasse","LABRIDAE","LABRIFORMES (LABROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris",126963
"SBG",2022,8.07741,"Dourada",8077.41,156558.819,"Sparus aurata","Gilthead seabream","SPARIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Sparus",151523
"DOL",2022,0.233,"Dourado común",233,1437.1,"Coryphaena hippurus","Common dolphinfish","CORYPHAENIDAE","CARANGIFORMES (CARANGOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Carangiformes","Coryphaenidae","Coryphaena",126846
"GUN",2022,4.21085,"Escacho de altura",4210.85,7622.55,"Trigla lyra","Piper gurnard","TRIGLIDAE","PERCIFORMES (SCORPAENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Triglidae","Trigla",127266
"GUR",2022,70.6455,"Escacho de cremalleira",70645.5,59134.48,"Chelidonichthys cuculus","Red gurnard","TRIGLIDAE","PERCIFORMES (SCORPAENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys",127259
"GUM",2022,0.0045,"Escacho de pluma",4.5,15.75,"Chelidonichthys obscurus","Longfin gurnard","TRIGLIDAE","PERCIFORMES (SCORPAENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys",127263
"GUY",2022,145.84883,"Escachos",145848.83,430061.144,"Trigla spp","Gurnards NEI","TRIGLIDAE","PERCIFORMES (SCORPAENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Triglidae","Trigla",126180
"RSE",2022,59.6016100000001,"Escarapote de pedra",59601.6100000001,438927.098,"Scorpaena scrofa","Red scorpionfish","SCORPAENIDAE","PERCIFORMES (SCORPAENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Scorpaenidae","Scorpaena",127248
"BBS",2022,19.74375,"Escarapote de pintas",19743.75,123033.95,"Scorpaena porcus","Black scorpionfish","SCORPAENIDAE","PERCIFORMES (SCORPAENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Scorpaenidae","Scorpaena",127247
"EZS",2022,1.0738,"Escarapote rosado",1073.8,6275.302,"Scorpaena elongata","Slender rockfish","SCORPAENIDAE","PERCIFORMES (SCORPAENOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Scorpaenidae","Scorpaena",127242
"LYY",2022,3.85234,"Escarpón",3852.34,3228.591,"Callionymus lyra","Dragonet","CALLIONYMIDAE","SYNGNATHIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Callionymiformes","Callionymidae","Callionymus",126792
"LEC",2022,34.3617,"Escolar negro",34361.7,107114.49,"Lepidocybium flavobrunneum","Escolar","GEMPYLIDAE","SCOMBRIFORMES (SCOMBROIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Scombriformes","Gempylidae","Lepidocybium",126863
"BIB",2022,545.076581000001,"Faneca",545076.581000001,1438067.293,"Trisopterus luscus","Pouting(=Bib)","GADIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus",126445
"TOZ",2022,0.0173,"Faneca brava",17.3,26.09,"Echiichthys vipera","Lesser weever","TRACHINIDAE","PERCIFORMES (PERCOIDEI)","pesca_galicia","Animalia","Chordata","Teleostei","Perciformes","Trachinidae","Echiichthys",150630
"SSB",2022,0.7634,"Ferreira",763.4,5314.55,"Lithognathus mormyrus","Sand steenbras","SPARIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Lithognathus",127055
"KJT",2022,6.933,"Fideo de mar",6933,7269.95,"Codium tomentosum","","CODIACEAE","CHLOROPHYTA (ULVOPHYCEAE)","pesca_galicia","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Codiaceae","Codium",145092
"POD",2022,3.68565,"Fodón",3685.65,14463.978,"Trisopterus minutus","Poor cod","GADIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus",126446
"POK",2022,2.4936,"Fogoneiro",2493.6,6102.59,"Pollachius virens","Saithe(=Pollock)","GADIDAE","GADIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius",126441
"FUV",2022,7.025,"Fucus",7025,2458.75,"Fucus vesiculosus","Bladder wrack","FUCACEAE","HETEROKONTOPHYTA (PHAEOPHYCEAE)","pesca_galicia","Chromista","Ochrophyta","Phaeophyceae","Fucales","Fucaceae","Fucus",145548
"SBS",2022,0.3655,"Galana",365.5,337.94,"Oblada melanurus","Saddled seabream","SPARIDAE","ACANTHURIFORMES","pesca_galicia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Oblada",1577363
