"year","Galician_name","total_kg","total_euros","Spanish_name","Scientific_Name","FAO"
2017,"algas verdes",39665,36247.28,NA,NA,NA
2017,"algas vermellas",28046,8656.8,NA,NA,NA
2017,"ameixón",33125.46,135176.71,NA,NA,NA
2017,"anguilas",24322.98,640579.41,NA,NA,NA
2017,"argazo",70858,32889.57,NA,NA,NA
2017,"argazo bravo",400,400,NA,NA,NA
2017,"atúns",19620.8,73028.28,NA,NA,NA
2017,"bacoreta",131403.02,365765.09,NA,NA,NA
2017,"berberecho",3082073.61,15941733.88,NA,NA,NA
2017,"bertorellas",8265.1,36702.44,NA,NA,NA
2017,"boga",6645677.18,2631318.21,NA,NA,NA
2017,"bolos",33560.33,42978.12,NA,NA,NA
2017,"breca",20553.28,57748.7999999999,NA,NA,NA
2017,"cabras",233.9,1467.91,NA,NA,NA
2017,"cangrexo real",4222.5,37462.27,NA,NA,NA
2017,"carallos de mar nep",17737,36355.89,NA,NA,NA
2017,"cazapa",83914,45751.79,NA,NA,NA
2017,"cazón",69087,43692.8,NA,NA,NA
2017,"cigala",107650.95,1614967.9,NA,NA,NA
2017,"cogombro de mar negro",885,2938.5,NA,NA,NA
2017,"corno",1341.3,1492.65,NA,NA,NA
2017,"correa",66959,35508.15,NA,NA,NA
2017,"escacho de cremalleira",24948.95,34984.17,NA,NA,NA
2017,"escachos",331726.16,802676.33,NA,NA,NA
2017,"escolar negro",103680.2,289805.36,NA,NA,NA
2017,"faneca",1127598.62,2168534.07999999,NA,NA,NA
2017,"fideo de mar",6681,6624.9,NA,NA,NA
2017,"fodón",18677.5,28454.89,NA,NA,NA
2017,"galludo",94219.4,478047.6,NA,NA,NA
2017,"gavilán",3296.08,248735.89,NA,NA,NA
2017,"lapas",1044.5,2812,NA,NA,NA
2017,"limanda",132,361.68,NA,NA,NA
2017,"lorchos",12948.35,20218.19,NA,NA,NA
2017,"maragota",309377.78,763600.359999999,NA,NA,NA
2017,"marlíns",456,963.04,NA,NA,NA
2017,"maruca",289596.23,519559.46,NA,NA,NA
2017,"melgas",304.5,308.1,NA,NA,NA
2017,"melva",63245.05,105767.51,NA,NA,NA
2017,"melvas",5435.6,7952.01,NA,NA,NA
2017,"merlán",10497.14,13770.73,NA,NA,NA
2017,"mero",34177.82,722008.39,NA,NA,NA
2017,"mexilla",144984.04,81855.92,NA,NA,NA
2017,"miñoca",13.62,258.4,NA,NA,NA
2017,"miñoca de area",284.68,13351.69,NA,NA,NA
2017,"miñoca de tubo",1020.51,28122.5,NA,NA,NA
2017,"muxos",79433.85,68758.34,NA,NA,NA
2017,"nécora",149154.14,2251779.84,NA,NA,NA
2017,"ortiguilla de mar",18436.72,147657.81,NA,NA,NA
2017,"ostra plana",78994.5,422110.69,NA,NA,NA
2017,"ostra rizada",74977.07,86313.84,NA,NA,NA
2017,"ovas de maruca",2287,8191.22,NA,NA,NA
2017,"ovas de pescada",208492.55,733724.590000001,NA,NA,NA
2017,"palometón",5,71.25,NA,NA,NA
2017,"pampos",3269.1,14160.96,NA,NA,NA
2017,"patexo",2792,523.34,NA,NA,NA
2017,"peixe espada",1048291.15,6883216.91000001,NA,NA,NA
2017,"peixes mariños nep",47278.5100000001,104392.12,NA,NA,NA
2017,"percebe",343492.73,9573208.21999999,NA,NA,NA
2017,"piardas",72136.55,89472.81,NA,NA,NA
2017,"potón común",15,45.25,NA,NA,NA
2017,"raia boca de rosa",2277.45,5165.16,NA,NA,NA
2017,"raia santiaguesa",219084.75,420465.06,NA,NA,NA
2017,"raias",825478.259999999,2061391.85,NA,NA,NA
2017,"rapapelos de ollos grandes",10,28.41,NA,NA,NA
2017,"rei",12617,68096.5,NA,NA,NA
2017,"reló",274554.15,618138.23,NA,NA,NA
2017,"ripia",10546.35,89162.1699999999,NA,NA,NA
2017,"rodaballo",63409.26,1134053.72,NA,NA,NA
2017,"salema",361.5,243.55,NA,NA,NA
2017,"serra",285.1,976.62,NA,NA,NA
2017,"tomás",895.75,2371.65,NA,NA,NA
2017,"volandeira",174442.05,641506.18,NA,NA,NA
2017,"zamburiña",10862.55,77691.03,NA,NA,NA
2016,"ameixón",72247.88,257578.47,NA,NA,NA
2016,"anguilas",33005.93,623797.84,NA,NA,NA
2016,"argazo",166430,75709.24,NA,NA,NA
2016,"atúns",48319.6,170968.93,NA,NA,NA
2016,"bacoreta",427816.3,994256.36,NA,NA,NA
2016,"barbo común",6,40,NA,NA,NA
2016,"berberecho",2028558.48,9308745.74,NA,NA,NA
2016,"bertorellas",14933.55,48304.57,NA,NA,NA
2016,"boga",11464463.35,4314012.29,NA,NA,NA
2016,"bolos",26891.45,32102.86,NA,NA,NA
