"year","Galician_name","total_kg","total_euros","Nombre comercial (1)","Nombre científico","Andalucía","Asturias","Baleares","Canarias","Cantabria","Cataluña","Valencia","Murcia","País Vasco","FAO"
2022,"carallos de mar nep",142,335.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"caramuxo",187.55,345.95,"Bígaro","Littorina littorea",NA,NA,"Caragoli atlantic",NA,"Caracolillo",NA,NA,NA,"Caracolillo/karrakela/magurio","PEE"
2022,"carneiro",76836.07,747074.348,"Escupiña grabada","Venus verrucosa","Bolo",NA,"Copinya o escopinya gravada",NA,NA,NA,NA,NA,NA,"VEV"
2022,"castañeta",1063599.61,3271303.69,"Japuta o palometa","Brama brama","Japuta o palometa negra","Palometa negra","Castanyola","Pampano chico/peje tostón","Palometa","Castanyola",NA,NA,"Papardoa","POA"
2022,"castañeta de aleta longa",137,212.63,"Cangullo","Taractichthys longipinnis",NA,NA,NA,"Peje volador o cangullo",NA,NA,NA,NA,NA,"TAL"
2022,"castañeta de quilla",198,257.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"castañeta macho",19345.45,136973.07,"Alfonsiño o besugo americano","Beryx splendens",NA,NA,NA,"Fula colorada",NA,NA,NA,NA,NA,"BYS"
2022,"castañeta vermella",37955.76,1081145.03,"Palometa roja","Beryx decadactylus",NA,"Virrey",NA,"Colorado anchete","Pez rey","Alfonsí",NA,NA,"Bixigu ahogorri","BXD"
2022,"cazapa",8007.1,2809.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"cazón",8620.1,13912.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"cazón liso",283.1,312.16,"Musola","Mustelus mustelus",NA,NA,"Mussola vera","Tollo",NA,"Mussola","Mussola","Mozola",NA,"SMD"
2022,"centola ou centolo",700685.835,6451512.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"chaparella",69740.53,292695.732,"Mojarra","Diplodus vulgaris",NA,"Xargu","Variada","Seifía/seifío",NA,"Variada",NA,"Vidria","Muxar arrunta","CTB"
2022,"cherna de ley",2191.6,19977.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"choco",606592.096,4550467.30299999,"Choco o jibia o sepia","Sepia officinalis",NA,"Xibia","Sipia o sepia",NA,"Cachon","Sèpia","Sèpia","Jibia","Txautxa/jibia","CTC"
2022,"chopiño",2529.95,17766.008,"Globito","Sepiola rondeleti",NA,NA,NA,NA,NA,"Morralet",NA,NA,NA,"CTR"
2022,"choquiño",688.25,9190.358,"Choquito","Sepia elegans","Chopito o almendrita",NA,"Sipio o sepio",NA,NA,"Castanyo",NA,"Chipiron",NA,"EJE"
2022,"choquiño picudo",63.7,978.65,"Choquito picudo","Sepia orbignyana","Chopito picudo",NA,NA,NA,NA,NA,NA,NA,NA,"IAR"
2022,"choupa",102489.89,170820.495999999,"Chopa","Spondyliosoma cantharus",NA,NA,"Cantera","Chopa/negrón","Pañosa o sopa o zapatero","Càntera","Xopa",NA,"Txopa/birlote","BRB"
2022,"cigala",206774.15,3135588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"cochinilla",1114,2913.59,"Escolar o pez mantequilla","Ruvettus pretiosus","Lima o clavo",NA,NA,"Escolar/escolar rasposo",NA,"Llima",NA,NA,NA,"OIL"
2022,"cogombro de mar real",73445.35,235488.47,"Espardeña","Parastichopus (=Stichopus) regalis",NA,NA,NA,NA,NA,"Espardenya",NA,NA,NA,"JCR"
2022,"congro",1304321.88,2767817.00400001,"Congrio","Conger conger","Congrio o zafio","Latigo/correa","Congre",NA,"Luciato","Congre","Congre",NA,"Itxas aingira","COE"
2022,"conguito",4903.5,8545.754,"Cangrejo de arrugas","Liocarcinus corrugatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICC"
2022,"coreano",673568.3,1816272.07,"Mendo","Glyptocephalus cynoglossus",NA,"Coreano",NA,NA,NA,NA,NA,NA,"Gallo inglés","WIT"
2022,"cornicha",498220.099999999,2913875.867,"Almeja blanca o clica","Spisula solida","Clica",NA,NA,NA,NA,NA,NA,NA,NA,"ULO"
2022,"correa",21811,12135.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"corvina real",1354.55,7463.036,"Corvina","Argyrosomus regius","Corvina o corvinata","Curvina",NA,NA,"Curvina","Corball reig",NA,"Corvinato","Andeja","MGR"
2022,"curuxo",28094.17,487711.471000001,"Remol","Scophthalmus rhombus","Parracho","Xuella",NA,NA,NA,NA,NA,NA,"Erreboilo ezkatadun","BLL"
2022,"dentón",3701.66,45071.563,"Dentón o dentón europeo","Dentex dentex","Dentón o sabia",NA,"Dentol","Sama de ley","Machote o sama o lama","Déntol","Dèntol","Dentón","Txelba aginandi o txelba hortzandi","DEC"
2022,"dentón angoleño",8962.6,32574.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"dentón ollón",8617.35,31277.59,"Cachucho","Dentex macrophthalmus",NA,NA,NA,"Antoñito/dientón",NA,"Déntol d`ulls grossos",NA,NA,NA,"DEL"
2022,"doncela",5477.99,21344.565,"Julia","Coris julis",NA,"Xulia","Donzella","Carajillo real/doncella",NA,"Donzella","Donzella/juliola",NA,NA,"COU"
2022,"dourada",8077.41,156558.819,"Dorada","Sparus aurata",NA,NA,"Orada","Dorada/sama zapata",NA,"Orada","Orada",NA,"Urreburu/txelba","SBG"
2022,"dourado común",233,1437.1,"Lampuga","Coryphaena hippurus","Lampuga o lirio",NA,"Llampuga o dorado","Dorado",NA,"Llampuga",NA,"Lampua o lampuga",NA,"DOL"
2022,"escacho de altura",4210.85,7622.55,"Garneo","Trigla lyra",NA,"Escacho/cabezón","Rafel",NA,NA,"Garneu",NA,NA,"Arraingorri","GUN"
2022,"escacho de cremalleira",70645.5,59134.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"escacho de pluma",4.5,15.75,"Arete aletón","Chelidonichthys obscurus","Cabra",NA,NA,"Rubio",NA,"Lluerna fosca",NA,NA,NA,"GUM"
2022,"escachos",145848.83,430061.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"escarapote de pedra",59601.6100000001,438927.098,"Cabracho","Scorpaena scrofa",NA,"Tiñosu/cabriella","Cap-roig o roja","Cantarero","Tiñoso o cabracho","Escórpora barbuda","Cap-roig","Gallineta","Espiluze/itxaskabras/kabrarrokas","RSE"
2022,"escarapote de pintas",19743.75,123033.95,"Rascacio","Scorpaena porcus",NA,"Tiñosu/cabriella","Escórpora o rascassa o rascla","Rascacio/rascacio negro",NA,"Escórpora fosca","Escórpora fosca",NA,"Itxaskabras/kabrarrokas","BBS"
2022,"escarapote rosado",1073.8,6275.302,"Gallineta rosada","Scorpaena elongata",NA,NA,"Cap-roig llanguer",NA,NA,"Escórpora de moc",NA,NA,NA,"EZS"
2022,"escarpón",3852.34,3228.591,"Dragoncillo","Callionymus lyra",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LYY"
2022,"escolar negro",34361.7,107114.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"faneca",545076.581000001,1438067.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"faneca brava",17.3,26.09,"Salvariego","Trachinus vipera",NA,NA,"Aranyó",NA,NA,"Aranyó",NA,NA,NA,"TOZ"
2022,"ferreira",763.4,5314.55,"Herrera","Lithognathus mormyrus",NA,NA,"Mabre",NA,"Perla","Mabre","Mabre","Magre","Erla/zapatero","SSB"
2022,"fideo de mar",6933,7269.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"fodón",3685.65,14463.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"fogoneiro",2493.6,6102.59,"Carbonero o fogonero o colin","Pollachius virens",NA,"Pregonero","Abadejo negre","Fogonero","Carbanera o palero o palo","Peix carboner",NA,NA,"Fogonero/sugina","POK"
2022,"fucus",7025,2458.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"galana",365.5,337.94,"Oblada","Oblada melanura","Doblá","Negrita/chopeta",NA,"Galana/galán","Pintalacola",NA,"Oblada/doblada","Dobla o doblada","Buzten baltza","SBS"
2022,"galludo",49700.3,355657.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"gamba branca",0.75,9.39,"Gamba, gamba blanca o gamba de altura","Parapenaeus longirostris","Gamba",NA,NA,NA,"Gamba",NA,NA,NA,NA,"DPS"
