"year","scientificname","commonname","total_catch","total_biomass"
1983,"Micromesistius poutassou","Blue whiting",553000,2880000
1983,"Microstomus kitt","Lemon sole",0,0
1983,"Molva dypterygia","Blue ling",11400,0
1983,"Molva molva","Ling",5120,14500
1983,"Mullus surmuletus","Striped red mullet",958,0
1983,"Nephrops norvegicus","Norway lobster",27271,0
1983,"Pagellus bogaraveo","Red seabream",4270,0
1983,"Pandalus borealis","Northern shrimp",112330,2.7
1983,"Platichthys flesus","European flounder",9430,0
1983,"Pleuronectes platessa","European Plaice",227352,564500.811
1983,"Pollachius pollachius","European pollack",0,0
1983,"Pollachius virens","Pollock",399200,1073000
1983,"Pollachius virens","Pollock or saithe",56500,270000
1983,"Reinhardtius hippoglossoides","Greenland halibut",30939200,123000
1983,"Sardina pilchardus","European pilchard",184000,751000
1983,"Sardina pilchardus","Sardine",6370,0
1983,"Scomber scombrus","Mackerel",672000,5350000
1983,"Scophthalmus maximus","Turbot",209,0
1983,"Scophthalmus rhombus","Brill",55,0
1983,"Sebastes mentella","Beaked Redfish",112500,0
1983,"Sebastes norvegicus","Golden Redfish",106000,597000
1983,"Sebastes spp","Redfish species",26700,197000
1983,"Solea solea","Common sole",30009,116340
1983,"Sprattus sprattus","Sprat",159300,2483000
1983,"Squalus acanthias","Spurdog",37000,78000
1983,"Squatina squatina","Angel shark",13,0
1983,"Trachurus picturatus","Blue jack mackerel",4170,0
1983,"Trachurus trachurus","Horse mackerel",98420,3280000
1983,"Trisopterus esmarkii","Norway pout",1530,0
1983,"Urophycis tenuis","White hake",3320,0
1984,"Amblyraja radiata","Thorny skate",2620,0
1984,"Ammodytes spp","Sand eel",669220,1995000
1984,"Argentina silus","Greater silver smelt",163,0
1984,"Brosme brosme","Tusk",5690,39600
1984,"Cetorhinus maximus","Basking shark",2060,0
1984,"Clupea harengus","Herring",927670,7732000
1984,"Coryphaenoides rupestris","Roundnose grenadier",6640,0
1984,"Dicentrarchus labrax","European seabass",681,0
1984,"Eutrigla gurnardus","Grey gurnard",0,0
1984,"Gadus morhua","Atlantic Cod",6630,17100
1984,"Gadus morhua","Atlantic cod",1470290,3824700
1984,"Glyptocephalus cynoglossus","Witch flounder",3900,0
1984,"Hippoglossoides platessoides","American Plaice",37300,338000
1984,"Lamna nasus","Porbeagle shark",484,0
1984,"Lepidorhombus whiffiagonis","Megrim",18800,89300
1984,"Limanda ferruginea","Yellowtail Flounder",16700,60000
1984,"Limanda limanda","Dab",2130,0
1984,"Lophius budegassa","Black bellied angler",1930,0
1984,"Lophius piscatorius","White anglerfish",6030,13900
1984,"Mallotus villosus","Capelin",2376000,2960000
1984,"Melanogrammus aeglefinus","Haddock",331450,1649600
1984,"Merlangius merlangus","Whiting",181546,506900
1984,"Merluccius merluccius","Hake",85500,165200
1984,"Micromesistius poutassou","Blue whiting",616000,3060000
1984,"Microstomus kitt","Lemon sole",0,0
1984,"Molva dypterygia","Blue ling",15400,0
1984,"Molva molva","Ling",3880,14300
1984,"Mullus surmuletus","Striped red mullet",1010,0
1984,"Nephrops norvegicus","Norway lobster",26801,0
1984,"Pagellus bogaraveo","Red seabream",3330,0
1984,"Pandalus borealis","Northern shrimp",132590,1.96
1984,"Platichthys flesus","European flounder",9690,0
1984,"Pleuronectes platessa","European Plaice",244988,605830.883
1984,"Pollachius pollachius","European pollack",0,0
1984,"Pollachius virens","Pollock",454700,1011000
1984,"Pollachius virens","Pollock or saithe",60400,287000
1984,"Reinhardtius hippoglossoides","Greenland halibut",34039200,115000
1984,"Sardina pilchardus","European pilchard",206000,1160000
1984,"Sardina pilchardus","Sardine",2030,0
1984,"Scomber scombrus","Mackerel",642000,5190000
1984,"Scophthalmus maximus","Turbot",188,0
1984,"Scophthalmus rhombus","Brill",15,0
1984,"Sebastes mentella","Beaked Redfish",98430,0
1984,"Sebastes norvegicus","Golden Redfish",96000,543000
1984,"Sebastes spp","Redfish species",20800,198000
1984,"Solea solea","Common sole",36277,128940
1984,"Sprattus sprattus","Sprat",182060,1840000
1984,"Squalus acanthias","Spurdog",35200,74500
1984,"Squatina squatina","Angel shark",9,0
1984,"Trachurus picturatus","Blue jack mackerel",3690,0
1984,"Trachurus trachurus","Horse mackerel",125700,4050000
1984,"Trisopterus esmarkii","Norway pout",384720,326000
1984,"Urophycis tenuis","White hake",5020,0
1985,"Amblyraja radiata","Thorny skate",11300,0
1985,"Ammodytes spp","Sand eel",581600,1445000
1985,"Argentina silus","Greater silver smelt",0,0
1985,"Brosme brosme","Tusk",5060,40300
1985,"Cetorhinus maximus","Basking shark",1470,0
1985,"Clupea harengus","Herring",1072190,8151900
1985,"Coryphaenoides rupestris","Roundnose grenadier",5790,0
1985,"Dicentrarchus labrax","European seabass",475,16200
1985,"Eutrigla gurnardus","Grey gurnard",0,0
1985,"Gadus morhua","Atlantic Cod",8320,21800
1985,"Gadus morhua","Atlantic cod",1419070,3531400
1985,"Glyptocephalus cynoglossus","Witch flounder",3980,0
1985,"Hippoglossoides platessoides","American Plaice",49720,326000
1985,"Lamna nasus","Porbeagle shark",406,0
1985,"Lepidorhombus spp","Megrim spp.",6430,0
1985,"Lepidorhombus whiffiagonis","Megrim",19600,92000
1985,"Limanda ferruginea","Yellowtail Flounder",29000,61500
1985,"Limanda limanda","Dab",1960,0
1985,"Lophius budegassa","Black bellied angler",1830,0
1985,"Lophius piscatorius","White anglerfish",6140,12900
1985,"Mallotus villosus","Capelin",2178000,860000
1985,"Melanogrammus aeglefinus","Haddock",362310,1266900
1985,"Merlangius merlangus","Whiting",136031,491200
1985,"Merluccius merluccius","Hake",75000,147600
1985,"Micromesistius poutassou","Blue whiting",678000,3200000
1985,"Microstomus kitt","Lemon sole",0,0
1985,"Molva dypterygia","Blue ling",19200,0
1985,"Molva molva","Ling",3450,15500
1985,"Mullus surmuletus","Striped red mullet",1060,0
1985,"Nephrops norvegicus","Norway lobster",27594,0
1985,"Pagellus bogaraveo","Red seabream",2772,0
1985,"Pandalus borealis","Northern shrimp",129530,1.34
1985,"Platichthys flesus","European flounder",9300,0
1985,"Pleuronectes platessa","European Plaice",241257,636700.875
1985,"Pollachius pollachius","European pollack",5730,0
1985,"Pollachius virens","Pollock",425600,983000
1985,"Pollachius virens","Pollock or saithe",53700,3e+05
1985,"Reinhardtius hippoglossoides","Greenland halibut",32132200,148000
1985,"Sardina pilchardus","European pilchard",208000,987000
1985,"Sardina pilchardus","Sardine",5220,0
1985,"Scomber scombrus","Mackerel",614000,5330000
1985,"Scophthalmus maximus","Turbot",241,0
1985,"Scophthalmus rhombus","Brill",17,0
1985,"Sebastes mentella","Beaked Redfish",105880,0
1985,"Sebastes norvegicus","Golden Redfish",78600,505000
1985,"Sebastes spp","Redfish species",24600,204000
1985,"Solea solea","Common sole",34367,118530
1985,"Sprattus sprattus","Sprat",142150,1413000
1985,"Squalus acanthias","Spurdog",38700,71200
1985,"Squatina squatina","Angel shark",13,0
1985,"Trachurus picturatus","Blue jack mackerel",3950,0
1985,"Trachurus trachurus","Horse mackerel",121900,4610000
1985,"Trisopterus esmarkii","Norway pout",228150,164000
1985,"Urophycis tenuis","White hake",7320,0
1986,"Amblyraja radiata","Thorny skate",15900,0
1986,"Ammodytes spp","Sand eel",922358,3699000
1986,"Argentina silus","Greater silver smelt",258,0
1986,"Brosme brosme","Tusk",5380,41200
1986,"Cetorhinus maximus","Basking shark",1140,0
1986,"Clupea harengus","Herring",1167240,8437000
1986,"Coryphaenoides rupestris","Roundnose grenadier",22800,0
1986,"Dicentrarchus labrax","European seabass",580,15600
1986,"Engraulis encrasicolus","Anchovy",0,0
1986,"Eutrigla gurnardus","Grey gurnard",0,0
1986,"Gadus morhua","Atlantic Cod",10500,20900
1986,"Gadus morhua","Atlantic cod",1487892,3792600
1986,"Glyptocephalus cynoglossus","Witch flounder",3580,0
1986,"Hippoglossoides platessoides","American Plaice",61160,268000
1986,"Lamna nasus","Porbeagle shark",399,0
1986,"Lepidorhombus boscii","Fourspotted megrim",1410,5170
1986,"Lepidorhombus spp","Megrim spp.",4050,0
1986,"Lepidorhombus whiffiagonis","Megrim",21905,92780
1986,"Limanda ferruginea","Yellowtail Flounder",30200,50100
1986,"Limanda limanda","Dab",2000,0
1986,"Lophius budegassa","Black bellied angler",2560,0
1986,"Lophius piscatorius","White anglerfish",31870,94700
1986,"Mallotus villosus","Capelin",1453000,120000
1986,"Melanogrammus aeglefinus","Haddock",395740,1597000
1986,"Merlangius merlangus","Whiting",184218,556500
1986,"Merluccius merluccius","Hake",74300,126800
1986,"Micromesistius poutassou","Blue whiting",847000,3100000
1986,"Microstomus kitt","Lemon sole",0,0
1986,"Molva dypterygia","Blue ling",21000,0
1986,"Molva molva","Ling",3600,17000
1986,"Mullus surmuletus","Striped red mullet",1010,0
1986,"Nephrops norvegicus","Norway lobster",27790,0
1986,"Pagellus bogaraveo","Red seabream",2730,0
1986,"Pandalus borealis","Northern shrimp",69020,1.13
1986,"Platichthys flesus","European flounder",10282,0
1986,"Pleuronectes platessa","European Plaice",318270,762201.08
1986,"Pollachius pollachius","European pollack",2810,0
1986,"Pollachius virens","Pollock",342100,952000
1986,"Pollachius virens","Pollock or saithe",65200,319000
1986,"Reinhardtius hippoglossoides","Greenland halibut",33031120,138000
1986,"Sardina pilchardus","European pilchard",187000,796000
1986,"Sardina pilchardus","Sardine",6200,0
1986,"Scomber scombrus","Mackerel",602000,4880000
1986,"Scophthalmus maximus","Turbot",193,0
1986,"Scophthalmus rhombus","Brill",18,0
1986,"Sebastes mentella","Beaked Redfish",136000,0
1986,"Sebastes norvegicus","Golden Redfish",107300,474000
1986,"Sebastes spp","Redfish species",47800,203000
1986,"Solea solea","Common sole",29180,119850
1986,"Sprattus sprattus","Sprat",109280,2017000
1986,"Squalus acanthias","Spurdog",30900,67500
1986,"Squatina squatina","Angel shark",14,0
1986,"Trachurus picturatus","Blue jack mackerel",3920,0
1986,"Trachurus trachurus","Horse mackerel",161300,5020000
1986,"Trisopterus esmarkii","Norway pout",186830,120000
1986,"Urophycis tenuis","White hake",5850,0
1987,"Amblyraja radiata","Thorny skate",19100,0
1987,"Ammodytes spp","Sand eel",838020,3088000
1987,"Argentina silus","Greater silver smelt",50,0
1987,"Brosme brosme","Tusk",5640,41400
1987,"Cetorhinus maximus","Basking shark",165,0
1987,"Clupea harengus","Herring",1331420,9080700
1987,"Coryphaenoides rupestris","Roundnose grenadier",10900,0
1987,"Dicentrarchus labrax","European seabass",542,14600
1987,"Engraulis encrasicolus","Anchovy",15300,21800
1987,"Eutrigla gurnardus","Grey gurnard",0,0
1987,"Gadus morhua","Atlantic Cod",10200,28400
1987,"Gadus morhua","Atlantic cod",1591290,3874400
1987,"Glyptocephalus cynoglossus","Witch flounder",3700,0
1987,"Hippoglossoides platessoides","American Plaice",59130,240000
1987,"Lamna nasus","Porbeagle shark",389,0
1987,"Lepidorhombus boscii","Fourspotted megrim",2020,7300
1987,"Lepidorhombus spp","Megrim spp.",6490,0
1987,"Lepidorhombus whiffiagonis","Megrim",19337,96530
1987,"Limanda ferruginea","Yellowtail Flounder",16300,35200
1987,"Limanda limanda","Dab",2180,0
1987,"Lophius budegassa","Black bellied angler",3830,0
1987,"Lophius piscatorius","White anglerfish",28240,90540
1987,"Mallotus villosus","Capelin",1120000,101000
1987,"Melanogrammus aeglefinus","Haddock",411360,1305200
1987,"Merlangius merlangus","Whiting",176912,485300
1987,"Merluccius merluccius","Hake",79600,115400
1987,"Micromesistius poutassou","Blue whiting",655000,2800000
1987,"Microstomus kitt","Lemon sole",0,0
1987,"Molva dypterygia","Blue ling",17400,0
1987,"Molva molva","Ling",4970,18500
1987,"Mullus surmuletus","Striped red mullet",1190,0
1987,"Nephrops norvegicus","Norway lobster",34789.4,0
1987,"Pagellus bogaraveo","Red seabream",1378,0
1987,"Pandalus borealis","Northern shrimp",52710,1.21
1987,"Platichthys flesus","European flounder",7997,0
1987,"Pleuronectes platessa","European Plaice",370247,796201.51
1987,"Pollachius pollachius","European pollack",2920,0
1987,"Pollachius virens","Pollock",324400,895000
1987,"Pollachius virens","Pollock or saithe",80200,336000
1987,"Reinhardtius hippoglossoides","Greenland halibut",46633900,165000
1987,"Sardina pilchardus","European pilchard",178000,642000
1987,"Sardina pilchardus","Sardine",2660,0
1987,"Scomber scombrus","Mackerel",655000,4650000
1987,"Scophthalmus maximus","Turbot",161,0
1987,"Scophthalmus rhombus","Brill",15,0
1987,"Sebastes mentella","Beaked Redfish",116910,0
1987,"Sebastes norvegicus","Golden Redfish",100700,438000
1987,"Sebastes spp","Redfish species",80000,181000
1987,"Solea solea","Common sole",29503,121780
1987,"Sprattus sprattus","Sprat",145790,1954000
1987,"Squalus acanthias","Spurdog",42400,65800
1987,"Squatina squatina","Angel shark",12,0
1987,"Trachurus picturatus","Blue jack mackerel",3670,0
1987,"Trachurus trachurus","Horse mackerel",199300,5210000
1987,"Trisopterus esmarkii","Norway pout",187300,259000
1987,"Urophycis tenuis","White hake",9380,0
1988,"Amblyraja radiata","Thorny skate",19500,0
1988,"Ammodytes spp","Sand eel",921000,1658000
1988,"Aphanopus carbo","Black scabbardfish",2.6,0
1988,"Argentina silus","Greater silver smelt",22410,0
1988,"Beryx spp","Beryx spp",225,0
1988,"Brosme brosme","Tusk",34421,41100
1988,"Centrophorus squamosus","Leafscale gulper shark",560,0
1988,"Cetorhinus maximus","Basking shark",106,0
1988,"Clupea harengus","Herring",1555900,11970700
1988,"Coryphaenoides rupestris","Roundnose grenadier",11250,0
1988,"Dalatias licha","Kitefin shark",698,0
1988,"Dicentrarchus labrax","European seabass",586,13000
1988,"Engraulis encrasicolus","Anchovy",15600,30200
1988,"Eutrigla gurnardus","Grey gurnard",0,0
1988,"Gadus morhua","Atlantic Cod",17200,41400
1988,"Gadus morhua","Atlantic cod",1489060,3421000
1988,"Glyptocephalus cynoglossus","Witch flounder",3290,0
1988,"Hippoglossoides platessoides","American Plaice",41890,244400
1988,"Hoplostethus atlanticus","Orange roughy",0,0
1988,"Lamna nasus","Porbeagle shark",471,0
1988,"Lepidorhombus boscii","Fourspotted megrim",2590,7820
1988,"Lepidorhombus spp","Megrim spp.",7270,0
1988,"Lepidorhombus whiffiagonis","Megrim",20158,84060
1988,"Limanda ferruginea","Yellowtail Flounder",16200,32200
1988,"Limanda limanda","Dab",2320,0
1988,"Lophius budegassa","Black bellied angler",3700,0
1988,"Lophius piscatorius","White anglerfish",27620,86750
1988,"Mallotus villosus","Capelin",1040000,428000
1988,"Melanogrammus aeglefinus","Haddock",349950,932500
1988,"Merlangius merlangus","Whiting",164423,441600
1988,"Merluccius merluccius","Hake",81500,108600
1988,"Micromesistius poutassou","Blue whiting",552000,2420000
1988,"Microstomus kitt","Lemon sole",0,0
1988,"Molva dypterygia","Blue ling",22990,0
1988,"Molva molva","Ling",57570,18400
1988,"Mullus surmuletus","Striped red mullet",1130,0
1988,"Nephrops norvegicus","Norway lobster",38887,0
1988,"Pagellus bogaraveo","Red seabream",1715,0
1988,"Pandalus borealis","Northern shrimp",62650,25501.51
1988,"Platichthys flesus","European flounder",7998,0
1988,"Pleuronectes platessa","European Plaice",335888,721801.49
1988,"Pollachius pollachius","European pollack",2580,0
1988,"Pollachius virens","Pollock",313300,859000
1988,"Pollachius virens","Pollock or saithe",77200,415000
1988,"Raja undulata","Undulate ray",0,0
1988,"Reinhardtius hippoglossoides","Greenland halibut",51130670,169000
1988,"Sardina pilchardus","European pilchard",162000,706000
1988,"Sardina pilchardus","Sardine",5820,0
1988,"Scomber scombrus","Mackerel",680000,4810000
1988,"Scophthalmus maximus","Turbot",138,0
1988,"Scophthalmus rhombus","Brill",6,0
1988,"Sebastes mentella","Beaked Redfish",111770,0
1988,"Sebastes norvegicus","Golden Redfish",115400,390000
1988,"Sebastes spp","Redfish species",54300,286000
1988,"Solea solea","Common sole",33203,142320
1988,"Sprattus sprattus","Sprat",195270,2561000
1988,"Squalus acanthias","Spurdog",35600,61400
1988,"Squatina squatina","Angel shark",11,0
1988,"Trachurus picturatus","Blue jack mackerel",3820,0
1988,"Trachurus trachurus","Horse mackerel",232800,5220000
1988,"Trisopterus esmarkii","Norway pout",115740,98800
1988,"Urophycis tenuis","White hake",3460,0
1989,"Amblyraja radiata","Thorny skate",15900,0
1989,"Ammodytes spp","Sand eel",1044949,1839000
1989,"Aphanopus carbo","Black scabbardfish",3.83,0
1989,"Argentina silus","Greater silver smelt",33200,0
1989,"Beryx spp","Beryx spp",272,0
1989,"Brosme brosme","Tusk",42171,39700
1989,"Centrophorus squamosus","Leafscale gulper shark",527,0
1989,"Cetorhinus maximus","Basking shark",593,0
1989,"Clupea harengus","Herring",1444350,11669700
1989,"Coryphaenoides rupestris","Roundnose grenadier",13135,0
1989,"Dalatias licha","Kitefin shark",617,0
1989,"Dicentrarchus labrax","European seabass",1030,12200
1989,"Engraulis encrasicolus","Anchovy",16540,16500
1989,"Eutrigla gurnardus","Grey gurnard",0,0
1989,"Gadus morhua","Atlantic Cod",19800,37600
1989,"Gadus morhua","Atlantic cod",1363519,3320000
1989,"Glyptocephalus cynoglossus","Witch flounder",3840,0
1989,"Hippoglossoides platessoides","American Plaice",45170,204500
1989,"Hoplostethus atlanticus","Orange roughy",8,0
1989,"Lamna nasus","Porbeagle shark",462,0
1989,"Lepidorhombus boscii","Fourspotted megrim",3040,7790
1989,"Lepidorhombus spp","Megrim spp.",4780,0
1989,"Lepidorhombus whiffiagonis","Megrim",22561,73890
1989,"Limanda ferruginea","Yellowtail Flounder",10200,28200
1989,"Limanda limanda","Dab",2040,0
1989,"Lophius budegassa","Black bellied angler",2580,0
1989,"Lophius piscatorius","White anglerfish",29000,84620
1989,"Mallotus villosus","Capelin",807000,864000
1989,"Melanogrammus aeglefinus","Haddock",270400,797800
1989,"Merlangius merlangus","Whiting",150834,503900
1989,"Merluccius merluccius","Hake",80300,101500
1989,"Micromesistius poutassou","Blue whiting",630000,2390000
1989,"Microstomus kitt","Lemon sole",0,0
1989,"Molva dypterygia","Blue ling",17710,0
1989,"Molva molva","Ling",51870,18200
1989,"Mullus surmuletus","Striped red mullet",1130,0
1989,"Nephrops norvegicus","Norway lobster",34073,0
1989,"Pagellus bogaraveo","Red seabream",2061,0
1989,"Pandalus borealis","Northern shrimp",76870,21401.72
1989,"Platichthys flesus","European flounder",8846,0
1989,"Pleuronectes platessa","European Plaice",297064,662351.44
1989,"Pollachius pollachius","European pollack",1970,0
1989,"Pollachius virens","Pollock",292500,772000
1989,"Pollachius virens","Pollock or saithe",82300,398000
1989,"Raja undulata","Undulate ray",0,0
1989,"Reinhardtius hippoglossoides","Greenland halibut",61434310,182000
1989,"Sardina pilchardus","European pilchard",141000,625000
1989,"Sardina pilchardus","Sardine",7560,0
1989,"Scomber scombrus","Mackerel",586000,4450000
1989,"Scophthalmus maximus","Turbot",184,0
1989,"Scophthalmus rhombus","Brill",10,0
1989,"Sebastes mentella","Beaked Redfish",81380,0
1989,"Sebastes norvegicus","Golden Redfish",79900,350000
1989,"Sebastes spp","Redfish species",92700,224300
1989,"Solea solea","Common sole",33882,180140
1989,"Sprattus sprattus","Sprat",153630,1661000
1989,"Squalus acanthias","Spurdog",30300,58300
1989,"Squatina squatina","Angel shark",4,0
1989,"Trachurus picturatus","Blue jack mackerel",3370,0
1989,"Trachurus trachurus","Horse mackerel",242800,5090000
1989,"Trisopterus esmarkii","Norway pout",195200,213000
1989,"Urophycis tenuis","White hake",2720,0
1990,"Amblyraja radiata","Thorny skate",15300,0
1990,"Ammodytes spp","Sand eel",620373,1363000
1990,"Aphanopus carbo","Black scabbardfish",4.81,0
1990,"Argentina silus","Greater silver smelt",21404,0
1990,"Beryx spp","Beryx spp",353,0
1990,"Brosme brosme","Tusk",39568,38300
1990,"Centrophorus squamosus","Leafscale gulper shark",635,0
1990,"Cetorhinus maximus","Basking shark",897,0
1990,"Clupea harengus","Herring",1276610,11827700
1990,"Coryphaenoides rupestris","Roundnose grenadier",11268,0
1990,"Dalatias licha","Kitefin shark",609,0
1990,"Dicentrarchus labrax","European seabass",1040,12000
1990,"Engraulis encrasicolus","Anchovy",40790,55200
1990,"Eutrigla gurnardus","Grey gurnard",0,0
1990,"Gadus morhua","Atlantic Cod",12700,25100
1990,"Gadus morhua","Atlantic cod",1081979,2836600
1990,"Glyptocephalus cynoglossus","Witch flounder",3860,0
1990,"Hippoglossoides platessoides","American Plaice",24922,146900
1990,"Hoplostethus atlanticus","Orange roughy",39,0
1990,"Lamna nasus","Porbeagle shark",690,0
1990,"Lepidorhombus boscii","Fourspotted megrim",2350,6730
1990,"Lepidorhombus spp","Megrim spp.",4190,0
1990,"Lepidorhombus whiffiagonis","Megrim",18720,70100
1990,"Limanda ferruginea","Yellowtail Flounder",14000,29900
1990,"Limanda limanda","Dab",2180,0
1990,"Lophius budegassa","Black bellied angler",2330,0
1990,"Lophius piscatorius","White anglerfish",24790,77910
1990,"Macrourus berglax","Roughhead grenadier",589,0
1990,"Mallotus villosus","Capelin",313000,5830000
1990,"Melanogrammus aeglefinus","Haddock",195970,961300
1990,"Merlangius merlangus","Whiting",174388,438500
1990,"Merluccius merluccius","Hake",73200,92800
1990,"Micromesistius poutassou","Blue whiting",558000,2520000
1990,"Microstomus kitt","Lemon sole",0,0
1990,"Molva dypterygia","Blue ling",14340,0
1990,"Molva molva","Ling",45250,17200
1990,"Mullus surmuletus","Striped red mullet",1340,0
1990,"Nephrops norvegicus","Norway lobster",31361,0
1990,"Pagellus bogaraveo","Red seabream",1929,0
1990,"Pandalus borealis","Northern shrimp",93450,24901.89
1990,"Platichthys flesus","European flounder",6283,0
1990,"Pleuronectes platessa","European Plaice",250013,585191.28
1990,"Pollachius pollachius","European pollack",1900,0
1990,"Pollachius virens","Pollock",281400,744000
1990,"Pollachius virens","Pollock or saithe",97500,377000
1990,"Raja undulata","Undulate ray",0,0
1990,"Reinhardtius hippoglossoides","Greenland halibut",39342870,206000
1990,"Sardina pilchardus","European pilchard",149000,562000
1990,"Sardina pilchardus","Sardine",9430,0
1990,"Scomber scombrus","Mackerel",626000,4360000
1990,"Scophthalmus maximus","Turbot",386,0
1990,"Scophthalmus rhombus","Brill",1,0
1990,"Sebastes mentella","Beaked Redfish",66400,0
1990,"Sebastes mentella","Deepwater Redfish",0,0
1990,"Sebastes norvegicus","Golden Redfish",94400,466000
1990,"Sebastes spp","Redfish species",110500,172800
1990,"Solea solea","Common sole",47381,207530
1990,"Sprattus sprattus","Sprat",167490,2420000
1990,"Squalus acanthias","Spurdog",29900,56200
1990,"Squatina squatina","Angel shark",3,0
1990,"Trachurus picturatus","Blue jack mackerel",3580,0
1990,"Trachurus trachurus","Horse mackerel",297000,4860000
1990,"Trisopterus esmarkii","Norway pout",142320,234000
1990,"Urophycis tenuis","White hake",3600,0
1991,"Amblyraja radiata","Starry ray",0,0
1991,"Amblyraja radiata","Thorny skate",29000,0
1991,"Ammodytes spp","Sand eel",832717,2251000
1991,"Aphanopus carbo","Black scabbardfish",6.79,0
1991,"Argentina silus","Greater silver smelt",15104,0
1991,"Beryx spp","Beryx spp",371,0
1991,"Brosme brosme","Tusk",40670,36900
1991,"Capros aper","Boarfish",0,0.516
1991,"Centrophorus squamosus","Leafscale gulper shark",2510,0
1991,"Cetorhinus maximus","Basking shark",753,0
1991,"Clupea harengus","Herring",1412600,12111700
1991,"Coryphaenoides rupestris","Roundnose grenadier",19453,0
1991,"Dalatias licha","Kitefin shark",908,0
1991,"Dicentrarchus labrax","European seabass",867,13100
1991,"Engraulis encrasicolus","Anchovy",25520,31300
1991,"Eutrigla gurnardus","Grey gurnard",0,0
1991,"Gadus morhua","Atlantic Cod",9340,19500
1991,"Gadus morhua","Atlantic cod",1012711,2971900
1991,"Glyptocephalus cynoglossus","Witch flounder",3640,0
1991,"Hippoglossoides platessoides","American Plaice",27590,123310
1991,"Hoplostethus atlanticus","Orange roughy",5020,0
1991,"Lamna nasus","Porbeagle shark",482,0
1991,"Lepidorhombus boscii","Fourspotted megrim",2130,6620
1991,"Lepidorhombus spp","Megrim spp",1050,0
1991,"Lepidorhombus spp","Megrim spp.",4510,0
1991,"Lepidorhombus whiffiagonis","Megrim",19055,72410
1991,"Leucoraja naevus","Cuckoo ray",0,0
1991,"Limanda ferruginea","Yellowtail Flounder",16200,27700
1991,"Limanda limanda","Dab",2170,0
1991,"Lophius budegassa","Black bellied angler",2160,0
1991,"Lophius piscatorius","White anglerfish",20440,66670
1991,"Macrourus berglax","Roughhead grenadier",829,0
1991,"Mallotus villosus","Capelin",1610000,7290000
1991,"Melanogrammus aeglefinus","Haddock",216700,1185500
1991,"Merlangius merlangus","Whiting",148910,448300
1991,"Merluccius merluccius","Hake",70900,89000
1991,"Micromesistius poutassou","Blue whiting",364000,3230000
1991,"Microstomus kitt","Lemon sole",0,0
1991,"Molva dypterygia","Blue ling",15470,0
1991,"Molva molva","Ling",44890,16400
1991,"Mullus surmuletus","Striped red mullet",1440,0
1991,"Nephrops norvegicus","Norway lobster",43247,0
1991,"Pagellus bogaraveo","Red seabream",1663,0
1991,"Pandalus borealis","Northern shrimp",87406,32401.85
1991,"Platichthys flesus","European flounder",6889,0
1991,"Pleuronectes platessa","European Plaice",245001,530790.972
1991,"Pollachius pollachius","European pollack",2170,0
1991,"Pollachius virens","Pollock",292900,818000
1991,"Pollachius virens","Pollock or saithe",102000,337000
1991,"Raja undulata","Undulate ray",0,0
1991,"Reinhardtius hippoglossoides","Greenland halibut",38051040,224000
1991,"Sardina pilchardus","European pilchard",133000,517000
1991,"Sardina pilchardus","Sardine",9390,0
1991,"Scomber scombrus","Mackerel",676000,4320000
1991,"Scophthalmus maximus","Turbot",276,0
1991,"Scophthalmus rhombus","Brill",15,0
1991,"Sebastes mentella","Beaked Redfish",82019,1.63
1991,"Sebastes mentella","Deepwater Redfish",0,0
1991,"Sebastes norvegicus","Golden Redfish",75100,444000
1991,"Sebastes spp","Redfish species",74600,146300
1991,"Solea solea","Common sole",45653,184110
1991,"Sprattus sprattus","Sprat",236310,4550000
1991,"Squalus acanthias","Spurdog",29600,53600
1991,"Squatina squatina","Angel shark",2,0
1991,"Trachurus picturatus","Blue jack mackerel",2060,0
1991,"Trachurus trachurus","Horse mackerel",299900,4500000
1991,"Trisopterus esmarkii","Norway pout",194350,313000
1991,"Urophycis tenuis","White hake",3970,0
1992,"Amblyraja radiata","Starry ray",0,0
1992,"Amblyraja radiata","Thorny skate",5200,0
1992,"Ammodytes spp","Sand eel",840170,2089000
1992,"Aphanopus carbo","Black scabbardfish",8.53,0
1992,"Argentina silus","Greater silver smelt",20145,0
1992,"Beryx spp","Beryx spp",460,0
1992,"Brosme brosme","Tusk",37267,34100
1992,"Capros aper","Boarfish",0,0.837
1992,"Centrophorus squamosus","Leafscale gulper shark",4630,0
1992,"Cetorhinus maximus","Basking shark",1700,0
1992,"Clupea harengus","Herring",1494770,12671500
1992,"Coryphaenoides rupestris","Roundnose grenadier",16798,0
1992,"Dalatias licha","Kitefin shark",772,0
1992,"Dicentrarchus labrax","European seabass",743,14700
1992,"Engraulis encrasicolus","Anchovy",41070,75000
1992,"Eutrigla gurnardus","Grey gurnard",0,0
1992,"Gadus morhua","Atlantic Cod",9750,21900
1992,"Gadus morhua","Atlantic cod",1099394,3230800
1992,"Glyptocephalus cynoglossus","Witch flounder",3160,0
1992,"Hippoglossoides platessoides","American Plaice",11666,85260
1992,"Hoplostethus atlanticus","Orange roughy",4950,0
1992,"Lamna nasus","Porbeagle shark",629,0
1992,"Lepidorhombus boscii","Fourspotted megrim",2350,6370
1992,"Lepidorhombus spp","Megrim spp",1070,0
1992,"Lepidorhombus spp","Megrim spp.",4840,0
1992,"Lepidorhombus whiffiagonis","Megrim",19158,73410
