"year","scientificname","commonname","total_catch","total_biomass"
1969,"Melanogrammus aeglefinus","Haddock",156030,382900
1969,"Merlangius merlangus","Whiting",369,0
1969,"Microstomus kitt","Lemon sole",0,0
1969,"Molva dypterygia","Blue ling",1220,0
1969,"Nephrops norvegicus","Norway lobster",4590,0
1969,"Pagellus bogaraveo","Red seabream",7970,0
1969,"Platichthys flesus","European flounder",0,0
1969,"Pleuronectes platessa","European Plaice",143382,483000
1969,"Pollachius virens","Pollock",317400,1753000
1969,"Reinhardtius hippoglossoides","Greenland halibut",26255400,0
1969,"Scophthalmus maximus","Turbot",76,0
1969,"Scophthalmus rhombus","Brill",0,0
1969,"Sebastes norvegicus","Golden Redfish",0,0
1969,"Sebastes spp","Redfish species",29800,187000
1969,"Solea solea","Common sole",28049,91330
1969,"Sprattus sprattus","Sprat",9190,0
1969,"Squalus acanthias","Spurdog",52100,147000
1969,"Urophycis tenuis","White hake",447,0
1970,"Amblyraja radiata","Thorny skate",902,0
1970,"Ammodytes spp","Sand eel",0,0
1970,"Argentina silus","Greater silver smelt",0,0
1970,"Clupea harengus","Herring",946700,4603000
1970,"Gadus morhua","Atlantic Cod",0,0
1970,"Gadus morhua","Atlantic cod",2109230,4974000
