"CodTempo","Year","Month","Establecementos","Viaxeiros/Noites/Estadía media","Procedencia","Zonas turísticas","DatoN","DatoN_normalized"
199904,"1999","Abril","Turismo rural","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199904,"1999","Abril","Turismo rural","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199904,"1999","Abril","Turismo rural","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199904,"1999","Abril","Turismo rural","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199905,"1999","Maio","Hoteleiros","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",5577,0.0726256983240224
199905,"1999","Maio","Hoteleiros","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",5309.8,0.0691461238947273
199905,"1999","Maio","Hoteleiros","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",266.8,0.00347436548553867
199905,"1999","Maio","Hoteleiros","Noites","Todas as procedencias","Costa da Morte (A Coruña)",10943,0.142503678816528
199905,"1999","Maio","Hoteleiros","Noites","Residentes en España","Costa da Morte (A Coruña)",10543,0.137294735060098
199905,"1999","Maio","Hoteleiros","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",399.6,0.00520373481267336
199905,"1999","Maio","Hoteleiros","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",2,2.6044718782149e-05
199905,"1999","Maio","Hoteleiros","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199905,"1999","Maio","Hoteleiros","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199905,"1999","Maio","Turismo rural","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199905,"1999","Maio","Turismo rural","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199905,"1999","Maio","Turismo rural","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199905,"1999","Maio","Turismo rural","Noites","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199905,"1999","Maio","Turismo rural","Noites","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199905,"1999","Maio","Turismo rural","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199905,"1999","Maio","Turismo rural","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199905,"1999","Maio","Turismo rural","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199905,"1999","Maio","Turismo rural","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199906,"1999","Xuño","Hoteleiros","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",6185,0.0805432928337956
199906,"1999","Xuño","Hoteleiros","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",5504.1,0.071676368324413
199906,"1999","Xuño","Hoteleiros","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",680.7,0.0088643200375044
199906,"1999","Xuño","Hoteleiros","Noites","Todas as procedencias","Costa da Morte (A Coruña)",12099,0.15755752627261
199906,"1999","Xuño","Hoteleiros","Noites","Residentes en España","Costa da Morte (A Coruña)",11226.4,0.146194215467958
199906,"1999","Xuño","Hoteleiros","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",872.8,0.0113659152765298
199906,"1999","Xuño","Hoteleiros","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",2,2.6044718782149e-05
199906,"1999","Xuño","Hoteleiros","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199906,"1999","Xuño","Hoteleiros","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199906,"1999","Xuño","Turismo rural","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199906,"1999","Xuño","Turismo rural","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199906,"1999","Xuño","Turismo rural","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199906,"1999","Xuño","Turismo rural","Noites","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199906,"1999","Xuño","Turismo rural","Noites","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199906,"1999","Xuño","Turismo rural","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199906,"1999","Xuño","Turismo rural","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199906,"1999","Xuño","Turismo rural","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199906,"1999","Xuño","Turismo rural","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199907,"1999","Xullo","Hoteleiros","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",8489,0.110546808870831
199907,"1999","Xullo","Hoteleiros","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",7695.1,0.100208357750257
199907,"1999","Xullo","Hoteleiros","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",794.4,0.0103449623002696
199907,"1999","Xullo","Hoteleiros","Noites","Todas as procedencias","Costa da Morte (A Coruña)",15734,0.204893802659166
199907,"1999","Xullo","Hoteleiros","Noites","Residentes en España","Costa da Morte (A Coruña)",14610.8,0.190267088591111
199907,"1999","Xullo","Hoteleiros","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",1122.8,0.0146215051242984
199907,"1999","Xullo","Hoteleiros","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",1.9,2.47424828430415e-05
199907,"1999","Xullo","Hoteleiros","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199907,"1999","Xullo","Hoteleiros","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199907,"1999","Xullo","Turismo rural","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199907,"1999","Xullo","Turismo rural","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199907,"1999","Xullo","Turismo rural","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199907,"1999","Xullo","Turismo rural","Noites","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199907,"1999","Xullo","Turismo rural","Noites","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199907,"1999","Xullo","Turismo rural","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199907,"1999","Xullo","Turismo rural","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199907,"1999","Xullo","Turismo rural","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199907,"1999","Xullo","Turismo rural","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199908,"1999","Agosto","Hoteleiros","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",11942,0.155513015848211
199908,"1999","Agosto","Hoteleiros","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",10273.2,0.133781302496386
199908,"1999","Agosto","Hoteleiros","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",1669.4,0.0217395267674597
199908,"1999","Agosto","Hoteleiros","Noites","Todas as procedencias","Costa da Morte (A Coruña)",26402,0.343816332643148
199908,"1999","Agosto","Hoteleiros","Noites","Residentes en España","Costa da Morte (A Coruña)",23865.6,0.310786420283627
199908,"1999","Agosto","Hoteleiros","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",2535.8,0.0330220989438867
199908,"1999","Agosto","Hoteleiros","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",2.2,2.86491906603638e-05
199908,"1999","Agosto","Hoteleiros","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199908,"1999","Agosto","Hoteleiros","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199908,"1999","Agosto","Turismo rural","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199908,"1999","Agosto","Turismo rural","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199908,"1999","Agosto","Turismo rural","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199908,"1999","Agosto","Turismo rural","Noites","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199908,"1999","Agosto","Turismo rural","Noites","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199908,"1999","Agosto","Turismo rural","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199908,"1999","Agosto","Turismo rural","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199908,"1999","Agosto","Turismo rural","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199908,"1999","Agosto","Turismo rural","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199909,"1999","Setembro","Hoteleiros","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",10611,0.138180255498691
199909,"1999","Setembro","Hoteleiros","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",9994.2,0.130148064226277
199909,"1999","Setembro","Hoteleiros","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",617.4,0.00804000468804938
199909,"1999","Setembro","Hoteleiros","Noites","Todas as procedencias","Costa da Morte (A Coruña)",19499,0.253922985766561
199909,"1999","Setembro","Hoteleiros","Noites","Residentes en España","Costa da Morte (A Coruña)",18635.1,0.242672969488612
199909,"1999","Setembro","Hoteleiros","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",864.5,0.0112578296935839
199909,"1999","Setembro","Hoteleiros","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",1.8,2.34402469039341e-05
199909,"1999","Setembro","Hoteleiros","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199909,"1999","Setembro","Hoteleiros","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199909,"1999","Setembro","Turismo rural","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199909,"1999","Setembro","Turismo rural","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199909,"1999","Setembro","Turismo rural","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199909,"1999","Setembro","Turismo rural","Noites","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199909,"1999","Setembro","Turismo rural","Noites","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199909,"1999","Setembro","Turismo rural","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199909,"1999","Setembro","Turismo rural","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199909,"1999","Setembro","Turismo rural","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199909,"1999","Setembro","Turismo rural","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199910,"1999","Outubro","Hoteleiros","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",7055,0.0918727455040304
199910,"1999","Outubro","Hoteleiros","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",6839.3,0.0890638225833757
199910,"1999","Outubro","Hoteleiros","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",216.3,0.00281673633628941
199910,"1999","Outubro","Hoteleiros","Noites","Todas as procedencias","Costa da Morte (A Coruña)",13233,0.172324881822089
199910,"1999","Outubro","Hoteleiros","Noites","Residentes en España","Costa da Morte (A Coruña)",12736.7,0.165861884856298
199910,"1999","Outubro","Hoteleiros","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",495.8,0.00645648578609472
199910,"1999","Outubro","Hoteleiros","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",1.9,2.47424828430415e-05
199910,"1999","Outubro","Hoteleiros","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199910,"1999","Outubro","Hoteleiros","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199910,"1999","Outubro","Turismo rural","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199910,"1999","Outubro","Turismo rural","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199910,"1999","Outubro","Turismo rural","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
