"Destinos","Indicadores","Orixe dos viaxeiros","CodTempo","Tempo","DatoN","DatoN_normalized"
"O Ribeiro","Indicador Estacional (1)","Todas",2011,2011,24.8,5.73665868315e-06
"Ría de Arousa","Indicador Estacional (1)","Todas",2011,2011,53.6,8.13805069005e-06
"Ría de Muros e Noia","Indicador Estacional (1)","Todas",2011,2011,67.1,9.26370319328437e-06
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Todas",2011,2011,35.4,6.62050435235625e-06
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Todas",2011,2011,42.5,7.21251418739062e-06
"Ribeira Sacra","Indicador Estacional (1)","Todas",2011,2011,28.5,6.04517085070312e-06
"Terras de Ourense e Allariz","Indicador Estacional (1)","Todas",2011,2011,21.5,5.46149918235937e-06
"Terras de Santiago","Indicador Estacional (1)","Todas",2011,2011,26.3,5.86173118350937e-06
"Verín - Viana","Indicador Estacional (1)","Todas",2011,2011,25.9,5.82837851674688e-06
"Galicia","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"A Coruña e As Mariñas","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Ancares - Courel","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Celanova - Limia","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Costa da Morte","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Deza - Tabeirós","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Ferrolterra","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Lugo e a Terra Chá","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Manzaneda - Trevinca","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Mariña Lucense","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"O Ribeiro","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Ría de Arousa","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Ría de Muros e Noia","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Ría de Vigo e Baixo Miño","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Ría e Terras de Pontevedra","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Ribeira Sacra","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Terras de Ourense e Allariz","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Terras de Santiago","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Verín - Viana","Indicador Estacional (2)","Todas",2011,2011,NA,NA
"Galicia","Noites","Fóra de Galicia",2011,2011,5744916,0.47902434110973
"A Coruña e As Mariñas","Noites","Fóra de Galicia",2011,2011,801809,0.0668598397537773
"Ancares - Courel","Noites","Fóra de Galicia",2011,2011,44297,0.00369722649229003
"Celanova - Limia","Noites","Fóra de Galicia",2011,2011,29581,0.00247018188209766
"Costa da Morte","Noites","Fóra de Galicia",2011,2011,128149,0.0106889460257129
"Deza - Tabeirós","Noites","Fóra de Galicia",2011,2011,65675,0.00547975976741184
"Ferrolterra","Noites","Fóra de Galicia",2011,2011,242070,0.0201878689013398
"Lugo e a Terra Chá","Noites","Fóra de Galicia",2011,2011,314873,0.0262583043971155
"Manzaneda - Trevinca","Noites","Fóra de Galicia",2011,2011,16767,0.00140172920236097
"Mariña Lucense","Noites","Fóra de Galicia",2011,2011,200282,0.0167035158046614
"O Ribeiro","Noites","Fóra de Galicia",2011,2011,54433,0.00454238306805178
"Ría de Arousa","Noites","Fóra de Galicia",2011,2011,1187328,0.0990050565978079
"Ría de Muros e Noia","Noites","Fóra de Galicia",2011,2011,46243,0.00385948721608959
"Ría de Vigo e Baixo Miño","Noites","Fóra de Galicia",2011,2011,788630,0.0657609527656198
"Ría e Terras de Pontevedra","Noites","Fóra de Galicia",2011,2011,370663,0.0309101675938152
"Ribeira Sacra","Noites","Fóra de Galicia",2011,2011,136171,0.0113578337576348
"Terras de Ourense e Allariz","Noites","Fóra de Galicia",2011,2011,136915,0.0114198697178131
"Terras de Santiago","Noites","Fóra de Galicia",2011,2011,1154515,0.0962690539616131
"Verín - Viana","Noites","Fóra de Galicia",2011,2011,26515,0.00221453369136309
"Galicia","Indicador Área","Fóra de Galicia",2011,2011,194,1.98448367236875e-05
"A Coruña e As Mariñas","Indicador Área","Fóra de Galicia",2011,2011,852,7.4709973548e-05
"Ancares - Courel","Indicador Área","Fóra de Galicia",2011,2011,20,5.336426682e-06
"Celanova - Limia","Indicador Área","Fóra de Galicia",2011,2011,17,5.08628168128125e-06
"Costa da Morte","Indicador Área","Fóra de Galicia",2011,2011,75,9.92241836184375e-06
"Deza - Tabeirós","Indicador Área","Fóra de Galicia",2011,2011,42,7.1708233539375e-06
"Ferrolterra","Indicador Área","Fóra de Galicia",2011,2011,152,1.6342806713625e-05
"Lugo e a Terra Chá","Indicador Área","Fóra de Galicia",2011,2011,74,9.8390366949375e-06
"Manzaneda - Trevinca","Indicador Área","Fóra de Galicia",2011,2011,12,4.66937334675e-06
"Mariña Lucense","Indicador Área","Fóra de Galicia",2011,2011,144,1.5675753378375e-05
"O Ribeiro","Indicador Área","Fóra de Galicia",2011,2011,54,8.1714033568125e-06
"Ría de Arousa","Indicador Área","Fóra de Galicia",2011,2011,1886,0.000160926617129062
"Ría de Muros e Noia","Indicador Área","Fóra de Galicia",2011,2011,115,1.32576850380937e-05
"Ría de Vigo e Baixo Miño","Indicador Área","Fóra de Galicia",2011,2011,489,4.44424284610312e-05
"Ría e Terras de Pontevedra","Indicador Área","Fóra de Galicia",2011,2011,380,3.535382676825e-05
"Ribeira Sacra","Indicador Área","Fóra de Galicia",2011,2011,53,8.08802168990625e-06
"Terras de Ourense e Allariz","Indicador Área","Fóra de Galicia",2011,2011,172,1.801044005175e-05
"Terras de Santiago","Indicador Área","Fóra de Galicia",2011,2011,381,3.54372084351562e-05
"Verín - Viana","Indicador Área","Fóra de Galicia",2011,2011,15,4.91951834746875e-06
"Galicia","Indicador Costa","Fóra de Galicia",2011,2011,2271,0.000193028558887969
"A Coruña e As Mariñas","Indicador Costa","Fóra de Galicia",2011,2011,4159,0.000350453146006969
"Ancares - Courel","Indicador Costa","Fóra de Galicia",2011,2011,NA,NA
"Celanova - Limia","Indicador Costa","Fóra de Galicia",2011,2011,NA,NA
"Costa da Morte","Indicador Costa","Fóra de Galicia",2011,2011,281,2.70990417445312e-05
"Deza - Tabeirós","Indicador Costa","Fóra de Galicia",2011,2011,NA,NA
"Ferrolterra","Indicador Costa","Fóra de Galicia",2011,2011,506,4.58599167984375e-05
"Lugo e a Terra Chá","Indicador Costa","Fóra de Galicia",2011,2011,NA,NA
"Manzaneda - Trevinca","Indicador Costa","Fóra de Galicia",2011,2011,NA,NA
"Mariña Lucense","Indicador Costa","Fóra de Galicia",2011,2011,763,6.72890051933437e-05
"O Ribeiro","Indicador Costa","Fóra de Galicia",2011,2011,NA,NA
"Ría de Arousa","Indicador Costa","Fóra de Galicia",2011,2011,2397,0.000203534648918156
"Ría de Muros e Noia","Indicador Costa","Fóra de Galicia",2011,2011,323,3.06010717545937e-05
"Ría de Vigo e Baixo Miño","Indicador Costa","Fóra de Galicia",2011,2011,2693,0.000228215622322406
"Ría e Terras de Pontevedra","Indicador Costa","Fóra de Galicia",2011,2011,1781,0.000152171542103906
"Ribeira Sacra","Indicador Costa","Fóra de Galicia",2011,2011,NA,NA
"Terras de Ourense e Allariz","Indicador Costa","Fóra de Galicia",2011,2011,NA,NA
"Terras de Santiago","Indicador Costa","Fóra de Galicia",2011,2011,NA,NA
"Verín - Viana","Indicador Costa","Fóra de Galicia",2011,2011,NA,NA
"Galicia","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.57,3.71632089401156e-06
"A Coruña e As Mariñas","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.52,3.71215181066625e-06
"Ancares - Courel","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.59,3.71798852734969e-06
"Celanova - Limia","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.17,3.68296822724906e-06
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.29,3.69297402727781e-06
"Deza - Tabeirós","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.24,3.6888049439325e-06
"Ferrolterra","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.33,3.69630929395406e-06
"Lugo e a Terra Chá","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.44,3.70548127731375e-06
"Manzaneda - Trevinca","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.14,3.68046677724187e-06
"Mariña Lucense","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.73,3.72966196071656e-06
"O Ribeiro","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.3,3.69380784394687e-06
"Ría de Arousa","Indicador Poboación (1)","Fóra de Galicia",2011,2011,1.67,3.80804072760844e-06
"Ría de Muros e Noia","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.28,3.69214021060875e-06
"Ría de Vigo e Baixo Miño","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.41,3.70297982730656e-06
"Ría e Terras de Pontevedra","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.45,3.70631509398281e-06
"Ribeira Sacra","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.57,3.71632089401156e-06
"Terras de Ourense e Allariz","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.25,3.68963876060156e-06
"Terras de Santiago","Indicador Poboación (1)","Fóra de Galicia",2011,2011,1.16,3.76551607748625e-06
"Verín - Viana","Indicador Poboación (1)","Fóra de Galicia",2011,2011,0.2,3.68546967725625e-06
"Galicia","Indicador Poboación (2)","Fóra de Galicia",2011,2011,2.07,3.84139339437094e-06
"A Coruña e As Mariñas","Indicador Poboación (2)","Fóra de Galicia",2011,2011,1.88,3.82555087765875e-06
"Ancares - Courel","Indicador Poboación (2)","Fóra de Galicia",2011,2011,2.14,3.84723011105437e-06
"Celanova - Limia","Indicador Poboación (2)","Fóra de Galicia",2011,2011,0.6,3.71882234401875e-06
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2011,2011,1.04,3.7555102774575e-06
"Deza - Tabeirós","Indicador Poboación (2)","Fóra de Galicia",2011,2011,0.89,3.74300302742156e-06
"Ferrolterra","Indicador Poboación (2)","Fóra de Galicia",2011,2011,1.2,3.7688513441625e-06
"Lugo e a Terra Chá","Indicador Poboación (2)","Fóra de Galicia",2011,2011,1.6,3.802204010925e-06
"Manzaneda - Trevinca","Indicador Poboación (2)","Fóra de Galicia",2011,2011,0.52,3.71215181066625e-06
"Mariña Lucense","Indicador Poboación (2)","Fóra de Galicia",2011,2011,2.68,3.89225621118375e-06
"O Ribeiro","Indicador Poboación (2)","Fóra de Galicia",2011,2011,1.09,3.75967936080281e-06
"Ría de Arousa","Indicador Poboación (2)","Fóra de Galicia",2011,2011,6.09,4.17658769533406e-06
"Ría de Muros e Noia","Indicador Poboación (2)","Fóra de Galicia",2011,2011,1.04,3.7555102774575e-06
"Ría de Vigo e Baixo Miño","Indicador Poboación (2)","Fóra de Galicia",2011,2011,1.49,3.79303202756531e-06
"Ría e Terras de Pontevedra","Indicador Poboación (2)","Fóra de Galicia",2011,2011,1.63,3.80470546093219e-06
"Ribeira Sacra","Indicador Poboación (2)","Fóra de Galicia",2011,2011,2.06,3.84055957770187e-06
"Terras de Ourense e Allariz","Indicador Poboación (2)","Fóra de Galicia",2011,2011,0.9,3.74383684409062e-06
"Terras de Santiago","Indicador Poboación (2)","Fóra de Galicia",2011,2011,4.22,4.02066397821937e-06
"Verín - Viana","Indicador Poboación (2)","Fóra de Galicia",2011,2011,0.74,3.73049577738562e-06
"Galicia","Indicador Estacional (1)","Fóra de Galicia",2011,2011,38.8,6.9040020198375e-06
"A Coruña e As Mariñas","Indicador Estacional (1)","Fóra de Galicia",2011,2011,32.2,6.35368301825625e-06
"Ancares - Courel","Indicador Estacional (1)","Fóra de Galicia",2011,2011,51,7.92125835609375e-06
"Celanova - Limia","Indicador Estacional (1)","Fóra de Galicia",2011,2011,33,6.42038835178125e-06
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2011,2011,57.1,8.42988652422187e-06
